"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-01","boiler","Thermal Fluid Heater (Boiler) 1","14.215","MMBtu/hr","","","CE-01"
"EP-02","boiler","Thermal Fluid Heater (Boiler) 2","11.4","MMBtu/hr","","","CE-02"
"EP-03","storage","Ethyl Alcohol Storage Tank 1","","","80000","gallons/yr",""
"EP-04","storage","Ethyl Acetate Storage Tank 1","","","400000","gallons/yr",""
"EP-05","boiler","Thermal Fluid Heater (Boiler) 3","","","","","CE-02"
"EP-06","generator","Emergency Backup Generator 1","82","bhp","","",""
"EP-07","generator","Emergency Backup Generator 2","","","","",""
"EU-01","printing","Printing Unit 1","","","","","CE-01"
"EU-02","printing","Printing Unit 2","","","","","CE-01"
"EU-03","printing","Printing Unit 3","","","","","CE-01"
"EU-04","printing","Printing Unit 4","","","","","CE-01"
"EU-05","printing","Printing Unit 5","","","","","CE-01"
"EU-06","printing","Printing Unit 6","","","","","CE-01"
"EU-07","printing","Printing Unit 7","","","","","CE-01"
"EU-08","printing","Printing Unit 8","","","","","CE-01"
"EU-09","printing","Printing Unit 9","","","","","CE-01"
"EU-10","printing","Printing Unit 10","","","","","CE-01"
"EU-11","laminating","Laminator 1","","","","","CE-01"
"EU-12","laminating","Laminator 2","","","","","CE-01"
"EU-13","laminating","Laminator 3","","","","","CE-01"
"EU-14","treating","Corona Treater 1","","","","","CE-02"
"EU-15","treating","Corona Treater 2","","","","","CE-02"
"EU-16","treating","Corona Treater 3","","","","","CE-02"
"EU-17","treating","Corona Treater 4","","","","","CE-02"
"EU-18","treating","Corona Treater 5","","","","","CE-02"
"EU-19","printing","Printing Unit 11","","","","","CE-02"
"EU-20","printing","Printing Unit 12","","","","","CE-02"
"EU-21","printing","Printing Unit 13","","","","","CE-02"
"EU-22","printing","Printing Unit 14","","","","","CE-02"
"EU-23","printing","Printing Unit 15","","","","","CE-02"
"EU-24","printing","Printing Unit 16","","","","","CE-02"
"EU-25","printing","Printing Unit 17","","","","","CE-02"
"EU-26","printing","Printing Unit 18","","","","","CE-02"
"EU-27","printing","Printing Unit 19","","","","","CE-02"
"EU-28","printing","Printing Unit 20","","","","","CE-02"
"EU-29","printing","Printing Unit 21","","","","","CE-02"
"EU-30","printing","Printing Unit 22","","","","","CE-02"
"EU-31","laminating","Laminator 4","","","","","CE-02"
"EU-32","laminating","Laminator 5","","","","","CE-02"
"EU-33","laminating","Laminator 6","","","","","CE-02"
"EU-34","treating","Corona Treater 6","","","","","CE-02"
"EU-35","treating","Corona Treater 7","","","","","CE-02"
"EU-36","treating","Corona Treater 8","","","","","CE-02"
"EU-37","treating","Corona Treater 9","","","","","CE-02"
"EU-38","treating","Corona Treater 10","","","","","CE-02"
"EU-42","printing","P212 Printing Unit #1","","","","","CE-02"
"EU-43","printing","P212 Printing Unit #2","","","","","CE-02"
"EU-44","printing","P212 Printing Unit #3","","","","","CE-02"
"EU-45","printing","P212 Printing Unit #4","","","","","CE-02"
"EU-46","printing","P212 Printing Unit #5","","","","","CE-02"
"EU-47","printing","P212 Printing Unit #6","","","","","CE-02"
"EU-48","printing","P212 Printing Unit #7","","","","","CE-02"
"EU-49","printing","P212 Printing Unit #8","","","","","CE-02"
"EU-50","printing","P212 Printing Unit #9","","","","","CE-02"
"EU-51","printing","P212 Printing Unit #10","","","","","CE-02"
"EU-52","treating","P212 Corona Treater 1","","","","","CE-02"
"EU-53","treating","P212 Corona Treater 2","","","","","CE-02"
