"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"08-1","cooling","Cooling Module","","","","","CE-08: Drift Eliminator"
"08-2","cooling","Cooling Module","","","","","CE-08: Drift Eliminator"
"09-1","cooling","Cooling Module","","","","","CE-09: Drift Eliminator"
"09-2","cooling","Cooling Module","","","","","CE-09: Drift Eliminator"
"10-1","cooling","Cooling Module","","","","","CE-10: Drift Eliminator"
"10-2","cooling","Cooling Module","","","","","CE-10: Drift Eliminator"
"11","cooling","Cooling Module","","","","","CE-11: Drift Eliminator"
"12","cooling","Cooling Module","","","","","CE-12: Drift Eliminator"
"125002","boilers","B-1-h Emergency Diesel-fired IC Engine","","","","","13-A-379-S10"
"13","cooling","Cooling Module","","","","","CE-13: Drift Eliminator"
"14","cooling","Cooling Module","","","","","CE-14: Drift Eliminator"
"15","cooling","Cooling Module","","","","","CE-15: Drift Eliminator"
"150001","boilers","A-3-m Emergency Diesel-fired IC Engine","","","","","13-A-052-S10"
"150002","boilers","A-4-n Emergency Diesel-fired IC Engine","","","","","13-A-053-S10"
"150003","boilers","A-4-m Emergency Diesel-fired IC Engine","","","","","13-A-054-S10"
"150004","boilers","A-4-j Emergency Diesel-fired IC Engine","","","","","13-A-055-S10"
"150006","boilers","B-1-m Emergency Diesel-fired IC Engine","","","","","13-A-395-S9"
"150007","boilers","B-1-n Emergency Diesel-fired IC Engine","","","","","13-A-396-S9"
"150008","boilers","A-5-m Emergency Diesel-fired IC Engine","","","","","13-A-397-S9"
"16","cooling","Cooling Module","","","","","CE-16: Drift Eliminator"
"17","cooling","Cooling Module","5160","gal/min","","","CE-17: Drift Eliminator"
"175001","boilers","A-2-k Emergency Diesel-fired IC Engine","","","","","12-A-233-S11"
"175002","boilers","A-2-j Emergency Diesel-fired IC Engine","","","","","12-A-234-S11"
"175003","boilers","A-1-k Emergency Diesel-fired IC Engine","","","","","12-A-235-S9"
"175004","boilers","A-1-j Emergency Diesel-fired IC Engine","","","","","12-A-236-S9"
"18","cooling","Cooling Module","5160","gal/min","","","CE-18: Drift Eliminator"
"19","cooling","Cooling Module","5160","gal/min","","","CE-19: Drift Eliminator"
"20","cooling","Cooling Module","5160","gal/min","","","CE-20: Drift Eliminator"
"200001","boilers","A-2-h Emergency Diesel-fired IC Engine","","","","","12-A-215-S11"
"200002","boilers","A-2-g Emergency Diesel-fired IC Engine","","","","","12-A-216-S11"
"200003","boilers","A-1-c Emergency Diesel-fired IC Engine","","","","","12-A-217-S11"
"200004","boilers","A-2-e Emergency Diesel-fired IC Engine","","","","","12-A-218-S11"
"200005","boilers","A-1-d Emergency Diesel-fired IC Engine","","","","","12-A-219-S11"
"200006","boilers","A-2-c Emergency Diesel-fired IC Engine","","","","","12-A-220-S11"
"200007","boilers","A-2-b Emergency Diesel-fired IC Engine","","","","","12-A-221-S11"
"200008","boilers","A-2-a Emergency Diesel-fired IC Engine","","","","","12-A-222-S11"
"200009","boilers","A-1-i Emergency Diesel-fired IC Engine","","","","","12-A-223-S11"
"200010","boilers","A-1-h Emergency Diesel-fired IC Engine","","","","","12-A-224-S11"
"200011","boilers","A-1-g Emergency Diesel-fired IC Engine","","","","","12-A-225-S11"
"200012","boilers","A-1-f Emergency Diesel-fired IC Engine","","","","","12-A-226-S11"
"200013","boilers","A-1-e Emergency Diesel-fired IC Engine","","","","","12-A-227-S11"
"200014","boilers","A-2-d Emergency Diesel-fired IC Engine","","","","","12-A-228-S11"
"200015","boilers","A-2-f Emergency Diesel-fired IC Engine","","","","","12-A-229-S11"
"200016","boilers","A-1-b Emergency Diesel-fired IC Engine","","","","","12-A-230-S11"
"200017","boilers","A-1-a Emergency Diesel-fired IC Engine","","","","","12-A-231-S11"
"200018","boilers","A-2-i Emergency Diesel-fired IC Engine","","","","","12-A-232-S11"
"21","cooling","Cooling Module","5160","gal/min","","","CE-21: Drift Eliminator"
"22","cooling","Cooling Module","5160","gal/min","","","CE-22: Drift Eliminator"
"225001","boilers","A-4-g Emergency Diesel-fired IC Engine","","","","","13-A-036-S9"
"225002","boilers","A-4-f Emergency Diesel-fired IC Engine","","","","","13-A-037-S9"
"225003","boilers","A-4-e Emergency Diesel-fired IC Engine","","","","","13-A-038-S9"
"225004","boilers","A-4-d Emergency Diesel-fired IC Engine","","","","","13-A-039-S9"
"225005","boilers","A-4-c Emergency Diesel-fired IC Engine","","","","","13-A-040-S9"
"225006","boilers","A-4-b Emergency Diesel-fired IC Engine","","","","","13-A-041-S9"
"225007","boilers","A-4-a Emergency Diesel-fired IC Engine","","","","","13-A-042-S9"
"225008","boilers","A-3-h Emergency Diesel-fired IC Engine","","","","","13-A-043-S9"
"225009","boilers","A-3-g Emergency Diesel-fired IC Engine","","","","","13-A-044-S9"
"225010","boilers","A-3-f Emergency Diesel-fired IC Engine","","","","","13-A-045-S9"
"225011","boilers","A-3-i Emergency Diesel-fired IC Engine","","","","","13-A-046-S9"
"225012","boilers","A-3-e Emergency Diesel-fired IC Engine","","","","","13-A-047-S9"
"225013","boilers","A-3-d Emergency Diesel-fired IC Engine","","","","","13-A-048-S9"
"225014","boilers","A-3-c Emergency Diesel-fired IC Engine","","","","","13-A-049-S9"
"225015","boilers","A-3-b Emergency Diesel-fired IC Engine","","","","","13-A-050-S9"
"225016","boilers","A-3-a Emergency Diesel-fired IC Engine","","","","","13-A-051-S9"
