"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"1","other","Road Traffic – Gypsum Hauling Vehicle Traffic","","","","",""
"1.01","other","Road Traffic – Gypsum Hauling","","","","",""
"12.01","storage","Crushed Outdoor Stockpile – Post Screen via Radial Stacker","165","tons/hr","","",""
"12RU","transfer","Transfer from Radial Stacker Crushed Outdoor Stockpile – Post Screen via Radial Stackers","165","tons/hr","","","CE-12RU"
"13","storage","Crushed Indoor Stockpile – Post Screen via Radial Stacker","165","tons/hr","","",""
"13.01","storage","Crushed Indoor Stockpile – Post Screen via Radial Stacker","165","tons/hr","","",""
"2","storage","Uncrushed Gypsum Ore Outdoor Stockpile","350","tons/hr","","",""
"2.01","storage","Uncrushed Gypsum Ore Outdoor Stockpile","350","tons/hr","","",""
"28J","storage","Stucco Storage Bin West #1","65","tons/hr","","","CE-28J"
"28J.01","storage","Stucco Storage Bin West #1","65","tons/hr","","","CE18"
"28K","storage","Stucco Storage Bin West #2","65","tons/hr","","","CE-28K"
"28K.01","storage","Stucco Storage Bin West #2","65","tons/hr","","","CE19"
"28L","storage","Stucco Storage Bin East #1","65","tons/hr","","","CE-28L"
"28L.01","storage","Stucco Storage Bin East #1","65","tons/hr","","","CE20"
"28M","storage","Stucco Storage Bin East #2","65","tons/hr","","","CE-28M"
"28M.01","storage","Stucco Storage Bin East #2","65","tons/hr","","","CE21"
"29.01","conveyance","Conveyor and Blender","65","tons/hr","","","CE6"
"3","storage","Reclaim Gypsum Outdoor Stockpile","50","tons/hr","","",""
"3.01","storage","Reclaim Gypsum Outdoor Stockpile","50","tons/hr","","",""
"32","drying","Board Drying Kiln Zone 1","27.5","MMBtu/hr","","",""
"32.01","drying","Board Drying Kiln Zone 1","27.5","MMBtu/hr","","",""
"33","drying","Board Drying Kiln Zone 2","27.5","MMBtu/hr","","",""
"33.01","drying","Board Drying Kiln Zone 2","27.5","MMBtu/hr","","",""
"34","drying","Board Drying Kiln Zone 3","22.5","MMBtu/hr","","",""
"34.01","drying","Board Drying Kiln Zone 3","22.5","MMBtu/hr","","",""
"35","drying","Board Drying Kiln Zone 4","22.9","MMBtu/hr","","",""
"35.01","drying","Board Drying Kiln Zone 4","22.9","MMBtu/hr","","",""
"36","drying","Board Drying Kiln Zone 5","13.1","MMBtu/hr","","",""
"36.01","drying","Board Drying Kiln Zone 5","13.1","MMBtu/hr","","",""
"37","drying","Board Drying Kiln Dry End Seal (DES)","66000","sqft/hr","","",""
"37.01","drying","Board Drying Kiln Dry End Seal (DES)","66000","sqft/hr","","",""
"49","storage","Starch Bin and Starch Feed Hopper","50","tons/hr","","","CE-49"
"49.01","storage","Starch Bin and Hopper","50","tons/hr","","","CE8"
"51C","conditioning","Ball Mills 1, 2, and 3","0.45","tons/hr","","",""
"51C.01","processing","Ball Mills (Landplaster)","0.45","tons/hr","","",""
"52","conveyance","Conveyor Stucco","65","tons/hr","","",""
"52.01","conveyance","Conveyor","165","tons/hr","","","CE22"
"53","conveyance","Belt Conveyor Gypsum","165","tons/hr","","","CE-53"
"53.01","conveyance","Belt Conveyor and Baghouse","165","tons/hr","","","CE22"
"55","transfer","Transfer to HAC Conveyor and Gypsum Bin","125","tons/hr","","","CE-55"
"55.01","conveyance","Conveyor and Baghouse","125","tons/hr","","","CE23"
"56","conditioning","Chain Feeder and Ball Race Mill Gypsum","50","tons/hr","","","CE-56"
"56.01","processing","Chain Feeder, Ball Race Mill, and Baghouses","50","tons/hr","","","CE24, CE25"
"57","cooling","Closed Aero Slide and Stucco Cooler Gypsum","50","tons/hr","","","CE-57"
"57.01","processing","Closed Aero Slide and Baghouse","50","tons/hr","","","CE26"
"62","cutting","Holtec Saw Gypsum Board","14400","sqft/hr","","","CE-62"
"62.01","processing","Holtec Saw and Baghouse","14400","sqft/hr","","","CE27"
"63.01","processing","Impactor (Crusher) and Partial Enclosure","226","tons/hr","","","CE-28"
"63 & 64","crushing","Impactor (Crusher), Impactor Conveyor, Vibrating Screen, and Recirculating Conveyor","226","tons/hr","","","CE-63, CE-64"
"64.01","processing","Impactor Conveyor and Vibrating Screen (Partial Enclosure)","226","tons/hr","","","CE-28"
"65","transfer","Take-Off System Gypsum","66000","sqft/hr","","","CE-65"
"65.01","processing","Take-Off System and Baghouse","66000","sqft/hr","","","CE37"
"66","other","Emergency Engine Natural Gas","13","bhp","","",""
"66.01","other","Emergency Engine","13","bhp","","",""
