"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-01+ Electric Arc Furnace","boilers","Electric Arc Furnace","","","90","tons/hr","CE-01, CE-09"
"EU-01+ Electric Arc Furnace (EP-01)","boilers","Electric Arc Furnace Stack","90","tons/hr","","","CE-01, CE-09"
"EU-02+ Continuous Casting","boilers","Continuous Casting","","","90","tons/hr","CE-31"
"EU-02+ Continuous Casting (EP-01)","boilers","Continuous Casting Stack","90","tons/hr","","","CE-31"
"EU-03 Billet Reheat Furnace - Natural Gas","boilers","Billet Reheat Furnace - Natural Gas","145.5","MMBTU/hr","","","CE-31"
"EU-04 Billet Reheat Furnace - Steel","boilers","Billet Reheat Furnace - Steel","90","tons/hr","","","CE-31"
"EU-05 Hot Metal Rolling","boilers","Hot Metal Rolling","90","tons/hr","","","CE-04"
"EU-06+ South Ladle Dryers & Preheaters (EP-03)","boilers","South Ladle Dryers & Preheaters","5","MMBTU/hr","","","CE-06"
"EU-06+ South Ladle Dryers & Preheaters (EP-24)","boilers","South Ladle Dryers & Preheaters","10","MMBTU/hr","","","CE-24"
"EU-08+ Auto Torches","boilers","Auto Torches","5","MMBTU/hr","","","CE-01"
"EU-10 Lime Silo Equalization Port","other","Lime Silo Equalization Port","","","58.6","tons/hr","CE-10"
"EU-10 Lime Silo Equalization Port (EP-08)","other","Lime Silo Equalization Port","","","","","CE-10"
"EU-11 Metal Shredder","boilers","Metal Shredder","90","tons/hr","5000","hours/yr","CE-06"
"EU-12 Parts Washer","boilers","Parts Washer","","","161","gallons/hr","CE-12"
"EU-14 East Pond Cooling Tower (2 Cells)","other","East Pond Cooling Tower (2 Cells)","","","540000","gal/hr","CE-11"
"EU-18 Rolling Mill Torches and Post Heater","boilers","Rolling Mill Torches and Post Heater","5","MMBTU/hr","","","CE-18"
"EU-21 Pneumatic Dust Transfer System","boilers","Pneumatic Dust Transfer System","35","lb/ton of steel","","","CE-21"
"EU-22 Carbon Storage Silo","other","Carbon Storage Silo","","","150","tons/hr","CE-22"
"EU-23+ Ladle Dryer","boilers","Ladle Dryer","5","MMBTU/hr","","","CE-23"
"EU-23+ Ladle Dryer (EP-23)","boilers","Ladle Dryer","5","MMBTU/hr","","","CE-23"
"EU-23 Ladle Dryer (South)","boilers","Ladle Dryer (South)","10","MMBTU/hr","","","CE-24"
"EU-25 Quicklime Silo","other","Quicklime Silo","","","150","tons/hr","CE-26"
"EU-26 Dolomite Silo","other","Dolomite Silo","","","150","tons/hr","CE-27"
"EU-30+ Charge Handling","boilers","Charge Handling","90","tons/hr","","","CE-30"
"EU-31 325 HP Cat Olympian D200P4 Backup Generator","boilers","325 HP Cat Olympian D200P4 Backup Generator","325","bhp","","","CE-31"
"EU-31 325 HP Cat Olympian D200P4 Backup Generator (EP-31)","other","Backup Generator","325","bhp","","","CE-31"
"EU-32 MS Cooling Tower (3 Cells)","other","MS Cooling Tower (3 Cells)","","","246000","gal/hr","CE-32"
"EU-36 Angle Straightener","boilers","Angle Straightener","90","tons/hr","","","CE-36"
"EU-37 Grizzly","boilers","Grizzly","300","tph","","","CE-37"
"EU-37 Grizzly (EP-30)","other","Grizzly","300","tph","","","CE-37"
