"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1","boilers","Cummins Diesel IC engine, model QSX15-G9 NR2","","","","","21-A-209-S2"
"EU-10","boilers","Cummins Diesel IC engine, model QSK95-G9","","","","","23-A-083-S1"
"EU-100","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-285"
"EU-101","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-286"
"EU-102","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-287"
"EU-103","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-288"
"EU-104","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-289"
"EU-105","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-290"
"EU-106","boilers","Cummins Diesel IC engine, model QSX15-G9 NR2","","","","","24-A-223"
"EU-107","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-291"
"EU-108","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-292"
"EU-109","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-293"
"EU-11","boilers","Cummins Diesel IC engine, model QSK95-G9","","","","","23-A-084-S1"
"EU-110","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-294"
"EU-111","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-295"
"EU-112","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-296"
"EU-113","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-297"
"EU-114","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-298"
"EU-115","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-299"
"EU-116","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-300"
"EU-117","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-301"
"EU-118","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-302"
"EU-119","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-303"
"EU-12","boilers","Cummins Diesel IC engine, model QSK95-G9","","","","","23-A-085-S1"
"EU-120","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-304"
"EU-121","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-305"
"EU-122","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-306"
"EU-123","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-307"
"EU-124","boilers","Cummins Diesel IC engine, model QSK95-G9 with DOC, DPF, SCR","","","","","24-A-308"
