"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-10","processing","Tunnel Dryer","14.5","ton/hr","","","CE-9"
"EU-12","processing","Special Shapes Dryer","0.33","ton/hr","","","CE-9"
"EU-14","processing","Conveyor","33.96","ton/yr","","",""
"EU-15","processing","Tunnel Kiln 2","14.5","ton/hr","","","CE-9"
"EU-16","processing","Tunnel Dryer 2","14.5","ton/hr","","","CE-9"
"EU-20","processing","Sand Dryer","10","ton/hr","","","CE-20"
"EU-21","storage","Hydrated Lime Silo 1","57","ton","","","CE-21"
"EU-22","storage","Hydrated Lime Silo 2","85","ton","","","CE-22"
"EU-23a","storage","Silica Sand Silo 1","128","ton","","","CE-23"
"EU-23a & EU-24","storage","Silica Sand Silos 1 and 2","256","ton","","","CE-23, CE-24"
"EU-23b","storage","Silica Sand Silo 2","128","ton","","","CE-24"
"EU-24","storage","Silica Sand Silo 3","128","ton","","","CE-24"
"EU-5","processing","Grinding and Screening of Clay","","","","","CE-9"
"EU-6","processing","Brick Crusher","125","ton/hr","","","CE-9"
"EU-7","transportation","Haul Road","2","vehicle miles per hour","","",""
"EU-8","storage","Stockpiles","33.96","ton/hr","","",""
"EU-9","processing","Tunnel Kiln","14.5","ton/hr","","","CE-9"
