"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"001A","boilers","Boiler #1 (Natural Gas)","","","","","CE-40B / 4581-R3"
"001B","boilers","Boiler #1 (Propane)","","","","","CE-40B / 4582-R3"
"002A","boilers","Boiler #2 (Natural Gas)","","","","","CE-40B / 4582-R3"
"002B","boilers","Boiler #2 (Propane)","","","","","CE-40B / 4581-R3"
"102","dryers","Dryer (10.8 tph)","10.8","tph","","","CE-6932 / 6699"
"103","dryers","Dryer (11.64 tph)","11.64","tph","","","CE-6931 / 6702"
"104","cookers","Cookers (10.25 tph)","10.25","tph","","","CE-4931 / 5023-R2"
"107","shapers","Shaper (3.6 tph)","3.6","tph","","","CE-6887 / 6703"
"108","shapers","Shaper (3.6 tph)","3.6","tph","","","CE-6889 / 6697"
"109","shapers","Shaper (3.6 tph)","3.6","tph","","","CE-6890 / 6698"
"125","mixers","Product Mixers (Sweeteners, 6.66 tph)","6.66","tph","","","CE-5374 / 5375-R1"
"130","dryers","Dryer (10.3 tph)","10.3","tph","","","CE-5719 / 5961-R1"
"134","dryers","Dryer (7.2 tph)","7.2","tph","","","CE-5721 / 5963-R1"
"135","dryers","Dryer (3.6 tph)","3.6","tph","","","CE-6888 / 6704"
"137","dryers","Dryer (7.2 tph)","7.2","tph","","","CE-7240 / 6968"
"138","dryers","Dryer (3 tph)","3","tph","","","CE-7241 / 6969"
"138A","dryers","Dryer (3.6 tph)","3.6","tph","","","CE-6890 / 6698-R2"
"145","emergency generators","Emergency Generator (Diesel, 36.2 gph)","","","","","CE-7499 / 7273-R1"
"162","emergency generators","Emergency Generator (Diesel, 58.6 gph)","","","","","CE-7435 / 7132-R2"
"166","emergency generators","Emergency Generator (Natural Gas, 1.508 MMBtu/hr)","","","","","CE-6236 / 6010-R1"
"166A","emergency generators","Emergency Generator (Natural Gas, 1.508 MMBtu/hr)","","","","","CE-6236 / 6010-R1"
"166B","emergency generators","Emergency Generator (Propane, 58.9 gph)","","","","","CE-6236 / 6010-R1"
"167","emergency generators","Emergency Generator (Propane, 58.9 gph)","","","","","CE-6236 / 6010-R1"
"180","receivers","Product Receiver (8.55 tph)","8.55","tph","","","CE-6436 / 6219-R1"
"181","emergency generators","Emergency Generator (Natural Gas, 2.58 MMBtu/hr)","","","","","CE-6297 / 6135-R3"
"200","receivers","Product Receiver (10.25 tph)","10.25","tph","","","CE-6238 / 6012-R1"
"305","dryers","Dryer (3.5 tph)","3.5","tph","","","CE-5980 / 5662"
"306","dryers","Dryer (3.5 tph)","3.5","tph","","","CE-5981 / 5663"
"308A","receivers","Product Receiver (3.0 tph)","3.0","tph","","","CE-7228 / 6939"
"308B","receivers","Product Receiver (3.0 tph)","3.0","tph","","","CE-7228 / 6939"
"308C","receivers","Product Receiver (6.0 tph)","6.0","tph","","","CE-7228 / 6939"
"310","receivers","Product Receiver (3 tph)","3.0","tph","","","CE-6038 / 5771-R1"
"324","dryers","Dryer (3.5 tph)","3.5","tph","","","CE-7549 / 7361"
"325","dryers","Dryer (3.5 tph)","3.5","tph","","","CE-7240 / 6968"
"326","dryers","Dryer (3.5 tph)","3.5","tph","","","CE-7241 / 6969"
"330","receivers","Product Receiver (10.25 tph)","10.25","tph","","","CE-7441 / 7134-R2"
"339","conditioners","Material Conditioner (Starch, 26.5 tph)","26.5","tph","","","CE-5724 / 5542-R2"
"345","emergency generators","Emergency Generator (Diesel, 36.2 gph)","","","","","CE-7499 / 7273-R1"
"346","dryers","Dryer (3.5 tph)","3.5","tph","","","CE-7439 / 7216"
"348","dryers","Dryer (3.5 tph)","3.5","tph","","","CE-7577 / 7293"
"400","condensers","Condenser (Cooling Water, 103,200 gph)","","","","","CE-5509 / 5377-R1"
"500","condensers","Condenser (Cooling Water, 42,900 gph)","","","","","CE-5688 / 5522-R1"
"501","condensers","Condenser (Cooling Water, 42,900 gph)","","","","","CE-5862 / 5755-R1"
"502","condensers","Condenser (Cooling Water, 103,200 gph)","","","","","CE-6384 / 6117-R2"
