"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-01","drying","Rock Dryer","","","45","tons/hour","CE-01"
"EU-02-1","milling","Raymond Mill #1","10","tons/hour","","","CE-02-1"
"EU-02-2","milling","Raymond Mill #2","10","tons/hour","","","CE-02-2"
"EU-02-3","milling","Raymond Mill #3","10","tons/hour","","","CE-02-3"
"EU-02-4","milling","Raymond Mill #4","10","tons/hour","","","CE-02-4"
"EU-02-5","conveying","Rock Elevator","55","tons/hour","","","CE-02-5"
"EU-03","boiler","#1 Kettle","","","8","tons/hour","CE-03"
"EU-04","milling","Tube Mill","23.5","tons/hour","","","CE-15"
"EU-06","cutting","End Sawing Wall Board","45000","ft2/hour","","","CE-06"
"EU-12-1","storage","Plaster Bin #1","","","","","CE-15"
"EU-12-2","storage","Plaster Bin #2","","","","","CE-15"
"EU-19","mixing","Land Plaster System","50","tons/hour","","","CE-19"
"EU-20","mixing","Hot Stucco System","40","tons/hour","","","CE-20"
"EU-21","drying","Caldicine #1","7","tons/hour","","","CE-21"
"EU-22","drying","Caldicine #2","7","tons/hour","","","CE-22"
"EU-23","drying","Caldicine #3","7","tons/hour","","","CE-23"
"EU-24","drying","Caldicine #4","7","tons/hour","","","CE-24"
"EU-25","drying","Caldicine #5","7","tons/hour","","","CE-25"
"EU-28","transfer","Rock Transfer (Truck Dump to Pan Feeder to Belt Conveyor)","45","tons/hour","","","CE-28"
"EU-31-1","drying","Board Drying Kiln - Zone 1","20","MMBtu/hour","","","CE-31"
"EU-31-2","drying","Board Drying Kiln - Zone 2","25","MMBtu/hour","","","CE-31"
"EU-31-3","drying","Board Drying Kiln - Zone 3","25","MMBtu/hour","","","CE-31"
"EU-31-4","drying","Board Drying Kiln - Zone 4","20","MMBtu/hour","","","CE-31"
"EU-31-5","drying","Board Drying Kiln - Zone 5","20","MMBtu/hour","","","CE-31"
"EU-31-6","drying","Board Drying Kiln - Zone 6","8","MMBtu/hour","","","CE-31"
"EU-31-7","drying","Board Drying Kiln - Zone 7","8","MMBtu/hour","","","CE-31"
"EU-32","storage","Fugitive Aggregate Storage Pile","","","40","tons/hour",""
"EU-33","storage","Haul Roads (Fugitive)","","","4000","VMT/year",""
"EU-44","storage","Gasoline Tank (300 gallon)","300","gallons","","",""
"EU-45","transfer","Truck Unloading to Rock Crusher","650","tons/hour","","","CE-45"
"EU-46","crushing","Primary Rock Crusher","650","tons/hour","","","CE-46"
"EU-47","conveying","Fixed Crusher Conveyor","650","tons/hour","","","CE-47"
"EU-48","conveying","Radial Stacker Conveyor to Storage Pile","650","tons/hour","","","CE-48"
"EU-49","milling","Raymond Mill #1 - #5 (Combined)","60","tons/hour","","","CE-49"
