"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-31 & EP-32","other","Cooling Tower Mist Eliminators (Water 21-A-199, Water 21-A-200)","","","","",""
"EU-01","desolventization","Natural Gas Desulfurization Drum A","","","","",""
"EU-02","desolventization","Natural Gas Desulfurization Drum B","","","","",""
"EU-03","refining","Primary Reformer","4.95","ton/hr","","",""
"EU-04","boilers","Primary Reformer Natural Gas Burner","0.044","MMCF/hr","","",""
"EU-04a","boilers","Waste Heat Boiler Mud Drum","4.95","ton/hr","","",""
"EU-05a","boilers","Low Shift Temperature Converter","4.95","ton/hr","","",""
"EU-06","boilers","Natural Gas Fire Tube Boiler 12-A-369","20.92","MMBtu/hr","","",""
"EU-07","other","Emergency Generator (310 HP)","5","gal/hr","","",""
"EU-10","other","CO2 Regenerator Stack","4.95","ton/hr","","",""
"EU-11","other","Contactor","4.95","ton/hr","","",""
"EU-30","other","Gasoline Storage Tank (300 gal)","300","gal","","",""
