"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"BH01","storage","Raw Material Silos","","","","","703"
"BLDG1","other","Cutting Fluid Application","750","tons/day","","","MS01"
"C001","handling","Cullet Return System","","","750","tons/day","CRDC1"
"CT01","cooling","Hot End Cooling Tower","373500","gallons/hr","","","CT01"
"DDS1 & DDS1b","handling","ESP Dust Day Silo Stack Bin Vent Filters","","","15000","scf/hr","DDS1, DDS1b"
"DEGFS","storage","Diesel Fuel Storage Tank","5000","gallons","","","DEGFS"
"DH01","handling","ESP Dust Hopper & Baghouse Unloading Station","","","78000","scf/hr","DH01"
"E001 & E002","boiler","Emergency Backup Generators #1 and #2","2347","bhp","1460","hours/yr","99-A-300-P2, 99-A-301-P2"
"E003","boiler","Emergency Water Pump","130","bhp","","","EMWS"
"F001","melting","Melt Furnace","750","tons/day","","","SCR1, DSI1"
"MBLFS1","storage","Mobile Gasoline Storage Tank","150","gallons","","","MBLFS1"
"SSS1","storage","Sorbent Storage Silo Bin Vent Filter","","","60000","scf/hr","SSS1"
