"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"BatchMix","refining","Hot Mix Asphalt Plant","132","tons/hr","","","CE 3, CE 4"
"BatchMix BatchMix","refining","Hot Mix Asphalt Plant","132","tons/hr","","","CE 3, CE 4"
"GASOLINE","storage","Gasoline Storage Tank","2000","gallon","","",""
"GASOLINE GASOLINE","storage","Gasoline Storage Tank","2000","gallons","","",""
"MS-1","receiving","Steel Slag Loading","","","300","tons/hr","CE1"
"MS-10","transfer","Conveyor to Screen Slag Transfer","","","60","tons/hr",""
"MS-11","conditioning","Slag Screening (2nd pass)","","","300","tons/hr","CE1"
"MS-12","transfer","Screen to Feeder Slag Transfer (2nd pass)","","","15","tons/hr",""
"MS-13","transfer","Feeder to Conveyor Slag Transfer (2nd pass)","","","15","tons/hr",""
"MS-14","storage","Conveyor to 2 ½ x 10 Metallic Pile Slag Transfer (2nd pass)","","","15","tons/hr",""
"MS-15","transfer","Screen to Conveyor Slag Transfer (2nd pass)","","","60","tons/hr",""
"MS-16","transfer","Conveyor to Conveyor Slag Transfer (2nd pass)","","","60","tons/hr",""
"MS-17","transfer","Screen to Feeder Slag Transfer (3rd pass)","","","24","tons/hr",""
"MS-18","transfer","Feeder to Conveyor Slag Transfer (3rd pass)","","","24","tons/hr",""
"MS-19","storage","Conveyor to -3/4 Slag Pile Transfer (3rd pass)","","","24","tons/hr",""
"MS-2","receiving","Feeder to Grizzly Slag Transfer","","","300","tons/hr","CE1"
"MS-20","transfer","Screen to Conveyor Slag Transfer (3rd pass)","","","6","tons/hr",""
"MS-21","transfer","Conveyor to Conveyor Slag Transfer (3rd pass)","","","6","tons/hr",""
"MS-22","transfer","Conveyor to Conveyor Slag Transfer (4th pass)","","","6","tons/hr",""
"MS-23","transfer","Feeder to Feeder Slag Transfer (4th pass)","","","225","tons/hr",""
"MS-24","transfer","Feeder to Conveyor Slag Transfer (4th pass)","","","225","tons/hr",""
"MS-25","transfer","Conveyor to Screen Slag Transfer (4th pass)","","","231","tons/hr",""
"MS-26","conditioning","Slag Screening (4th pass)","","","300","tons/hr","CE1"
"MS-27","transfer","Screen to Conveyor Slag Transfer (4th pass)","","","120","tons/hr",""
"MS-28","transfer","Conveyor to Conveyor Slag Transfer (4th pass)","","","120","tons/hr",""
"MS-29","storage","Conveyor to -3/4 Slag Pile Transfer (4th pass)","","","120","tons/hr",""
"MS-3","conditioning","Slag Screening","","","300","tons/hr","CE1"
"MS-30","transfer","Screen to Conveyor Slag Transfer (5th pass)","","","90","tons/hr",""
"MS-31","storage","Conveyor to 3/4 x 2 ½ Slag Transfer (5th pass)","","","90","tons/hr",""
"MS-32","transfer","Screen to Conveyor Slag Transfer (5th pass)","","","21","tons/hr",""
"MS-4","storage","Grizzly to Oversize Pile Slag Transfer","","","15","tons/hr",""
"MS-5","transfer","Grizzly to Conveyor Slag Transfer","","","285","tons/hr",""
"MS-6","transfer","Conveyor to Conveyor Slag Transfer","","","285","tons/hr",""
"MS-7","transfer","Conveyor to Feeder Slag Transfer","","","285","tons/hr",""
"MS-8","transfer","Feeder to Feeder Slag Transfer","","","60","tons/hr",""
"MS-9","transfer","Feeder to Conveyor Slag Transfer","","","60","tons/hr",""
"Q5DE Q5DE1","boilers","650 Bhp Diesel Generator (Portable Engine)","650","Bhp - gal/hr","","",""
"Q5DE Q5DE2","boilers","314 Bhp Diesel Generator (Portable Engine)","314","Bhp - gal/hr","","",""
"Q5P-B-01","receiving","Feeder Belt (Slag Screening Plant)","","","200","tons/hr",""
"Q5P-B-02","transfer","42"" Belt (Slag Screening Plant)","","","200","tons/hr",""
"Q5P-B-03","transfer","Tel Smith Belt (Slag Screening Plant)","","","200","tons/hr",""
"Q5P-B-04","transfer","Overs Belt (Slag Screening Plant)","","","50","tons/hr",""
"Q5P-B-05","storage","Sand and Chip Stacker (Slag Screening Plant)","","","75","tons/hr",""
"Q5P-B-06","transfer","Sand and Chip Belt #2 (Slag Screening Plant)","","","75","tons/hr",""
"Q5P-B-07","storage","Sand Stacker (Slag Screening Plant)","","","50","tons/hr",""
"Q5P-B-08","storage","Chip Stacker (Slag Screening Plant)","","","25","tons/hr",""
"Q5P-C-01","conditioning","Spokane Crusher (Slag Screening Plant)","","","200","tons/hr",""
"Q5P-S-01","conditioning","Cedar Rapids Screen (Slag Screening Plant)","","","75","tons/hr",""
"SCRAP","receiving","Steel Scrap Handling Yard","","","","",""
"SCRAP SH-1","receiving","Steel Scrap Handling Yard","","","","",""
