"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"101","other","Infratrol Oven #1","","","5241600","lb/yr","CE 105, CE 106"
"102","other","Infratrol Oven #2","","","5241600","lb/yr","CE 105, CE 106"
"103","other","Infratrol Oven #3","","","5241600","lb/yr","CE 105, CE 106"
"104","other","Oven Exit Exhaust #1","","","5241600","lb/yr",""
"105","other","Glue Booth Adhesives Filters","","","30000","lb/yr","CE 105, CE 106"
"106","other","Coating Booth Coatings Filters","","","30000","lb/yr","CE 105, CE 106"
"107","other","Infratrol Oven #4","","","5241600","lb/yr","CE 105, CE 106"
"108","other","Infratrol Oven #5","","","5241600","lb/yr","CE 105, CE 106"
"109","other","Oven Exit Exhaust #2","","","5241600","lb/yr",""
"110","other","Plasma Unit Hood #2","","","5241600","lb/yr",""
"1101","boilers","Electric Ballotini Oven","3.2","MMBtu/hr","","",""
"1102","other","Ballotini Reclaim Tank","","","","",""
"1103A","other","Exhaust Hood for Electric Ballotini Oven","3.2","MMBtu/hr","","",""
"1103B","other","Preheater Exhaust Hood for Electric Ballotini Oven","3.2","MMBtu/hr","","",""
"1104","other","Coating Booth for Line 11","8.56","lb/hr","","",""
"1105","other","Coating Booth for Line 11 (2 guns)","4.28","lb/hr","","",""
"1105B","boilers","Electric IR Oven for Line 11","3.2","MMBtu/hr","","",""
"1105C","other","Exhaust Hood for Electric IR Oven #2","3.2","MMBtu/hr","","",""
"111","other","Flock Room Flock-lok","","","5241600","lb/yr",""
"123","other","Welding Rods (Maintenance Shop)","","","","",""
"125","other","Blanchard Grinder (Tool Room)","","","","",""
"126A-126D","other","Welding Rods (Tool & Die Shop)","","","","",""
"128","emergency_generator","Emergency Generator","800","hp","","",""
"130","emergency_generator","Diesel Fire Pump Engine","237","hp","","",""
"134-135","other","Cement House Room and Hood (Exhaust Coatings)","","","","",""
"137","other","Preheater (Combining Line)","","","","",""
"200","exhaust","IR Pre Heat Oven Exhaust","","","8760000","pounds/12 month rolling period",""
"201","exhaust","Infratrol Oven #1 Exhaust","800","pounds/hr","","",""
"202","exhaust","Infratrol Oven #2 Exhaust","800","pounds/hr","","",""
"203","exhaust","Infratrol Oven #3 Exhaust","800","pounds/hr","","",""
"204","exhaust","Oven Exit Exhaust #1","800","pounds/hr","","",""
"204A","exhaust","Hugger Exhaust","800","pounds/hr","","",""
"204B","exhaust","Plastic Extruder Hood Exhaust","150","pounds/hr","","",""
"205","exhaust","IR Curing Ovens (6) Exhaust","800","pounds/hr","","",""
"205B","exhaust","Plasma Treater Exhaust","","","","",""
"210","exhaust","IR Curing Ovens (6) Exhaust","800","pounds/hr","","",""
"211","exhaust","Spray Booth Exhaust","40","oz/min","","",""
"2204","other","2nd Floor Service Despatch Oven #1 (Natural Gas)","0.4","MMBtu/hr","","",""
"2205","coating_booth","2nd Floor Service Coating Booth","","","","","CE 38"
"2701","coating spray booth","RS Primer Booth #1","","","37.5","lb/hr","94-A-441-S3"
"2703","coating spray booth","RS Flash Off Tunnel","","","37.5","lb/hr","94-A-443-S2"
"2704","coating spray booth","RS Topcoat Booth","","","10.94","lb/hr","94-A-444-S3"
"2705","boiler","RS Cure Oven","2","MMBtu/hr","","","94-A-445-S3"
"301","exhaust","Infratrol Oven #1 Exhaust","800","pounds/hr","","",""
"302","exhaust","Infratrol Oven #2 Exhaust","800","pounds/hr","","",""
"303","exhaust","Infratrol Oven #3 Exhaust","800","pounds/hr","","",""
"304","exhaust","Oven Exit Exhaust #1","800","pounds/hr","","",""
"305M","exhaust","Coating Station Exhaust","40","oz/min","","",""
"306M","exhaust","Coating Station Exhaust","40","oz/min","","",""
"306MB","exhaust","Plasma Treater Exhaust","40","oz/min","","",""
"309","exhaust","Curing Oven Exhaust Hood","600","pounds/hr","","",""
"3A01, 3A02, 3A03, 3A04, 3A05A, 3A05B, 3A05C, 3A08, 3A09, 3A10","other","Infratrol Oven","","","5241600","pounds per twelve (12) month rolling average",""
"3A06, 3A07","other","Coating Booth and Adhesive Drip Booth","","","49100","pounds (5,875 gallons) in any rolling twelve-month period",""
"3A11","other","Rubber Oven and Room Exhaust","","","","",""
"4001","other","Mixer #1","","","","","CE 4001 Baghouse"
"4002","other","Mixer #2","","","","","CE 4002 Baghouse"
"4003","other","Silo #1","","","","","CE 4003 Baghouse"
