"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"001.001.EQPT.1","other","equipment painting","","","","","1405.IPH.1.EP.1, 250.1405.IPH.1"
"102.102.RICE.1","boiler","Cummins Diesel IC Engine","755","HP","","",""
"102.RICE.1","boilers","Cummins Diesel IC Engine 17-A-242","","","","","102.102.RICE.1"
"1405.MFCO.1","other","Cure Oven for Powder Coatings & Oven Heater 01-A-744-S3","","","","","250.1405.MFCO.1"
"1405.MFDO.1","other","Washer Dry-off Oven 01-A-742-S2","","","","","250.1405.MFDO.1"
"1405.MFPT.1","other","Washer for Surface Coating 01-A-740-S1 Line 01-A-741-S1","","","","","250.1405.MFPT.1, 250.1405.MFPT.1.EP.2"
"1412.IPH.1","other","Indirect Heat Exempt 250.1412.IPH.1","","","","","1412.IPH.1.EP.1"
"1421.IPH.1","other","Indirect Heat Exempt 250.1421.IPH.1","","","","","1421.IPH.1.EP.1"
"1442.IPH.1","other","Indirect Heat Exempt 250.1442.IPH.1","","","","","1442.IPH.1.EP.1"
"1461.MFPT.1.EP.1","other","Washer for Surface Coating Pretreatment","","","","",""
"1481.IPH.1","other","Indirect Heat Exempt 250.1481.IPH.1","","","","","1481.IPH.1.EP.1"
"2010.MFPCO.1","other","Cure Oven for Powder Coat 18-A-618-S1 Heater 250.2043.MFPB.1 Color Check Paint Booth 95-A-080-S2 Paint Mix Room 250.2043.MFMR.1","","","","","250.2043.MFPB.1, 250.2043.MFMR.1"
"2012.FPUF.1","other","Flexible Polyurethane Foam Line - 8 Mold Stations 16-A-314-S1","","","","","2012.FPUF.1.EP.1"
"2012.FPUF.1.EP.1","other","Flexible Polyurethane Foam Reactant Line Emission Point","","","","","2012.FPUF.1"
"250.1405.IPH.1, 250.1412.IPH.1, 250.1421.IPH.1, 250.1422.IPH.1, 250.1481.IPH.1, 501.501.IPH.1","pretreatment","Indirect Heat Gas Pretreatment Systems","","MMBtu/hr","","",""
"250.1405.MFCO.1","oven","Cure Oven for Powder Coatings","3.5","MMBtu/hr","","lb/hr",""
"250.1421.MFPCO.1","curing","Cure Oven for Powder Coating Line","","","","",""
"250.1461.MFCO.1.EP.1","curing","Cure Oven for Powder Coating Line","","","","",""
"250.1461.MFDO.1.EP.1","curing","Dry Off Oven for Powder Coating Line","","","","",""
"250.1461.MFPB.1.EP.1","spraying","Paint Spray Booth for Metal Furniture Coating","7","gal/hr","","","1461.MFPB.1.Bfl, 1461.MFPB.1.FF.1"
"250.1461.MFPB.2.EP.1","spraying","Paint Spray Booth for Metal Furniture Coating","7","gal/hr","","","1461.MFPB.2.Bfl, 1461.MFPB.2.FF.1"
"250.1481.MFDO.2.EP.1","dryers","Dry-off Oven for Powder Coating","80","lb/hr","","",""
"250.1481.MFPCO.1","curing","Cure oven for a powder coating line","","","40","lb/hr",""
"250.2010.MFPCO.1","coating operation","Powder coating line with an oven heater","40","lb/hr","","","250.2010.MFPCO.1.EP.1"
"250.2043.MFMR.1","mixing","Paint mix room for liquid coatings","","","","",""
"250.2043.MFPB.1","coating operation","Color check spray booth with a dry filter system","","","","","2043.MFPB.1.FF.1, 2043.MFPB.1.FF.2"
"250.SUAdh.F","other","Adhesives Application – Oak Steel 17-A-479","","","","","250.SUAdh.F"
"250.SUAero.F","other","Aerosol Use – Oak Steel Aerosols","","","","",""
"250.SUCIn.F","other","Cleaning Solvent Usage – Oak Steel 17-A-481","","","","","250.SUCIn.F"
"250.SUCln.F","other","Cleaning Solvent Usage – Oak Steel Solvents","","","","",""
"253.SUAdh.F","other","Application of adhesives for oak laminate","","","","",""
"253.SUAero.F","other","Aerosol Use – Oak Laminate Exempt 17-A-480","","","","","253.SUAero.F"
"253.SUCln.F","other","Usage of cleaning solvents for oak laminate","","","","",""
"253.SUWdStn.F","other","Wood Furniture Stain – Oak Laminate Wood Stain","0.05","gal/hr","","",""
"2630.DCW.3","other","Woodworking Operations 04-A-904-S2","","","","","2630.DCW.3.IV.1"
"2630.DCW.3.IV.1","fabric_filter_baghouse","Woodworking operations with fabric filter baghouse","50000","scfm","","","2630.DCW.3.BGH"
"2630.DCW.4","other","Woodworking Operations 98-A-548-S3","","","","","2630.DCW.4.IV.1"
"2630.DCW.4.IV.1","fabric_filter_baghouse","Woodworking operations with fabric filter baghouse","48000","scfm","","","2630.DCW.4.BGH"
"2630.DCW.6","other","Woodworking Operations 13-A-071-S1","","","","","2630.DCW.6.IV.1"
"2630.DCW.6.BGH","baghouses","Fabric Filter Baghouse","","","","","2630.DCW.4.BGH"
"501.2012.FPUF.2","other","Mold Release Application - 4 Spray Applicators","","","","","501.2012.FPUF.2"
"501.CH.1","other","Boiler Exempt 04-A-904-S2","","","","","501.CH.1.EP.1"
"501.CH.1.EP.1","boilers","Boiler Emission Point","6.8","MMBtu/hr","","","501.CH.1"
"501.IPH.1","other","Indirect Heat Exempt 501.501.IPH.1","","","","","501.IPH.1.EP.1"
