"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"107.107.GEN.1","boilers","Backup Generator","4.93","MMBtu/hr","","",""
"107.107.GEN.1 Backup Generator","other","Backup Generator","","","","",""
"1243.MFPT.1.EP.1","washing","Washer for Surface Coating Line - Pretreatment","116","gal/min","","","03-A-220-S3"
"1243.MFPT.1.EP.2","washing","Washer for Surface Coating Line - Products","","","","","03-A-221-S3"
"1245.MFPCO.3A.EP.1","curing","Cure Oven for Longs Line A","","","211.7","lbs/hr",""
"1245.MFPCO.3B.EP.1","curing","Cure Oven for Longs Line B","","","211.7","lbs/hr",""
"1245.MFPCO.4A.EP.1","curing","Cure Oven for Supports 1 – Legs Line","","","80","lbs/hr",""
"1245.MFPCO.4A.EP.2","curing","Cure Oven for Supports 1 – Legs Line","","","80","lbs/hr",""
"1245.MFPCO.4B.EP.1","curing","Cure Oven for Supports 1 – Panels Line","","","80","lbs/hr",""
"1245.MFPCO.4B.EP.2","curing","Cure Oven for Supports 1 – Panels Line","","","80","lbs/hr",""
"1262.PPP.1.EP.1","compression_molding","Wood Press #10 - Compression Molding","571.5","lbs/hr","","","252.1262.PPP.1"
"1262.PPP.2.EP.1","compression_molding","Wood Press #7 - Compression Molding","571.5","lbs/hr","","","252.1262.PPP.2"
"1262.PPP.3.EP.1","compression_molding","Wood Press #9 - Compression Molding","571.5","lbs/hr","","","252.1262.PPP.3"
"1262.PPP.4.EP.1","compression_molding","Wood Press #8 - Compression Molding","571.5","lbs/hr","","","252.1262.PPP.4"
"1300.DCW.2.EP.1","woodworking","Woodworking Operations","","","44500","scfm","1300.DCW.2.BGH"
"200.1237.DCW.1","other","Woodworking Operations","60000","scfm","","","1237.DCW.1.BGH"
"200.1237.DCW.1 Woodworking Baghouse 16-A-426","other","Woodworking Baghouse","","","","",""
"200.1300.DCW.1","other","Woodworking Operations and Scrap Grinder","65000","scfm","3500","lb/hr","1300.DCW.1.BGH"
"200.1300.DCW.1 Woodworking Operations and Scrap Grinder 98-A-677-S3","other","Woodworking Operations and Scrap Grinder","","","","",""
"200.1300.DCW.2 Woodworking Operations 98-A-678-S2","other","Woodworking Operations","","","","",""
"200.200.SUAdh","other","Misc. Production Adhesives Application - Allsteel","185","lb/hr","","",""
"200.200.SUAdh Misc. Production Adhesives Application - Allsteel","other","Miscellaneous Production Adhesives Application","","","","",""
"200.200.SUAero Misc. Production Aerosols - Allsteel Exempt","other","Miscellaneous Production Aerosols Application","","","","",""
"200.200.SUCln Misc. Production Cleaning Solvent Usage - Allsteel 16-A-338","other","Miscellaneous Production Cleaning Solvent Usage","","","","",""
"200.2043.Weld.1 Production Welding – Panel Hung Weld Cell 18-A-231","other","Production Welding - Panel Hung Weld Cell","","","","",""
"200.2043.Weld.2 Production Welding – Voi 2 Weld Cell 18-A-232","other","Production Welding - Voi 2 Weld Cell","","","","",""
"200.2043.Weld.3 Production Welding – Helper Weld Cell 18-A-233","other","Production Welding - Helper Weld Cell","","","","",""
"200.2043.Weld.4 Production Welding – Bookcase Weld Cell 18-A-234","other","Production Welding - Bookcase Weld Cell","","","","",""
