"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"101-002","storage","Storage Tank (Phenolic Resin)","","","","","CE-104"
"201-004","treatment","Treater 201 – Auxiliary Exhaust Fan F1","1000","cubic feet/min","","",""
"202-001","treatment","Treater 202","6750","square feet/hr","","",""
"280-001","treatment","Treaters 208, T-207-Z1, T-207-Z2, T-207-Z3","25000","square feet/hr","","","CE-280"
"404-001","cutting","Saw 588 Lathe 601-B Sander","","","","","CE-404A"
"496-001","drying","Post-Bake Oven 496","750","MBtu/hr","","",""
"950-001","boiler","Boiler 950","63000","MBtu/hr","","",""
"951-001, 952-001","vaporization","Propane Vaporizers 951, 952","","MBtu/hr","","",""
"967-001","chopping","10 HP Chopper 967","100","square feet/hr","","","DC-967"
"969-001","cutting","Saw 402, Saw 403, Sander 420","","pounds/hr or square feet/hr","","","CE-969"
"999-030","depressurization","Sub-Slab Depressurization System 999-030","2830.2","scf/hr","","",""
