"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-001","extraction","Stock Preparation Exhaust Fan (104)","","","76.88","tph","CE-76.88 tph"
"EU-002","extraction","Fourdrinier Exhaust Fan #1 (105)","","","93.96","tph","CE-93.96 tph"
"EU-003","extraction","Roof Exhaust Fan #11 (106)","","","93.96","tph","CE-93.96 tph"
"EU-004","extraction","Roof Exhaust Fan #10 (107)","","","93.96","tph","CE-93.96 tph"
"EU-005","extraction","Roof Exhaust Fan #1 (108)","","","93.96","tph","CE-93.96 tph"
"EU-006","extraction","Roof Exhaust Fan #2 (109)","","","93.96","tph","CE-93.96 tph"
"EU-007","extraction","Fourdrinier Exhaust Fan #2 (110)","","","93.96","tph","CE-93.96 tph"
"EU-008","extraction","Roof Exhaust Fan #7 (116)","","","93.96","tph","CE-93.96 tph"
"EU-009","extraction","Roof Exhaust Fan #3 (111)","","","93.96","tph","CE-93.96 tph"
"EU-010","extraction","Roof Exhaust Fan #4 (112)","","","93.96","tph","CE-93.96 tph"
"EU-011","extraction","Roof Exhaust Fan #5 (113)","","","93.96","tph","CE-93.96 tph"
"EU-012","extraction","Roof Exhaust Fan #9 (114)","","","93.96","tph","CE-93.96 tph"
"EU-013","extraction","Roof Exhaust Fan #6 (115)","","","93.96","tph","CE-93.96 tph"
"EU-014","extraction","Vacuum Roll Exhaust Fan (117)","","","93.96","","CE-93.96 tph"
"EU-015","extraction","Thickener Exhaust (249)","","","88.125","tph","CE-88.125 tph"
"EU-016","extraction","Saveall Exhaust (250)","","","88.125","tph","CE-88.125 tph"
"EU-017","extraction","White Top Pulper Roof Exhaust Fan (251)","","","88.125","tph","CE-88.125 tph"
"EU-018","storage","Cationic Starch Silo (300)","15","tph","","","CE-15 tph"
"EU-019","storage","Size Press Starch Silo (301)","15","tph","","","CE-15 tph"
"EU-020","other","Air Make-Up Unit 7 (400)","10","MMBtu/hr","","","CE-10 MMBtu/hr"
"EU-021","other","Pulper Building Air Make-Up Unit #1 (405)","10.44","MMBtu/hr","","","CE-10.44 MMBtu/hr"
"EU-022","other","Pulper Building Air Make-Up Unit #2 (406)","10.44","MMBtu/hr","","","CE-10.44 MMBtu/hr"
"EU-023","other","Air Make-Up Unit 10 (407)","10.75","MMBtu/hr","","","CE-10.75 MMBtu/hr"
"EU-024","other","Sump Pump Engine (90)","80","bhp","","","CE-80 bhp"
"EU-025","other","Fire Pump Engine (91)","208","bhp","","","CE-208 bhp"
