"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"1-02-5","boiler","Boiler (Dual Fuel – Propane and Natural Gas)","470","hp","","",""
"1-02-6","boiler","Boiler (Dual Fuel – Propane and Natural Gas)","470","hp","","",""
"1-02-7","boiler","Boiler (Dual Fuel – Propane and Natural Gas)","470","hp","","",""
"1-10-32","spray booth","Adhesive Spray Booth","","","","","Dry Filters"
"1-211-1","generator","Diesel Generator (470 hp)","470","hp","","",""
"1-62-2-9","boiler","Natural Gas Keystone Boiler","126.7","MMBtu/hr","","","Flue gas recirculation"
"1-62-9","generator","Emergency Generator (550 bhp)","550","bhp","","",""
"1-85-2-10","spray booth","Varnish Applications (9 Stations)","4200","pieces/hr","","",""
"1-85-2-11","spray booth","Ink Jet Process (9 Stations)","4200","pieces/hr","","",""
"1-85-2-12","spray booth","Adhesive Applications (3 Stations)","4200","pieces/hr","","",""
"1-85-2-13","weigh station","Propellant Weigh and Load (7 Stations)","4200","pieces/hr","","",""
"1-85-2-14","cutting operation","Laser Cutting Operation (1 Station)","1","station","","",""
"2-13-10","cleaning station","Clean & Prime Operations (1095 gal/yr)","1095","gallons/year","","",""
"2-13-8","cleaning station","Clean and Prime Warheads (4 stations)","1025","gallons/year","","",""
"300-148-20","generator","Emergency Generator for Mechanical Department (500 kW, 757 hp)","500","kW","","",""
"3-10-2","spray booth","Surface Coating Operations (87-A-071-S2)","4200","pieces/hr","","",""
"3-16-1","mixer","High Shear Mixer","864","pieces/hr","","",""
"3-50-12","screening","TNT Screening","864","pieces/hr","","",""
"3-50-13","screening","Explosive Screening Process","864","pieces/hr","","",""
"3A-02-5","mixer","Explosive Processing High Shear Mixer (88-A-127)","864","pieces/hr","","",""
"3A-05-1-26","add/pour station","Add/Pour Station (melt kettle)","480","pieces/hr","","",""
"3A-05-1-27","melt kettle","Melt kettle/Add Pour","864","pieces/hr","","",""
"3A-05-1-29","processing unit","Explosive Processing","864","pieces/hr","","",""
"3A-12-4","cleaning station","Cleaning Station","864","pieces/hr","","",""
"3A-12-5","spray booth","Spray Paint Booth","480","pieces/hr","","",""
"3A-12-6","spray booth","Surface Coating Operations","480","pieces/hr","","",""
"3A-12-7","cleaning station","Cleaning Station","864","pieces/hr","","",""
