"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-01 / EP-01","pre-expansion","Sunhoon Engineering Pre-Expander, Model SHF-20000SP","2200","lb/hr","","","CE 01"
"EU-02 / EP-02","pre-expansion","Sunhoon Engineering Pre-Expander, Model SHF-20000SP","2200","lb/hr","","","CE 02"
"EU-03 / EP-05F","boiler","Kewanee- Classic III Natural Gas Boiler, 12.5 MM Btu/hr.","12500000","Btu/hr","","","CE 03"
"EU-04 / EP-06","boiler","Clever Brooks Natural Gas Fired Boiler, 10.461 MM Btu/hr.","10461000","Btu/hr","","","CE 04"
"EU-05 / EP-08","molding","Korylak/ Dingeldein Model 18-005M2 Block Molder, 1200 lb/hr","1200","lb/hr","","","CE 05"
"EU-05 / EP-08A, EU-06 / EP-08B, EU-07 / EP-09","cutting line","Block Cutting Line with Dry Filter","12","blocks/hr","","","CE 05A, CE 06A, CE 07"
"EU-06 / EP-09","molding","Hirsch Block Molder, 2300 lb/hr","2300","lb/hr","","","CE 06"
"EU-10 / EP-F03","regrinding","Regrind Hammermills - Jacobson Machine Works, 150 lb/hr","150","lb/hr","","","CE-10"
"EU-11 / EP-11A, 11B, 11C","cutting","CAD Cutters #1, #2, & #3 - E.P.S. Blocks, 10, 12, and 12 blocks/hr respectively","","","","","CE-11"
"EU-11 / EP-11A, EU-12 / EP-11B, EU-13 / EP-11C","cutting line","CAD Cutter with Dry Filters","34","blocks/hr","","","CE-11"
