"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-01","other","Primary Reformer","","","","","CE-01"
"EU-02","other","CO Stripper","","","","",""
"EU-03","other","Urea Ammonium Nitrate (UAN) Mixing Tank","","","","",""
"EU-04","other","Urea Synthesis","128.6","tons ammonia/hr","","","CE-04"
"EU-05","other","Nitric Acid Plant","","","","","CE-05"
"EU-06","other","Nitric Acid Storage Tank","","","328.97","tons nitric acid/yr",""
"EU-07A","boilers","Auxiliary Boiler A","305.7","MMBtu/hr per boiler","","","CE-07ALNB/07AFGR, CE-07BLNB/07BFGR"
"EU-07A, EU-07B","boilers","Auxiliary Boiler A and B","305.7","MMBtu/hr per boiler","","","CE-07ALNB/07AFGR, CE-07BLNB/07BFGR"
"EU-07B","boilers","Auxiliary Boiler B","305.7","MMBtu/hr per boiler","","","CE-07ALNB/07AFGR, CE-07BLNB/07BFGR"
"EU-08A","other","Ammonia Flare – Front End","","","222720","lb/yr",""
"EU-08A-2","other","Ammonia Flare – Front End (SSM)","","","222720","lb/yr",""
"EU-08A, EU-08B","other","Ammonia Flare – Front End and Back End","","","","",""
"EU-08B","other","Ammonia Flare – Back End","","","222720","lb/yr",""
"EU-08B-2","other","Ammonia Flare – Back End (SSM)","","","222720","lb/yr",""
"EU-08C","other","Ammonia Tank Flare #1","62","scf/hr","","",""
"EU-08C-2","other","Ammonia Tank Flare #1 (SSM)","62","scf/hr","","",""
"EU-08C, EU-08D","other","Ammonia Tank Flare – Front End and Back End (with SSM)","222720","lb/yr","","",""
"EU-08D","other","Ammonia Tank Flare #2","62","scf/hr","","",""
"EU-08D-2","other","Ammonia Tank Flare #2 (SSM)","62","scf/hr","","",""
"EU-09","other","Engine EDG 1101","274.6","gal/hr","","",""
"EU-10","other","Fire Pump","25","gal/hr","","",""
"EU-11","other","Startup Heater","108.6","MMBtu/hr (Nine burners rated @ 11.98 MMBtu/hr each & nine pilots rated @ 0.083 MMBtu/hr each)","","",""
"EU-12","other","Urea Granulator","60.6","tons/hr","","","CE-12"
"EU-13","other","Engine EDG 3101","104.6","gal/hr","","",""
"EU-14","other","Emergency Cooling Water Pump #1","20.9","gal/hr","","",""
"EU-14, EU-15, EU-16, EU-23, EU-25","other","Emergency Cooling Water Pump #1, #2, #3, #4 and #5","","{bhp,bhp,bhp,bhp,bhp}","","",""
"EU-15","other","Emergency Cooling Water Pump #2 (Downstream)","39.9","gal/hr","","",""
"EU-16","other","EDG 5101","28.4","gal/hr","","",""
"EU-23","other","Emergency Generator #4","14.9","gal/hr","","",""
"EU-24","other","Equipment Leaks","","","","",""
"EU-25","other","Emergency Generator #5","14.9","gal/hr","","",""
"EU-26, EU-27, EU-28","other","Off-Road Diesel Storage Tank and On-Road Diesel Storage Tank and Gasoline Storage Tank","","{gallons,gal/yr,gal/yr}","","",""
