"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-100","boilers","Electric Power Generation (Portable Generator)","535","bhp","","",""
"EP-80","cooling","Central Vacuum System","350","scfm","","","CE-80A, CE-80B"
"EP-S","boilers","Circulating Fluidizer Bed Boiler #1 and #2","498.6","MMBtu/hr","","","CE-S"
"EU-100","boilers","Electric Power Generation (Portable Generator)","535","bhp","","","CE-100"
"EU-102","other","Equipment Losses (Five S and C Vista Switches)","5.0","kV","","","CE-102"
"EU-200","other","Vet Med Incinerator","150","ton/day","","",""
"EU-203","boilers","Agronomy Hall Emergency Generator","","","","","CE-203"
"EU-206","boilers","National Laboratory for Agriculture and Environment Emergency Generator","","","","","CE-206"
"EU-208","boilers","Sweeney Hall Emergency Generator","","","","","CE-208"
"EU-210","boilers","Wallace-Wilson Halls Boiler #1","10.5","MMBtu/hr","","","CE-210"
"EU-210-S1","boilers","Wallace-Wilson Halls Boiler #1","10.5","MMBtu/hr","","","CE-210-S1"
"EU-211","boilers","Wallace-Wilson Halls Boiler #2","10.5","MMBtu/hr","","","CE-211"
"EU-220","other","FP&M Paint Spray Booth","150","ton/day","","",""
"EU-235","other","Meats Lab Linear Accelerator","100","ton/day","","",""
"EU-236","other","Meats Lab Smoke House #1","50","ton/day","","",""
"EU-237","other","Meats Lab Smoke House #2","50","ton/day","","",""
"EU-259","boilers","Lied Emergency Generator","40","bhp","","","CE-259"
"EU-292","boilers","Buchanan Hall Emergency Generator","10","bhp","","","CE-292"
"EU-366","boilers","Design College Emergency Generator","241","bhp","","","CE-366"
"EU-373","boilers","Admin. Services Emergency Generator","322","bhp","","","CE-373"
"EU-411","boilers","Eaton Hall Emergency Generator","168","bhp","","","CE-411"
"EU-412","boilers","Knapp-Storms Boiler #1","10.5","MMBtu/hr","","","CE-412"
"EU-413","boilers","Knapp-Storms Boiler #2","10.5","MMBtu/hr","","","CE-413"
"EU-419","boilers","Carver Co-Lab Emergency Generator","161","bhp","","","CE-419"
"EU-465","boilers","Pearson Emergency Generator","207","bhp","","","CE-465"
"EU-473","boilers","Martin Hall Emergency Generator","168","bhp","","","CE-473"
"EU-510","boilers","UV Emergency Generator","51","bhp","","","CE-510"
"EU-524","boilers","Oak Hall (Formerly Larch) Emergency Generator","241","bhp","","","CE-524"
"EU-526","boilers","ASC I Emergency Generator","241","bhp","","","CE-526"
"EU-588","boilers","Vet Med Boiler #1","3.093","MMBtu/hr","","",""
"EU-589","boilers","Vet Med Boiler # 2","3.0","MMBtu/hr","","","CE-589"
"EU-590","boilers","Vet Med Boiler #3","3.093","MMBtu/hr","","",""
"EU-591","boilers","Vet Med Boiler #4","3.093","MMBtu/hr","","",""
"EU-625","boilers","ABE Emergency Generator","3.093","MMBtu/hr","","",""
"EU-631","boilers","VMRI Freezer Bldg #62 Emergency Generator","315","bhp","","","CE-631"
"EU-631-S1","boilers","VMRI Freezer Bldg #62 Emergency Generator","315","bhp","","","CE-631-S1"
"EU-639","boilers","EHSSB Emergency Generator","198","bhp","","","CE-639"
"EU-639-S1","boilers","EHSSB Emergency Generator","198","bhp","","","CE-639-S1"
"EU-649","boilers","EHSSB Emergency Generator","198","bhp","","","CE-649"
"EU-649-S1","boilers","EHSSB Emergency Generator","198","bhp","","","CE-649-S1"
"EU-657","boilers","Forker Bldg Emergency Generator","131","bhp","","","CE-657"
"EU-657-S1","boilers","Forker Bldg Emergency Generator","131","bhp","","","CE-657-S1"
"EU-690","boilers","Geoffroy Hall Emergency Generator","3.0","MMBtu/hr","","","CE-690"
"EU-691","boilers","Geoffroy Hall Boiler #1","3.0","MMBtu/hr","","","CE-691"
"EU-708","cooling","North Chilled Water Plant Cooling Tower #6","","","","","CE-708"
"EU-708-S1","cooling","North Chilled Water Plant Cooling Tower #6","","","","","CE-708-S1"
"EU-709","boilers","Bessey Addition Emergency Generator","398","bhp","","","CE-709"
"EU-711","boilers","ATRB Emergency Generator","331","bhp","","","CE-711"
"EU-720","boilers","Student Innovation Center Emergency Generator","247","bhp","","","CE-720"
"EU-720-S1","boilers","Student Innovation Center Emergency Generator","247","bhp","","","CE-720-S1"
"EU-722","boilers","Gerdin Emergency Generator","132","bhp","","","CE-722"
"EU-722-S1","boilers","Gerdin Emergency Generator","132","bhp","","","CE-722-S1"
"EU-728","boilers","Helser Hall Emergency Generator","24.3","bhp","","","CE-728"
"EU-738","boilers","Sports Performance Complex Emergency Generator","284","bhp","","","CE-738"
"EU-738-S1","boilers","Sports Performance Complex Emergency Generator","284","bhp","","","CE-738-S1"
"EU-760","receiving","Ingredient Receiving","350","scfm","","",""
"EU-761A","conditioning","Hammermill","20","ton/hr","","",""
"EU-761C","conditioning","2,500 Bushel Bins #201 & 202","","","","","CE-761C"
"EU-762A","drying","Ground Grain 15 Ton Bins #301, 302, 303","","","","","CE-762A"
"EU-762B","conditioning","Dual Purpose 30 Ton Bins #304, 305","","","","","CE-762B"
"EU-763C","conditioning","Premix Ingredient 7.5 Ton Bin #310","","","","","CE-763C"
"EU-764A","conditioning","Premix Ingredient 15 Ton Bin #311","","","","","CE-764A"
"EU-764B","storage","Premix Ingredient 15 Ton Bin #312","","","","",""
"EU-764C","storage","Mixed Feed 15 Ton Bins #401, 402, 403, & 405","","","","",""
"EU-768","cooling","Pellet Cooler","10.5","MMBtu/hr","","",""
"EU-80","other","Central Vacuum System","350","scfm","","","CE-80A, CE-80B"
"EU-800","boilers","VDL Emergency Generator","3.093","MMBtu/hr","","",""
"EU-801","other","VDL Incinerator","250","ton/day","","",""
"EU-802","other","VDL Cooling Tower","18857","scfm","","",""
"EU-803","other","VDL Cooling Tower 2","18857","scfm","","",""
"EU-804","receiving","VDL Incinerator","15","ton/day","","",""
"EU-806","conditioning","FP&M Paint Spray Booth","15","ton/day","","",""
"EU-807","conditioning","Meats Lab Linear Accelerator","15","ton/day","","",""
"EU-808","conditioning","Meats Lab Smoke House #1","15","ton/day","","",""
"EU-809","conditioning","Meats Lab Smoke House #2","15","ton/day","","",""
"EU-820","boilers","Vet Med 2 Emergency Generator","15.36","MMBtu/hr","","","CE-820"
"EU-821","boilers","Vet Med Emergency Generator","15.36","MMBtu/hr","","","CE-821"
"EU-825","boilers","Therkildsen Hall Emergency Generator","247","bhp","","","CE-825"
"EU-825-S1","boilers","Therkildsen Hall Emergency Generator","247","bhp","","","CE-825-S1"
"EU-B1","boilers","Circulating Fluidizer Bed Boiler #1","249","MMBtu/hr","","","CE-B1"
"EU-B10","boilers","Boiler #10","213.6","MMBtu/hr","","","CE-B10"
"EU-B10-S1","boilers","Boiler #10 Stack","213.6","MMBtu/hr","","","CE-B10-S1"
"EU-B2","boilers","Circulating Fluidizer Bed Boiler #2","249","MMBtu/hr","","","CE-B2"
"EU-B8","boilers","Boiler #8","213.6","MMBtu/hr","","","CE-B8"
"EU-B8-S1","boilers","Boiler #8 Stack","213.6","MMBtu/hr","","","CE-B8-S1"
"EU-B9","boilers","Boiler #9","213.6","MMBtu/hr","","","CE-B9"
"EU-B9-S1","boilers","Boiler #9 Stack","213.6","MMBtu/hr","","","CE-B9-S1"
"EU-T1","other","Fuel Oil Tank Vent 1","","","","","CE-T1"
"EU-T2","other","Fuel Oil Tank Vent 2","","","","","CE-T2"
