"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-011","combustion_turbine","Combustion Turbine 1A","77","MMBtu/hr","","","CE-SCR1"
"EU-012","combustion_turbine","Combustion Turbine 1B","99","MMBtu/hr","","","CE-SCR2"
"EU-013","combustion_turbine","Combustion Turbine 2A","77","MMBtu/hr","","","CE-SCR1"
"EU-014","combustion_turbine","Combustion Turbine 2B","99","MMBtu/hr","","","CE-SCR2"
"EU-015","combustion_turbine","Combustion Turbine 3A","77","MMBtu/hr","","","CE-SCR1"
"EU-016","combustion_turbine","Combustion Turbine 3B","99","MMBtu/hr","","","CE-SCR2"
"EU-401","combustion_turbine","Combustion Turbine #1","13","MMBtu/hr","","","CE-SCR1"
"EU-402","combustion_turbine","Combustion Turbine #2","13","MMBtu/hr","","","CE-SCR2"
"EU-403","boiler","Auxiliary Boiler (52 MMBtu/hr)","52","MMBtu/hr","","","CE-OXCAT3"
"EU-404","heater","MGS Dew Point Heater #1 (13.32 MMBtu/hr)","13.32","MMBtu/hr","","","CE-LNB1, CE-OXCAT1"
"EU-404a, EU-404b, EU-404c","heater","MGS Dew Point Heater #1 (13.32 MMBtu/hr)","13.32","MMBtu/hr","","","CE-LNB1, CE-OXCAT1"
"EU-405","heater","Gas Distribution Dew Point Heater #2 (3 MMBtu/hr)","3","MMBtu/hr","","","CE-LNB2, CE-OXCAT2"
"EU-406","cooling_tower","Cooling Tower (8 Cells)","160000","gals/min","","","mist_eliminator"
"EU-407","generator","Emergency Diesel Generator (2000 kW)","2000","kW","","","scr"
"EU-408","engine","Fire Pump Engine (305 HP)","305","HP","","","scr"
"EU-409","breaker","Circuit Breakers (Three 161 kV, two 18 kV)","","","","","sf6_leak_detection"
"EU-410","heater","Marshalltown CT Dew Point Heater #3 (4.5 MMBtu/hr)","4.5","MMBtu/hr","","","ce-oxcat3"
"EU-411","tank","Fire Pump Fuel Oil Tank #1 (350 gallons)","350","gallons","","","none"
"EU-412","tank","EDG Fuel Oil Tank #2 (3500 gallons)","3500","gallons","","","none"
