"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"10-61","conditioning","Coal Crusher House and associated control equipment (Baghouse)","1100","tons/hr","","","CE 4"
"2","storage","Coal Pile, Open Storage Area","","","","",""
"202","other","Fly Ash Facility Truck Loadout and associated control equipment (Internally Vented)","75","tons/hr","","","CE 202"
"301, 306, 307, 311","other","DFGD By-Product Silos and associated control equipment (Vent Filters)","","","","","CE 301, CE 306, CE 307, CE 311"
"3-59","drying","West Rotary Car Dumper and associated control equipment (Baghouse)","3500","tons/hr","","","CE 3-4"
"4-59","drying","East Rotary Car Dumper and associated control equipment (Baghouse)","3500","tons/hr","","","CE 3-4"
"56-100, 57-101","storage","#2 Fuel Oil Tank West and East (Vertical Fixed Roof)","","","","",""
"67-34","boilers","Boiler for Plant Heat and associated control equipment (Baghouse)","77.413","MMBtu/hr","","","CE 67-34"
"72-27, 73-28","storage","West and East Side Coal Silos and associated control equipment (Baghouse)","","","","","CE 72-27, CE 73-28"
"75","other","Parts Washer Main Building and associated control equipment (Vent Filter)","","","","","CE 75"
"EP 1","boilers","Boiler, Dry Bottom Tangentially Fired and associated control equipment","","","","","CE 1A, CE 1B, CE 1C, CE 1D, CE 1E"
