"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-001","boilers","Boiler #1","","","8750","hours/year","CE-7, CE-8, CE-9"
"EU-002","boilers","Boiler #2","","","8750","hours/year","CE-7, CE-8, CE-9"
"EU-004","hair_singer","Hair Singer #1","12000","BTU/hr","","",""
"EU-005","hair_singer","Hair Singer #2","12000","BTU/hr","","",""
"EU-006","dryer","Blood Dryer","5500000","BTU/hr","","",""
"EU-008","rendering_cooker","Rendering Cooker","320000","lb/hr","","",""
"EU-010","flare","Flare for Anaerobic Lagoon","20000","cubic feet/hr","","",""
"EU-011","boilers","Boiler #3A","","","8750","hours/year","CE-12, CE-13"
"EU-11","boilers","Boiler #3A","8000000","Btu/hr","","",""
"EU-40","heater","Indirect Heaters (Combined)","","","","",""
"EU-50","tank","Tanks (Oils) - process wastewater treatment","","","","",""
"EU-70","engine","Emergency Engine (88.4 hp portable diesel engine)","112360","BTU/hr","","",""
"EU-80","bin","Blood Meal Bin","","","","",""
"EU-90","cooling_tower","Wet Cooling Towers","","","","",""
