"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU1","boilers","Electrodeposition Coating Oven, Line #1","","","","","CE-7 Afterburner (0.83 MMBTU/hr)"
"EU1A","boilers","Electrodeposition Coating Oven, Line #1","","","17.65","gallons/hr",""
"EU3","boilers","Powder Coating Oven, Line #3","5.0","MMBtu/hr","","",""
"EU7","boilers","Burn-Off Oven (0.56 mmBTU/hr)","0.56","MMBtu/hr","","",""
"Fugitive 3","boilers","Miscellaneous Painting Activities","","","","",""
"ZEP8","boilers","North Hot Water Generator, Line #3","7.5","MMBtu/hr","","",""
"ZEP8 & ZEP9","boilers","North and South Hot Water Generators (7.5 MMBtu/hr each)","7.5","MMBtu/hr","","",""
"ZEP9","boilers","South Hot Water Generator, Line #3","7.5","MMBtu/hr","","",""
"ZEU2","boilers","Powder Coat Booth, Line #3","0.5","lb/min per spray gun (14 guns)","","","CE-ZEU2 Filters"
"ZEU5","boilers","Mist Exhaust from E-Coat Pre-Treatment","","","","",""
