"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"AE17 EU-57","paint_booth","Prime Paint Booth","","","","","CE-C257"
"AE18 EU-112","heater","Prime Paint Booth Heater","7.595","MMBtu/hour","","","CE-C257"
"AE19 EU-58","paint_booth","Top Coat Paint Booth","","","","","CE-C258"
"AE20 EU-113","heater","Top Coat Paint Booth Heater","7.595","MMBtu/hour","","","CE-C258"
"AE21 EU60","mixing_room","Catalyst Paint Mixing Room","","","","",""
"AE22 EU-73","paint_booth","Manual Paint Booth","9.48","gallons/hour","","","CE-C73"
"AE23 EU-114","heater","Manual Paint Booth Heater 1","5.864","MMBtu/hour","","","CE-C73"
"AE24 EU-115","heater","Manual Paint Booth Heater 2","5.864","MMBtu/hour","","","CE-C73"
"AE25 EU-116","paint_booth","Robotic Paint Booth","15.85","gallons/hour","","","CE-C74"
"AE26 EU-117","heater","Robotic Paint Booth Heater 1","7.251","MMBtu/hour","","","CE-C74"
"AE27 EU-118","heater","Robotic Paint Booth Heater 2","7.251","MMBtu/hour","","","CE-C74"
"AE28 EU-82","paint_booth","Touch Up Paint Booth","9.48","gallons/hour","","","CE-C106"
"AE29 EU-118","heater","Touch Up Paint Booth Heater","5.1","MMBtu/hour","","","CE-C106"
"CE5 EU59","curing_oven","Paint Curing Oven","3.5","MMBtu/hr","","",""
"EP200 EU200","pump","Back Up Diesel Fire Pump","","","","",""
"EP201 EU201","pump","Back Up Diesel Fire Pump","","","","",""
"EP49 EU49","generator","Emergency Generator (Natural Gas)","149","Bhp/hr","","",""
"EP50 EU50","generator","Emergency Generator (Natural Gas)","162","Bhp/hr","","",""
"EPT01 EUT01","storage_tank","Diesel Fuel #1 Storage Tank (10,000 gal.)","","","","",""
"EPT02 EUT02","storage_tank","Antifreeze Tank (10,000 gal.)","","","","",""
"EPT03 EUT03","storage_tank","Hydraulic Oil Tank (15,000 gal.)","","","","",""
"EPT04 EUT04","storage_tank","Engine Oil Tank (15,000 gal.)","","","","",""
"EPT05 EUT05","storage_tank","Lead Free Gasoline Tank (1,000 gal.)","","","","",""
"EPT09 EUT09","storage_tank","Used Coolant Tank (6,000 gal.)","","","","",""
"EP-TC2 Oxy-Fuel Cutting Machine","cutting","Oxy-Fuel Cutting Machine","4320","in/hr steel, 2.9 gal/hr propane","","","CE-TC2"
"EP-TC2 Oxy-Fuel Cutting Machine (EU-110)","cutting","Oxy-Fuel Cutting Machine","9","in/minute","","","CE-TC2"
"EP-TC3 Oxy-Fuel Cutting Machine","cutting","Oxy-Fuel Cutting Machine","4320","in/hr steel, 2.9 gal/hr propane","","","CE-TC3"
"EP-TC3 Oxy-Fuel Cutting Machine (EU-120)","cutting","Oxy-Fuel Cutting Machine","4320","in/hour","","","CE-TC3"
"FUGTC EU40","cutting","Thermal Cutting","","","","",""
"FUGWELD EU30","welding","Welding Operations","25.59","lb electrode/hr","","","CE35"
"GE1 EU20","boiler","Natural Gas Boiler","15.574","MMBtu/hour","","",""
"GE2 EU21","boiler","Natural Gas Boiler","15.574","MMBtu/hour","","",""
"GE7 EU61","boiler","Hot Water Boiler","0.01","MMCf/hr","","",""
"OE15 EU35","welding","Reclaim Welding","25.59","lb electrode/hr","","","CE35"
"PC1 Two HyDefinition Plasma Cutters","plasma_cutting","HyDefinition Plasma Cutters","360","in/min","","","CE PF1, CE PF7"
"PC2 Two HyDefinition Plasma Cutters","plasma_cutting","HyDefinition Plasma Cutters","360","in/min","","","CE PF2, CE PF3"
"PC3 Combination Oxyfuel/Plasma Cutting Machine","cutting","Combination Oxyfuel/Plasma Cutting Machine","2820","in/hr steel, 2.2 gal/hr propane","","","CE PF9"
"PM02 EU53","mixing_room","Paint Mixing Room","","","","",""
"SB01 SB01","shot_blast","Shot Blast #M7711","127200","lb/hr","","","CE SB01"
"SB04 SB04","shot_blast","Shot Blast #M16685","127200","lb/hr","","","CE SB04"
"SB06 Enclosed Tumble Blast","blast","Enclosed Tumble Blast","19200","lb/hr","","","CE SB06"
"SB07 SB07","removal_machine","Oxide Removal Machine","3805","ft2/hr","","","CE SB07"
"SB08 Enclosed Shotblast – BCT Plate Blast","blast","Enclosed Shotblast – BCT Plate Blast","175680","lb/hr","","","CE SB08"
"SB09 Enclosed Drum Blast","blast","Enclosed Drum Blast","21000","lb/hr","","","CE SB09"
"SB10 BCT Roller Blast","blast","BCT Roller Blast","112800","lb/hr","","","CE SB10"
