"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"02-32","boiler","Maxon George Koch & Sons Pre E-Coat Dry Off Oven, combusting natural gas","4","MMBtu/hr","","","CE 02-32"
"02-35","boiler","(2) 5.3 MMBtu Maxon Corp. Model 8"" Tube-O-Therm E-Coat Alkaline Process Heaters, combusting natural gas","10.6","MMBtu/hr","","","CE 02-35"
"02-38","boiler","Cleaver Brooks West Boiler, 400 bhp; 16.737 MMBtu/hr, combusting natural gas","16.737","MMBtu/hr","","","CE 02-38"
"02-39","boiler","Cleaver Brooks East Boiler, 400 bhp; 16.737 MMBtu/hr, combusting natural gas","16.737","MMBtu/hr","","","CE 02-39"
"02-OXf, 03-OXf","baghouse","(1) Lissmac Model SBM 1500 Oxide Remover with Torit Model TD 486 Dust Collector","","","","","CE 02-OXf, CE 03-OXf"
"02-OXf and 03-OXf","baghouse","(2) Torit Model TD 486 Dust Collectors for Lissmac Model SBM 1500 Oxide Remover, combusting natural gas","","","","","CE 02-OXf, CE 03-OXf"
"02-P10","boiler","Maxon Powder Coat Paint Cure Oven with (4) 3.6 MMBtu/hr, (6) 4.0 MMBtu/hr, and (1) 1.0 MMBtu Maxon LE Low Emission Burners combusting natural gas","","","","","CE 02-P10"
"03-02","boiler","Cleaver Brooks BLD 3 Steam Boiler, 300 bhp; 12.554 MMBtu/hr, combusting natural gas","12.554","MMBtu/hr","","","CE 03-02"
"03-27","boiler","George Koch & Sons Washer Dry Off Oven, combusting natural gas","4","MMBtu/hr","","","CE 03-27"
"03-30 and 03-31","boiler","Immersol Jet Burner: Washer-Heat Stage 1B and Stage 1A, combusting natural gas","","","","","CE 03-30, CE 03-31"
"11-08","baghouse","Centro Plastic Storage Silo with Camcorp Model 2088 Silo Bin Vent Dust Collector","","","","","CE 11-08"
"11-09, 11-10, 11-11","boiler","Rotational Engineering Inc. Rotomold Oven with LE Burners and Cooling Chambers, combusting natural gas","","","","","CE 11-09, CE 11-10, CE 11-11"
"11-13, 11-14, 11-15","boiler","Rotational Engineering Inc. Ovenpak Rotomold Natural Gas Fired Oven with LE Burners and Pre-cool and Cooling Chambers, combusting natural gas","","","","","CE 11-13, CE 11-14, CE 11-15"
