"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"10-PBT-1","storage_tank","Bulk Storage Tank (10,000 gal.) 00-A-517","","","","","00-A-517, N/A"
"10-PBT-2","storage_tank","Bulk Storage Tank (10,000 gal.) 00-A-526","","","","","00-A-526, N/A"
"10-PDF-1","curing_oven","Crawler Paint Curing Oven 97-A-994","","","","","97-A-994, Natural Gas/Propane"
"10-PDF-2","curing_oven","Crawler Paint Curing Oven 97-A-995","","","","","97-A-995, Natural Gas/Propane"
"11-PBT-1","storage_tank","Bulk Storage Tank (10,000 gal.) 00-A-518","","","","","00-A-518, N/A"
"11-PBT-2","storage_tank","Bulk Storage Tank (10,000 gal.) 00-A-527","","","","","00-A-527, N/A"
"12-PBT-1","storage_tank","Bulk Storage Tank (10,000 gal.) 00-A-519","","","","","00-A-519, N/A"
"12-PBT-2","storage_tank","Bulk Storage Tank (10,000 gal.) 00-A-528","","","","","00-A-528, N/A"
"13-PBT-1","storage_tank","Bulk Storage Tank (10,000 gal.) 00-A-520","","","","","00-A-520, N/A"
"13-PBT-2","storage_tank","Bulk Storage Tank (10,000 gal.) 00-A-529","","","","","00-A-529, N/A"
"14-PBT-1","storage_tank","Bulk Storage Tank (10,000 gal.) 00-A-521","","","","","00-A-521, N/A"
"14-PBT-2","storage_tank","Bulk Storage Tank (10,000 gal.) 00-A-530","","","","","00-A-530, N/A"
"15-PBT-1","storage_tank","Bulk Storage Tank (10,000 gal.) 00-A-522","","","","","00-A-522, N/A"
"15-PBT-2","storage_tank","Bulk Storage Tank (10,000 gal.) 00-A-531","","","","","00-A-531, N/A"
"15-PUG-1","boiler","Crawler Boiler 18-A-688-S1","","","","","18-A-688-S1, N/A"
"16-PBT-1","storage_tank","Bulk Storage Tank (10,000 gal.) 00-A-523","","","","","00-A-523, N/A"
"16-PBT-2","storage_tank","Bulk Storage Tank (10,000 gal.) 00-A-532","","","","","00-A-532, N/A"
"17-PBT-2","storage_tank","Bulk Storage Tank (10,000 gal.) 00-A-533","","","","","00-A-533, N/A"
"17-PSP-1","paint_booth","Crawler Base Coat Paint Booth","","","","","97-A-990-S3, Dry Filter"
"17-PSP-2","paint_booth","Crawler Top Coat Paint Booth","","","","","97-A-991-S3, Dry Filter"
"18-PBT-2","storage_tank","Bulk Storage Tank (10,000 gal.) 00-A-534","","","","","00-A-534, N/A"
"18-PSP-1","paint_booth","Crawler Top Coat Paint Booth","","","","","97-A-992-S3, Dry Filter"
"18-PSP-2","paint_booth","Crawler Top Coat Paint Booth","","","","","97-A-993-S3, Dry Filter"
