"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"100TC3-16","engine_test_cell","Engine Test Cells #3 to #16","222.8","tons/yr (rolling 12-month total)","","","None"
"104","fire_pump","Fire Pump Diesel Engine (West)","170","bhp","","","None"
"108","fire_pump","Fire Pump Diesel Engine (East)","265","bhp","","","None"
"110","generator","Emergency Generator (755 bhp)","755","bhp","","","None"
"32","flash_off_tunnel","Flash Off Tunnel 1","7","MMBtu/hr","","","None"
"33","final_cure_oven","Final Cure Oven 1","2","MMBtu/hr","","","None"
"96","fuel_island","Gasoline Fuel Island N.A.","275","gallons","","","None"
"B2","boiler","Boiler #2","11.8","MMBTU/hr","","","FGR (CE B2)"
"B3","boiler","Boiler #3","11.8","MMBTU/hr","","","FGR (CE B3)"
"B4","boiler","Boiler #4","12.4","MMBTU/hr","","","FGR (CE B4)"
"PBMZ1","paint_booth","Paint Booth Manual Zone 1","","","","","CE PBMZ1"
"PBMZ2","paint_booth","Paint Booth Manual Zone 2","","","","","CE PBMZ2"
"PBRZ1","paint_booth","Paint Booth Robot Zone 1","","","","","CE PBRZ1"
"PBRZ2","paint_booth","Paint Booth Robot Zone 2","","","","","CE PBRZ2"
"RPB","rust_preventative_booth","Rust Preventative Booth","36.8","MMBtu/hr","","","Dry Filters, Two Stages"
