"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"804CR 804 Cleaning Room Baghouse","cleaning","Cleaning room baghouse for the jobbing floor","","","","","CE 804CR"
"804CS9-804CS10 804 Cooling Shed","mold line","Cooling shed for the mold line","43.8","tons/hr","","","CE IIBH1E"
"P-001-IF Induction Melt Furnace #1","induction melt furnace","Induction melt furnace for metal processing","49.5","tons/hr","","","IFBH2"
"P-002-IF Induction Melt Furnace #2","melt","Induction melt furnace for the melt unit","49.5","tons/hr","","","IFBH"
"P-003-IF Induction Melt Furnace #3","induction melt furnace","Induction melt furnace for metal processing","49.5","tons/hr","","","IFBH"
"P-004-IF Induction Melt Furnace #4","induction melt furnace","Induction melt furnace for metal processing","49.5","tons/hr","","","IFBH"
"P-069 Core Oven, Wash Dip Tank, and Spray Guns (OSI)","core making","Core oven, wash dip tank, and spray guns for the core making line","3.0","MMBtu/hr","","","075"
"P-071 Core Oven, Wash Dip Tank, and Spray Guns 01-A-948-S2","drying","Core oven for washing and dipping cores with spray guns","","","3.6","tons/hr","CE 075"
"P-071 Core Oven, Wash Dip Tank, and Spray Guns (OSI)","core making","Core oven, wash dip tank, and spray guns for the core making line","3.0","MMBtu/hr","","","075"
"P-072 Core Oven, Wash Dip Tank, and Spray Guns (OSI)","core making","Core oven, wash dip tank, and spray guns for the core making line","3.0","MMBtu/hr","","","075"
"P-073 Core Oven, Wash Dip #1","core making","Core oven and wash dip for the core making line","","","6.0","MMBtu/hr","CE 073"
"P-073 Core Oven, Wash Dip Tank, and Spray Guns 12-A-501-P2","drying","Core oven for washing and dipping cores with spray guns","","","3.6","tons/hr","CE 075"
"P-073 Core Oven, Wash Dip Tank, and Spray Guns (OSI)","core making","Core oven, wash dip tank, and spray guns for the core making line","6.0","MMBtu/hr","","","075"
"P-074 Core Oven, Wash Dip #2","core making","Core oven and wash dip for the core making line","","","6.0","MMBtu/hr","CE 074"
"P-074 Core Oven, Wash Dip Tank, and Spray Guns 12-A-502-P2","drying","Core oven for washing and dipping cores with spray guns","","","3.6","tons/hr","CE 075"
"P-074 Core Oven, Wash Dip Tank, and Spray Guns (OSI)","core making","Core oven, wash dip tank, and spray guns for the core making line","6.0","MMBtu/hr","","","075"
"P-075 Sand Handling System","core making","Sand handling system for the core making line","23.5","tons/hr","","","CE 075"
"P-075 Sand Handling System 13-A-190-P3","drying","Sand handling system for processing and storage of sand","23.5","tons/hr","","","CE 075"
"P-076 Sand Handling System 13-A-191-P1","drying","Sand handling system for processing and storage of sand","33","tons/hr","","","CE 076"
"P-082 Phenolic Urethane Cold Box","core making","Phenolic urethane cold box for the core making line","60000","tons/hr","","","CE 082"
"P-082 Phenolic Urethane Cold Box 95-A-002-P6","refining","Phenolic urethane cold box for core making and resin processing","30600","tons/hr","","","CE 082"
"P-083 Core Making Line 13-A-192-P2","refining","Core making line for resin and catalyst processing","60000","tons/hr","","","CE 083"
"P-091 Jobbing Floor Pouring and Cooling 95-A-005-P4","cooling","Jobbing floor for pouring and cooling of castings","","","3.6","tons/hr","CE IIBH1E"
"P-091 Jobbing Floor Pouring and Cooling (Mold Line - Phenolic Urethane Bake Core Making)","jobbing floor","Pouring and cooling process for the jobbing floor","","","43.8","tons/hr","076"
"P-120B D830 Iron Inoculation","induction melt furnace","Iron inoculation process for induction melt furnaces","","","72","tons/hr","AlloyBH"
"P-120B D830 Iron Inoculation N/A","induction melt furnace","Iron inoculation process for induction melt furnaces","72","tons/hr","","","AlloyBH"
"P-120B-IF Alloy Addition System","alloy addition","Alloy addition system for induction melt furnaces","93.5","tons/hr","","","AlloyBH"
