"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"C12BO","bake_oven","C12 Bake Oven","8.0","MMBtu/hr","","","CE C12BO: 4.2 MMBtu/hour"
"C12PS-1-B","spray_paint_booth","C12 Spray Paint Booth, Booth Heater #1","","","","","CE C12PSW: 97-A-633-S10"
"C12PS-2-B","boiler","C12 Booth Heater #1, 97-A-633-S10","8.95","MMBtu/hr","","","Natural Gas"
"C12PS-3-B","spray_paint_booth","C12 Spray Paint Booth, Booth Heater #3","","","","","CE C12PSW: 97-A-634-S10"
"C12PS-4-B","spray_paint_booth","C12 Spray Paint Booth, Booth Heater #4","","","","","CE C12PSW: 97-A-635-S10"
"C12TU","spray_paint_booth","C12 Touch-Up Paint Booth","","","","","CE C12TU: 0.38 gal/hr"
"C13PSCK","paint_kitchen","C13 Paint Kitchen, Exempt","","","","","Paint and Solvent"
"C2 RP Tank","storage_tank","C2 RP Tank Rust Preventative","150","gal","","",""
"C2RP Tank","storage_tank","C2 RP Tank, 150 gal","150","gal","","","Rust Preventative"
"C4PS","spray_paint_booth","C4 Spray Paint Booth, Bake Oven #3","","","","","CE C4D1: 9.38 gallons/hour"
"C4PS1","spray_paint_booth","C4 Spray Paint Booth, 94-A-263-S5","9.38","gal/hr","","","CE C4D1: 09-A-498-S5"
"C4PS2","spray_paint_booth","C4 Spray Paint Booth, Bake Oven #2","","","","","CE C4D1: 9.38 gallons/hour"
"C4PS3","spray_paint_booth","C4 Spray Paint Booth, Bake Oven #4","","","","","CE C4D1: 9.38 gallons/hour"
"C4PS4","spray_paint_booth","C4 Spray Paint Booth, Bake Oven #5","","","","","CE C4D1: 9.38 gallons/hour"
"C7 WASH BAY","wash_system","C7 Wash Bay, 4 gal/min","4.0","gal/min","","","Natural Gas"
"C9 KIT","paint_kitchen","C9 Paint Kitchen, Exempt","","","","","Paint and Solvent"
"C9 KIT, E3 KIT, W3 KIT, W4 CHEM and C13PSCK","storage_kitchen","Paint Kitchens & Chemical Storage","","","","",""
"C9RPS-1","spray_paint_booth","C9 Rework Booth","","","","","CE C9RPS-1: 4.2 MMBtu/hour"
"C9RPS-2","bake_oven","C9 Bake Oven","4.2","MMBtu/hr","","","CE C9RPS-2: 4.2 MMBtu/hour"
"C EGEN","generator","Emergency Generator in C Building, Natural Gas 16 BHP","16","BHP","","","Natural Gas"
"Dip Clean Out Tank","dip_tank","Dip Clean Out Tank, NA","","","2200000","lb/yr","Paint and Solvent"
"E2","wash_system","E2 Wash System, Oven","","","","","CE E2 Oven: 1.9 MMBtu/hr"
"E2 Oven","bake_oven","Oven, Natural Gas 1.9 MMBtu/hr","1.9","MMBtu/hr","","","Natural Gas"
"E2 Wash","wash_system","E2 Wash System, 02-A-016-S7","5.0","gal/min","","","Natural Gas"
"E3 KIT","paint_kitchen","E3 Paint Kitchen, Exempt","","","","","Paint and Solvent"
"E3P-1-O","dip_tank","E3 Paint Dip Tank, 21.1 gal/hr","21.1","gal/hr","","","NA"
"E3P-2-O","dip_tank","E3 Paint Dip Tank, 10,000 gallons","10000","gal","","","NA"
"E3P-3-O","dip_tank","E3 Paint Dip Tank, 21.1 gal/hr","21.1","gal/hr","","","NA"
"E3P-4-O","dip_tank","E3 Paint Dip Tank, 10,000 gallons","10000","gal","","","NA"
"E3P-5-O","dip_tank","E3 Paint Dip Tank, 21.1 gal/hr","21.1","gal/hr","","","NA"
"E3P-6-O","dip_tank","E3 Paint Dip Tank, 21.1 gal/hr","21.1","gal/hr","","","NA"
"E3PS-1-B","spray_paint_booth","E3 Spray Paint Booth, Dry Filters: 2 electrostatic spray guns, each at 9.38 gallons/hour","","","","","Dry Filters"
"E3PS-2-B","spray_paint_booth","E3 Spray Paint Booth, Dry Filters: 2 electrostatic spray guns, each at 9.38 gallons/hour","","","","","Dry Filters"
"E3PS-3-B","spray_paint_booth","E3 Spray Paint Booth, Dry Filters: 1 HVLP spray gun, at 8.44 gallons/hour","","","","","Dry Filters"
"E3PS-4-B","spray_paint_booth","E3 Spray Paint Booth, Dry Filters: 1 conventional spray gun, at 8.44 gallons/hour","","","","","Dry Filters"
"E4 Oven","bake_oven","E4 Paint Line Oven","3.7","MMBtu/hr","","","CE E4 Oven: 02-A-042-S2"
"EGEN","generator","Emergency Generator Engine, Natural Gas 162 BHP","162","BHP","","","Natural Gas"
"EGEN & C EGEN","generator","Emergency Generator Engines","178","BHP","","","CE EGEN: 162 BHP, CE C EGEN: 16 BHP"
"GHG","heater","Space Heaters and Water Heaters, NA","","","10","MMBtu/hr","Natural Gas"
"L4PS-1-B","spray_paint_booth","L4 Spray Paint Booth, Booth Heater #1","","","","","CE L4PSW: 02-A-185-S11"
"L4PS-2-B","boiler","L4 Booth Heater, 02-A-185-S11","6.22","MMBtu/hr","","","Natural Gas"
"L4PS-3-B","spray_paint_booth","L4 Spray Paint Booth, Booth Heater #3","","","","","CE L4PSW: 02-A-185-S11"
"TM3G","storage_tank","TM3G Gasoline Tank, NA","515","gal","","","Natural Gas"
"W3 KIT","paint_kitchen","W3 Paint Kitchen, Exempt","","","","","Paint and Solvent"
"W4CHEM","chemical_storage","W4 Chemical Storage, Exempt","","","","","Natural Gas"
"WPR","welding_vents","Production Welding Vents Inside, Weld Wire 1,500,000 lb/yr","","","1500000","lb/yr","NA"
"WPR (Vents Inside)","ventilation_system","Production Welding Vents","","","1500000","lb/yr",""
