"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"1A06","engine test cell","Tilt Table Engine Test Cell","","","","","1A06-BB, 2A01-BB, 2A02-BB, 2A03-BB, 2A04-BB, 2A06-BB, 2A07-BB, 2A08-BB, 2A09-BB, 2A10-BB, 2AN01 (2A12)-BB, 2AN03 (2A13)-BB, 2AN08 (2AX12)-BB, 2AN10 (2AX11)-BB, 2AN11 (2AX10)-BB, 2AN13 (2AX9)-BB"
"2A01","engine test cell","P&E Engine Test Cell","750","hp","","","2A01-BB"
"2A02","engine test cell","P&E Engine Test Cell","750","hp","","","2A02-BB"
"2A03a","engine test cell","P&E Engine Test Cell","1347","hp","","","2A03-BB"
"2A03b","engine test cell","P&E Engine Test Cell","1347","hp","","","2A03-BB"
"2A04a","engine test cell","P&E Engine Test Cell","460","hp","","","2A04-BB"
"2A04b","engine test cell","P&E Engine Test Cell","460","hp","","","2A04-BB"
"2A06","engine test cell","P&E Engine Test Cell","675","hp","","","2A06-BB"
"2A07a","engine test cell","P&E Engine Test Cell","190","hp","","","2A07-BB"
"2A07b","engine test cell","P&E Engine Test Cell","190","hp","","","2A07-BB"
"2A08a","engine test cell","P&E Engine Test Cell","850","hp","","","2A08-BB"
"2A08b","engine test cell","P&E Engine Test Cell","850","hp","","","2A08-BB"
"2A09","engine test cell","P&E Engine Test Cell","845","hp","","","2A09-BB"
"2A10","engine test cell","P&E Engine Test Cell","675","hp","","","2A10-BB"
"2AN01 (2A12)","engine test cell","P&E Engine Test Cell","460","hp","","","2AN01 (2A12)-BB"
"2AN03 (2A13)","engine test cell","P&E Engine Test Cell","330","hp","","","2AN03 (2A13)-BB"
"2AN08 (2AX12)","engine test cell","P&E Engine Test Cell","460","hp","","","2AN8 (2AX12)-BB"
"2AN10 (2AX11)","engine test cell","P&E Engine Test Cell","330","hp","","","2AN10 (2AX11)-BB"
"2AN10 (2AX11)a","engine test cell","P&E Engine Test Cell","330","hp","","","2AN10 (2AX11)-BB"
"2AN10 (2AX11)b","engine test cell","P&E Engine Test Cell","330","hp","","","2AN10 (2AX11)-BB"
"2AN11 (2AX10)","engine test cell","P&E Engine Test Cell","1000","hp","","","2AN11 (2AX10)-BB"
"2AN13 (2AX9)","engine test cell","P&E Engine Test Cell","675","hp","","","2AN13 (2AX9)-BB"
"2AX01","engine test cell","P&E Engine Test Cell","460","hp","","","2AX01-BB"
"2AX01 AX01","engine test cell","P&E Engine Test Cell","460","hp","","","2AX01-BB"
"2AX02","engine test cell","P&E Engine Test Cell","850","hp","","","2AX02-BB"
"2AX02 AX02","engine test cell","P&E Engine Test Cell","850","hp","","","2AX02-BB"
