"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"1020-13","boiler","Boiler","10.206","MMBtu/hr","","","CE 9"
"1020-14","boiler","Boiler","24.494","MMBtu/hr","","","CE 10"
"1020-17a","radiant furnace","Radiant HT Furnace 0.85 MMBtu/hr","0.85","MMBtu/hr","","","CE 1020-17a"
"1020-17c","endo gas furnace","Endo Gas Furnace 0.75 MMBtu/hr","0.75","MMBtu/hr","","","CE 1020-17c"
"A1-01","boilers","Boiler Exempt 9963","6.28","MMBtu/hr","","","CE A1-01"
"A1-02","boilers","Boiler Exempt 9963","6.28","MMBtu/hr","","","CE A1-02"
"H1-TD","thermal deburring","Thermal Deburring","35","ft3/hr","","","CE H1-TD"
"H3-33","gas generator furnace","Rx Gas Generator Furnace 1.80 MMBtu/hr","1.8","MMBtu/hr","","","CE H3-33"
"H3-34","gas generator furnace","Rx Gas Generator Furnace 1.80 MMBtu/hr","1.8","MMBtu/hr","","","CE H3-34"
"H3-35","gas generator furnace","Rx Gas Generator Furnace 1.80 MMBtu/hr","1.8","MMBtu/hr","","","CE H3-35"
"H3-6041","carburizing","TQF Carburizing Furnaces 1.56 MMBtu/hr each","1.56","MMBtu/hr","","","CE H3-6041"
"H3-6073","carburizing","TQF Carburizing Furnaces 1.56 MMBtu/hr each","1.56","MMBtu/hr","","","CE H3-6073"
"H3-6084","carburizing","TQF Carburizing Furnaces 1.56 MMBtu/hr each","1.56","MMBtu/hr","","","CE H3-6084"
"H3-6090","carburizing","TQF Carburizing Furnaces 1.56 MMBtu/hr each","1.56","MMBtu/hr","","","CE H3-6090"
"H3-6097","carburizing","TQF Carburizing Furnaces 1.56 MMBtu/hr each","1.56","MMBtu/hr","","","CE H3-6097"
"H3-6098","carburizing","TQF Carburizing Furnaces 1.56 MMBtu/hr each","1.56","MMBtu/hr","","","CE H3-6098"
"H3-6104","carburizing","TQF Carburizing Furnaces 1.56 MMBtu/hr each","1.56","MMBtu/hr","","","CE H3-6104"
"H3-6105","carburizing","TQF Carburizing Furnaces 1.56 MMBtu/hr each","1.56","MMBtu/hr","","","CE H3-6105"
"H3-6106","carburizing","TQF Carburizing Furnaces 1.56 MMBtu/hr each","1.56","MMBtu/hr","","","CE H3-6106"
"H3-6192","carburizing","RTQ Carburizing Furnace 1.19 MMBtu/hr","1.19","MMBtu/hr","","","CE H3-6192"
"H3-6217","rotary furnace","Holcroft Rotary Furnace 3.50 MMBtu/hr","3.5","MMBtu/hr","","","CE H3-6217"
"H3-BF-1","carburizing","TQF Carburizing Furnaces 1.56 MMBtu/hr each","1.56","MMBtu/hr","","","CE H3-BF-1"
"H3-BF-2","drying","TQF Carburizing Furnaces 6041, 6073, 6084 (1.56 MMBtu/hr each)","1.56","MMBtu/hr","","","CE H3-BF-2"
"H3-HF-1","furnace exhaust","Ipsen Furnaces 1-11 Entrance Door Exhausts 0.001 MMBtu/hr each","0.001","MMBtu/hr","","","CE H3-HF-1"
"H3-HF-2","furnace exhaust","Ipsen Furnaces 1-11 Exit Door Exhausts 0.002 MMBtu/hr each","0.002","MMBtu/hr","","","CE H3-HF-2"
"H3-HF-5","rotary furnace","Holcroft Rotary Furnace 3.50 MMBtu/hr","3.5","MMBtu/hr","","","CE H3-HF-5"
"H4-08","drying","DTO Stop Off Drying Area","0.5","MMBtu/hr","","","CE H4-08"
"H4-09","spraying","DTO Stop Off Spray Booth","5.63","gal/hr","","","CE H4-09"
"H4-0A-EQ","quenching","Quench Section 0A","0.6","MMBtu/hr","","","CE H4-0A-EQ"
"H4-0B-EQ","quenching","Quench Section 0B","0.6","MMBtu/hr","","","CE H4-0B-EQ"
"H4-0B-HT","carburizing","Carburizing Furnace 0B","1.2","MMBtu/hr","","","CE H4-0B-HT"
"H4-1A-EQ","quenching","Quench Section 1A","0.6","MMBtu/hr","","","CE H4-1A-EQ"
"H4-1A-HT","drying","Carburizing Furnace 12-A-506-P2","1.2","MMBtu/hr","","","CE H4-1A-HT"
"H4-1B-EQ","quenching","Quench Section 1B","0.6","MMBtu/hr","","","CE H4-1B-EQ"
"H4-1B-HT","carburizing","Carburizing Furnace 1B","1.2","MMBtu/hr","","","CE H4-1B-HT"
"H4-2A-EQ","quenching","Quench Section 2A","0.6","MMBtu/hr","","","CE H4-2A-EQ"
"H4-2A-HT","carburizing","Carburizing Furnace 0A","1.2","MMBtu/hr","","","CE H4-2A-HT"
"H4-2B-EQ","quenching","Quench Section 2B","0.6","MMBtu/hr","","","CE H4-2B-EQ"
"H4-2B-HT","carburizing","Carburizing Furnace 2B","1.2","MMBtu/hr","","","CE H4-2B-HT"
