"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"6020-32 & 6030-13","generator","Emergency Diesel Generators and Pumps","","bhp","","",""
"6020-40","painting","Chassis Paint Booth","","","","","CE-10, CE-11"
"6020-50","boiler","Chassis Paint System Oven","37.4","MMBtu/hr","","",""
"6020-60","cleaning","Manual Gun Solvent Cleaning","","","","",""
"6060-01","painting","Tractor Touch-Up Paint Booth","8.0","gal/hr","","","Dry Filter"
"6060-03","boiler","Boiler CB200","8.375","MMBtu/hr","","",""
"6110-01 & 6140-01","pump","Fire Protection Pumps and Generators","","bhp","","",""
"6110-02","heater","Fire Protection Tank Heater","1.9","MMBtu/hr","","",""
"6130-01 & 6130-02","boiler","Boilers (D68 and D52)","","MMBtu/hr","","",""
"6130-10 & 6130-11","storage","Biodiesel Storage Tanks","","gal","","",""
"Fugitive 1","fugitive","Fugitive Surface Coating Material Emissions from Manufacturing Activities","","","","",""
