"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-01","storage","Pneumatic Sand Tank","","","25","tons/hr","CE-01"
"EU-03","storage","Reclaim Sand Day Tank #1","","","20","tons/hr","CE-02"
"EU-11","conditioning","Palmer Sand Conditioner","","","12.5","tons/hr",""
"EU-14-1","mixing","Loop Mixer","","","12.5","tons/hr",""
"EU-14-2","mixing","Large Mixer","","","12.5","tons/hr",""
"EU-15","blasting","Tumble Blast (34 cu ft)","3.06","tons/hr","","","CE-08"
"EU-18-1, EU-18-2, EU-18-3, EU-18-4, EU-18-5, EU-18-6, EU-18-7","heating","Casting Heat Treat Ovens (Natural Gas)","7","MMBtu/hr","","","CE-01, CE-02, CE-03, CE-04, CE-05, CE-06, CE-07"
"EU-21","cooling","Pouring and Cooling","","","10","tons/hr","CE-09"
"EU-25-1N-A, EU-25-1N-B, EU-25-1S-A, EU-25-1S-B","welding","Casting Welding/Repair (Carbon Rod)","3","lb/hr","","","CE-09"
"EU-25-2N-A, EU-25-2N-B, EU-25-2S-A, EU-25-2S-B","welding","Casting Welding/Repair (Carbon Rod)","3","lb/hr","","","CE-09"
"EU-25-3N-A, EU-25-3N-B","welding","Casting Welding/Repair (Carbon Rod)","3","lb/hr","","","CE-09"
"EU-25-4N-A, EU-25-4N-B, EU-25-4S-A, EU-25-4S-B","welding","Casting Welding/Repair (Carbon Rod)","3","lb/hr","","","CE-09"
"EU-25-5N-A, EU-25-5N-B, EU-25-5S-A, EU-25-5S-B","welding","Casting Welding/Repair (Carbon Rod)","3","lb/hr","","","CE-09"
"EU-25i","welding","Casting Welding/Repair (Carbon Rod)","3","lb/hr","","","CE-09"
"EU-26","blasting","Walk-in Blast Booth #2","2.5","tons/hr","","","CE-26"
"EU-30B-1","filtering","Bin Vent Filter for Sand Day Tank #2 (Reclaim)","","","15","tons/hr","CE-30B-1"
"EU-30B-4","filtering","Bin Vent Filter for Sand Day Tank #2 (Reclaim)","","","15","tons/hr","CE-08"
"EU-33","blasting","Walk-in Blast Booth #1","2","tons/hr","","","CE-07"
"EU-34-1","filtering","Bin Vent Filter for New Sand 150-Day Tank (Filters)","","","2.2","tons/hr","CE-34A"
"EU-34-1, EU-34-2, EU-34-3, EU-34-4","filtering","Bin Vent Filters for New Sand 150-Day Tank","","","35.62","tons/hr","CE-34-1, CE-34-2, CE-34-3, CE-34-4"
"EU-37i","welding","Casting Repair Welding/Repair (Welders and Filters)","","","12.5","tons/hr","CE-37A, CE-37B"
"EU-37S3","welding","Casting Repair Welding/Repair (Welders and Filters)","","","12.5","tons/hr","CE-37A"
"EU-49","blasting","Walk-in Blast (Filters)","2.5","tons/hr","","","CE-26"
"EU-52","receiving","Receiving Hopper, Small Shaker Table, and Large Shaker Table","","","10","tons/hr","CE-12"
"EU-53i","heating","Electric Sand Heater #1 (Filters)","","","20","tons/hr","CE-53A"
"EU-53i, EU-54i","heating","Electric Sand Heaters #1 and #2","","","20","tons/hr","CE-53i, CE-54i"
"EU-54i","heating","Electric Sand Heater #2 (Filters)","","","20","tons/hr","CE-54A"
"EU-56","mixing","15 Core Per-Mix","","","7.41","tons/hr","CE-09"
"EU-58i","mixing","Mold Mixers #1 and #2 (Washing)","","","10","tons/hr","CE-58i"
"EU-63","heating","Induction Furnace (Filters)","2.2","tons/hr","","","CE-17"
