"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-01A","boilers","Ammonia Vapor Flare Burner","","","","","CE-01"
"EU-01B","boilers","Ammonia Vapor Flare","","","","","CE-02"
"EU-02","boilers","CO Regenerator","","","","","CE-03"
"EU-02 CO Regenerator","boilers","CO Regenerator","","","","",""
"EU-03 Condensate Stripper System","boilers","Condensate Stripper System","","","","",""
"EU-05A","boilers","Primary Reformer","607.2","MMBtu/hr","","","CE-04"
"EU-05A Primary Reformer","boilers","Primary Reformer","607.2","MMBtu/hr","","","CE-05"
"EU-05B","boilers","Primary Reformer","607.2","MMBtu/hr","","","CE-05"
"EU-05B Primary Reformer","boilers","Primary Reformer","607.2","MMBtu/hr","","","CE-05"
"EU-06A","boilers","Auxiliary Boiler and Flue Gas Recirculation System","240","MMBtu/hr","","","CE-06"
"EU-06A Auxiliary Boiler","boilers","Auxiliary Boiler and Flue Gas Recirculation","240","MMBtu/hr","","",""
"EU-07","boilers","Desulfurizer Absorbent Reduction System","1.108","MMBtu/hr","","","CE-07"
"EU-07 Desulfurizer Absorbent Reduction","boilers","Desulfurizer Absorbent Reduction","1.108","MMBtu/hr","","",""
"EU-08","boilers","High Temperature Shift Vent","2.52","MMBtu/hr","","","CE-08"
"EU-08 High Temperature Shift Vent","boilers","High Temperature Shift Vent","2.52","MMBtu/hr","","",""
"EU-09","boilers","Low Temperature Shift/Short Shift Vent","2.52","MMBtu/hr","","","CE-09"
"EU-09 Low Temperature Shift/Short Shift Vent","boilers","Low Temperature Shift/Short Shift Vent","2.52","MMBtu/hr","","",""
"EU-10","boilers","Lime Silo","18.0","ton/hr","","","CE-10"
"EU-10 Lime Silo","boilers","Lime Silo","18.0","ton/hr","","","CE-01"
"EU-11","boilers","Natural Gas Start-up Heater","0.012","MMBtu/hr","","","CE-11"
"EU-11 Natural Gas Start-up Heater","boilers","Natural Gas Start-up Heater","0.012","MMBtu/hr","","",""
"EU-14","boilers","North Murray Boiler","0.035","MMBtu/hr","","","CE-12"
"EU-14 North Murray Boiler","boilers","North Murray Boiler","0.035","MMBtu/hr","","",""
"EU-15","boilers","South Murray Boiler","0.035","MMBtu/hr","","","CE-13"
"EU-15 South Murray Boiler","boilers","South Murray Boiler","0.035","MMBtu/hr","","",""
"EU-20","boilers","Ammonia Heater 2104-C","51.0","MMBtu/hr","","","CE-14"
"EU-20 Ammonia Heater 2104-C","boilers","Ammonia Heater 2104-C","51.0","MMBtu/hr","","",""
"EU-23","boilers","Nitric Acid Plant Tail Gas Emission Point","2.88","MMBtu/hr","","","CE-15"
"EU-23 Nitric Acid Plant Tail Gas","boilers","Nitric Acid Plant Tail Gas","2.88","MMBtu/hr","","","CE-02"
"EU-24","boilers","Ammonium Nitrate Neutralizer Scrubber","82.9","ton/hr, 32% UAN","","","CE-16"
"EU-24 Ammonium Nitrate Neutralizer Scrubber","boilers","Ammonium Nitrate Neutralizer Scrubber","82.9","ton/hr, 32% UAN","","","CE-04"
"EU-37","boilers","Administration Building Emergency Generator","224.0","bhp","","","CE-17"
"EU-37 Administration Building Emergency Generator","boilers","Administration Building Emergency Generator","224.0","bhp","","",""
"EU-38","cooling_tower","Ammonia 4th Cell Cooling Tower","1320000.0","gallons/hr (total for 3 cells)","","","CE-18"
"EU-38 Ammonia 4th Cell Cooling Tower","cooling towers","Ammonia 4th Cell Cooling Tower","1320000.0","gallons/hr (total for 3 cells)","","","CE-07"
"EU-39","cooling_tower","Ammonia 3-Cell Cooling Tower","1320000.0","gallons/hr (total for 3 cells)","","","CE-19"
"EU-39 Ammonia 3-Cell Cooling Tower","cooling towers","Ammonia 3-Cell Cooling Tower","1320000.0","gallons/hr (total for 3 cells)","","","CE-07"
"EU-40","cooling_tower","Ammonia 5th Cell Cooling Tower","600000.0","gallons/hr","","","CE-20"
"EU-40 Ammonia 5th Cell Cooling Tower","cooling towers","Ammonia 5th Cell Cooling Tower","600000.0","gallons/hr","","","CE-08"
"EU-41","cooling_tower","UAN 2-Cell Cooling Tower","1260000.0","gallons/hr (total for 2 cells)","","","CE-21"
"EU-41 UAN 2-Cell Cooling Tower","cooling towers","UAN 2-Cell Cooling Tower","1260000.0","gallons/hr (total for 2 cells)","","","CE-09"
"EU-45","boilers","Emergency Fire Pump Engine","542.0","bhp","","","CE-22"
"EU-45 Emergency Fire Pump Engine","boilers","Emergency Fire Pump Engine","542.0","bhp","","",""
"EU-46","boilers","Emergency Engine on MCC","1494.0","bhp","","","CE-23"
"EU-46 MCC Emergency Engine","boilers","MCC Emergency Engine","1494.0","bhp","","",""
