"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP12","boiler","Zurn Boiler #6, Low NOx Burners","90.5","MMBtu/hr","","","CE75"
"EP13","boiler","Zurn Boiler #7, Low NOx Burners","90.5","MMBtu/hr","","","CE75"
"EP18","dehydrating","C-SS-09 Pouch Deaerator 1,390 gal/hr","","","1390","gal/hr","CE75"
"EP1A","mixing","Mustard Mixing Tank – 750 gallon","","","","","CE18, CE30, CE31"
"EP1B","mixing","Mustard Mixing Tank – 750 gallon","","","","","CE18, CE30, CE31"
"EP2","storage","Starch Tank – 500 gallon, Pre-Mix Tank – 250 gallon","","","","","CE18, CE30, CE31"
"EP20","cooking","Cooker #3, Ketchup/Sauce","2830","gal/hr","","","CE75"
"EP21","cooking","Cooker #4, Ketchup/Sauce 2,830 gal/hr","","","2830","gal/hr","CE18, CE30, CE31"
"EP22","cooking","Cooker #5, Ketchup/Sauce 2,830 gal/hr","","","2830","gal/hr","CE18, CE30, CE31"
"EP23","cooking","Cooker #6, Ketchup/Sauce 2,830 gal/hr","","","2830","gal/hr","CE18, CE30, CE31"
"EP24","cooking","Cooker #7, Ketchup/Sauce 2,830 gal/hr","","","2830","gal/hr","CE18, CE30, CE31"
"EP25","cooking","Cooker #8, Ketchup/Sauce 2,830 gal/hr","","","2830","gal/hr","CE18, CE30, CE31"
"EP30","dehydrating","E-SS-09 Deaerator #1 8,480 gal/hr","","","8480","gal/hr","CE75"
"EP31","dehydrating","E-SS-10 Deaerator #2 8,480 gal/hr","","","8480","gal/hr","CE75"
"EP60","generator","Electric Generator, 360 bhp (2.08 MMBtu/hr)","360","bhp","","","CE75"
"EP61","pump","J-FP-03 Diesel Fire Pump, 237 bhp (1.1 MMBtu/hr, 175 kW)","","","","","CE75"
"EP82","generator","Emergency Generator, 175 kW (1.34 MMBtu/hr)","235","bhp","","","CE75"
"EP83","processing","Acetator #2, 240 gal/hr; Acetator #3, 240 gal/hr; Acetator #4, Packed Bed Vinegar 14-A-579, 240 gal/hr; Acetator #5, 240 gal/hr; Acetator #6, 240 gal/hr","","","","","CE83"
"EP84","generator","J-GN-03 175 kW Emergency Generator, Diesel Fuel 235 bhp (1.34 MMBtu/hr)","","","","","CE75"
