"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1a","application","Atomized Gelcoat Application (Station 1)","","","12","lb/min","CE-1"
"EU-1a, EU-1b, EU-1c, EU-1d, EU-1f, EU-1g","application","Atomized and nonatomized resin application stations for pool production","2000","units/yr","","","CE-1, CE-2"
"EU-1b","application","Atomized Gelcoat Application (Station 2)","","","12","lb/min","CE-1"
"EU-1c","application","Nonatomized Resin Application (Resin Station 1)","","","20","lb/min","CE-2"
"EU-1d","application","Nonatomized Resin Application (Resin Station 2)","","","20","lb/min","CE-2"
"EU-1f","application","Nonatomized Resin Application (Resin Station 3)","","","20","lb/min","CE-2"
"EU-1g","application","Nonatomized Resin Application (Resin Station 4)","","","20","lb/min","CE-2"
"EU-2a","processing","Sanding, Buffing, Grinding","2000","units/yr","","","CE-3"
"EU-2a, EU-2b, EU-2c","application","Sanding, buffing, grinding; atomized gelcoat application (tooling station); mold preparation and repair","2000","units/yr","","","CE-3"
"EU-2b","application","Atomized Gelcoat Application (Tooling Station)","","","12","lb/min","CE-3"
"EU-2c","processing","Mold Preparation and Repair (Misc. Materials)","2000","units/yr","","","CE-3"
"EU-3","application","Outfitting for pool production","2000","units/yr","","",""
