"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU07","storage","Limestone Storage Pile Fugitives","","","","",""
"EU1","receiving","Railcar Unloading","","","300","tons/hr","CE11"
"EU101","storage","Emergency Generator","628","bhp","","","CE51"
"EU11","receiving","Crusher Belt Transfer to Collection","440","tons/hr","","","CE43"
"EU14A","receiving","Clay Delivery and Distribution","500","tons/hr","","","CE19"
"EU14B","receiving","Clay Transfer to Process","500","tons/hr","","","CE20"
"EU15A","receiving","Raw Material Transfer - Clay Crushing System","500","tons/hr","","","CE21"
"EU15B","receiving","Raw Material Transfer - Clay Crushing System","500","tons/hr","","","CE22"
"EU18","receiving","Grinding Circuit - Raw Material Transfer","800","tons/hr","","","CE44"
"EU19","receiving","Raw Material Transfer to Homogenizing Silo","200","tons/hr","","","CE45"
"EU20","receiving","Raw Material Transfer - IBAU Bin Bottom Elevator","550","tons/hr","","","CE46"
"EU21","receiving","Elevator W to Top Silo Transfer","550","tons/hr","","","CE47"
"EU22","receiving","Elevator S to Top Silo Transfer","550","tons/hr","","","CE48"
"EU23","receiving","IBAU Bin S Top Elevator Raw Material Transfer","550","tons/hr","","","CE49"
"EU24","receiving","Raw Material Transfer","225","tons/hr","","","CE50"
"EU25","storage","Kiln/Calciner/Preheater","150","short tons/hr","","","CE42"
"EU26","storage","Clinker Cooler","150","short tons/hr","","","CE43"
"EU28","storage","Kiln Dust Disposal Tank","","","100","tons/hr","CE44"
"EU29","storage","Kiln Dust Loadout","","","100","tons/hr","CE45"
"EU33","receiving","Outhaul Conveyor Transfer","180","tons/hr","","","CE51"
"EU34","receiving","Clinker Truck Loadout","100","tons/hr","","","CE52"
"EU35","receiving","Outhaul Conveyor Transfer to Clinker Silo","300","tons/hr","","","CE53"
"EU36","receiving","Clinker Withdrawal Conveyor Transfer","180","tons/hr","","","CE54"
"EU37","receiving","Clinker Belt 206 to 208 Transfer","300","tons/hr","","","CE55"
"EU39","receiving","Clinker Transfer","114.58","tons/hr","","","CE56"
"EU39-1","receiving","Clinker Ladder Transfer","300","tons/hr","","","CE57"
"EU40","receiving","Coal Crusher","55","tons/hr","","","CE23"
"EU41A","receiving","Vibrating Conveyor Transfer to Finishing Mill 3","30","tons/hr","","","CE58"
"EU41B","receiving","Air Separator for Finishing Mill 3","","","","",""
"EU42A","receiving","Vibrating Conveyor Transfer to Finishing Mill 5","30","tons/hr","","","CE59"
"EU42B","receiving","Air Separator for Finishing Mill 5","","","","",""
"EU43A","receiving","Vibrating Conveyor Transfer to Finishing Mill 6","30","tons/hr","","","CE60"
"EU43B","receiving","Air Separator for Finishing Mill 6","","","","",""
"EU44A","receiving","Vibrating Conveyor Transfer to Finishing Mill 7","30","tons/hr","","","CE61"
"EU44B","receiving","Air Separator for Finishing Mill 7","","","","",""
"EU45A","receiving","Vibrating Conveyor Transfer to Finishing Mill 8","75","tons/hr","","","CE62"
"EU45B","receiving","Air Separator for Finishing Mill 8","","","","",""
"EU46A","receiving","Clinker Transfer to Storage Silo 78-A-322-S3","75","tons/hr","","","CE63"
"EU47","storage","Storage Silo for Cement 78-A-322-S3","100","tons/hr","","","CE64"
"EU48","storage","Transfer Bucket Elevator 83-A-008-S3","350","tons/hr","","","CE65"
"EU49","storage","Direct Cement Loadout (Emergency Only)","300","tons/hr","","","CE66"
"EU50","storage","Silo Row 40 Cement Bulk Loadout 90-A-365-S3","350","tons/hr","","","CE67"
"EU51","storage","Silo Row 30 Cement Loadout 90-A-366-S3","350","tons/hr","","","CE68"
"EU52","storage","Silo Row 50 Rail/Truck Cement Loading System 90-A-367-S3","400","tons/hr","","","CE69"
"EU53","storage","Silo Row 50 Cement Loadout Spout 90-A-368-S3","400","tons/hr","","","CE70"
"EU55","storage","Limestone Drilling","","","100","tons/hr","CE46"
"EU55A","storage","Quarry Blasting","","","100","tons/hr","CE47"
"EU56A","receiving","Truck Loading - Limestone","1000","tons/hr","","","CE24"
"EU57A","receiving","Truck Loading - Clay","500","tons/hr","","","CE25"
"EU58A","receiving","Coal Transfer","7200","tons/day","","","CE26"
"EU59A","receiving","Sand Delivery & Unloading","500","tons/hr","","","CE27"
"EU60A","receiving","Clay Delivery & Unloading","500","tons/hr","","","CE28"
"EU61A","receiving","Clay Delivery & Unloading","500","tons/hr","","","CE29"
"EU61B","receiving","Clay Transfer to Process","500","tons/hr","","","CE30"
"EU62","storage","Coal Mill","878","bhp","","","CE48"
"EU62-1","receiving","Coal Transfer","55","tons/hr","","","CE31"
"EU62A","storage","Calciner Coal Bin & Dosing System","1000","tons/hr","","","CE49"
"EU62A1","storage","Calciner Coal Bin & Dosing System","500","tons/hr","","","CE49"
"EU62A2","storage","Alternate Fuel Prehopper & Dosing System","500","tons/hr","","","CE50"
"EU62B","storage","Calciner Emergency Generator","1000","tons/hr","","","CE50"
"EU63A","receiving","Kiln Dust Unloading","300","tons/day","","","CE32"
"EU63B","hauled material","Kiln Dust Haulroad","","","","",""
"EU73A","receiving","Limestone Transfer to Process Pile at Crusher","19200","tons/day","","","CE33"
"EU74A","receiving","Limestone Transfer to Process Pile at Crusher","2000","tons/day","","","CE34"
"EU75A","receiving","Clinker Transfer to Craneway","1200","tons/day","","","CE35"
"EU76A","receiving","Clinker, Gypsum, Slag Transfer","3600","tons/day","","","CE36"
"EU7A","receiving","Limestone Transfer","","","750","tons/hr","CE18"
"EU80","hauled material","Cement Haulroad - Cement Loadout to U.S. 65","","","","",""
"EU87","storage","Reagent Bin #1 (South)","","","89.3","tons/hr","CE37"
"EU88","storage","Reagent Bin #2 (North)","","","89.3","tons/hr","CE38"
"EU92","storage","Storage Bin Loading System","","","110","tons/hr","CE39"
"EU92A","storage","Storage Bin Discharge System","","","110","tons/hr","CE40"
"EU92B","storage","Alternate Fuel Prehopper & Dosing System","1000","tons/hr","","","CE51"
"EU94","storage","Rotochopper System","","","110","tons/hr","CE41"
