"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"BL01","loadout","Windscreen Loadout Suppression East Barge","","","400","ton/hr","CE BL01"
"BL02","loadout","Windscreen Loadout Suppression West Barge","","","575","ton/hr","CE BL02"
"CC-12","storage","North Tank","","","","",""
"CC-13","storage","South Tank","","","","",""
"CC-16","conveying","Long Conveyor","","","70","tons/hr",""
"CC-16 CC-19 Transfer Belt to Long Conveyor","conveying","Transfer Belt to Long Conveyor","","","","",""
"CC-17","storage","Granular Bin #1","","","70","tons/hr",""
"CC-18","storage","Granular Bin #2","","","70","tons/hr",""
"CC-19","conveying","Transfer Belt to Long Conveyor","","","25","tons/hr",""
"CC-1a","drying","Old Mill Dryer","40","ton/hr","","","CE CC-1"
"CC-1b","conditioning","Old Mill Cage Mill","40","ton/hr","","","CE CC-1"
"CC-1c","conditioning","Old Mill Screen 1","60","ton/hr","","","CE CC-1"
"CC-1d","conditioning","Old Mill Screen 2","60","ton/hr","","","CE CC-1"
"CC-1e","conditioning","Old Mill Separator 1","40","ton/hr","","","CE CC-1"
"CC-1f","conditioning","Old Mill Separator 2","30","ton/hr","","","CE CC-1"
"CC-1g","other","Old Mill Conveyors/Screws/Elevators","","","60","ton/hr","CE CC-1"
"CC-1h","storage","Old Mill (Finished Storage Tank)","","","","",""
"CC-1i","storage","Old Mill (Finished Storage Tank)","","","","",""
"CC-1j","storage","Storage Bin","","","","",""
"CC-1k","storage","Storage Bin","","","","",""
"CC-1l","storage","Storage Bin","","","","",""
"CC-1m","storage","Storage Bin","","","","",""
"CC-1r","loadout","#3 Loadout System (Pneumatic and Belt Conveyor)","120","ton/hr","","","CE CC-1"
"CC-2a","drying","Dryer","","","0.0287","MMcf/hr","CE CC-5"
"CC-2b","conditioning","New Mill Hammermill 1","50","ton/hr","","","CE CC-2"
"CC-2c","conditioning","New Mill Hammermill 2","50","ton/hr","","","CE CC-2"
"CC-2d","conditioning","New Mill Separator 18'","100","ton/hr","","","CE CC-2"
"CC-2e","conditioning","New Mill Screen Limestone","25","ton/hr","","","CE CC-2"
"CC-2f","conditioning","New Mill Screen 1","25","ton/hr","","","CE CC-2"
"CC-2g","conditioning","New Mill Screen 2","25","ton/hr","","","CE CC-2"
"CC-2h","conditioning","New Mill Screen 3","25","ton/hr","","","CE CC-2"
"CC-2i","conditioning","New Mill Raymond Mill","35","ton/hr","","","CE CC-2"
"CC-2k","other","New Mill Conveyors/Screws/Elevators","","","100","ton/hr","CE CC-2"
"CC-3","loading/unloading","Calcium Railcar Loadout","","","160","tons/hour","CC-3A, CC-3B"
"CC-3A","conveying","North/South Belt","","","160","tons/hour",""
"CC-3B","baghouse","East/West Belt Baghouse","","","160","tons/hour","CC-3"
"CC-3C","loading/unloading","Calcium Truck Loadout","","","85","tons/hour",""
"CC-5","baghouse","Natural Gas Baghouse Conveyors/Screws Elevators","","","70","tons/hr",""
"CE LP-40A","baghouses","Baghouse for Rotary Lime Kiln 4","","","","",""
"CE LP-40B","scrubbers","Selective Noncatalytic Reduction System for Rotary Lime Kiln 4","","","","",""
"CE LP-40C","other","Lime Injection System for Rotary Lime Kiln 4","","","","",""
"CE LP-7","baghouses","Lime Fines Baghouse for Kiln Dust Tank","","","80","tons/hr",""
"Conveyor 446 (LP-42)","conveying","Conveyor for moving limestone.","50","ton/hr","","","C3, C4"
"Dry Rotating Kiln (Kiln #1)","kiln","Rotary kiln for processing limestone.","5","tons/hr","","","C1, C2, C3, C4"
"Dry Rotating Kiln (Kiln #2)","kiln","Rotary kiln for processing limestone.","5","tons/hr","","","C1, C2, C3, C4"
"East Kiln Run Tank 443 (LP-51)","storage","Tank for storing limestone.","900","tons","","","C3, C4"
"EM Engine","boilers","Emergency Engine","","","","",""
"EM Engine EM Engine Kilns Emergency Engine NA","emergency power","Emergency Engine","","","","",""
"EU K-3","refining","Rotary Lime Kiln 3","","","73500","tons/yr","CE LP-40A"
"EU K-4","refining","Rotary Lime Kiln 4","","","183750","tons/yr","CE LP-40A, CE LP-40B, CE LP-40C"
"EU K-4 Rotary Lime Kiln 4 (225 MMBtu/hour)","kilning","Rotary Lime Kiln 4","225","MMBtu/hr","","",""
"EU LP-41 Elevator 431","conveying","Elevator 431","","","","",""
"EU LP-50 West Kiln Run Tank","storage","West Kiln Run Tank","","","","",""
"EU LP-51 East Kiln Run Tank","storage","East Kiln Run Tank","","","","",""
"HR-P","other","Paved Haul Roads Sweeping and Water Flushing","","","","",""
"HR-U","other","Unpaved Haul Roads Dust Suppressant Application","","","","",""
"Insignificant Activities Equipment List","","Gasoline Storage LP 1000 gal, Diesel Storage LP 1000 gal, Quarry 1 Diesel 9700 gal, Quarry 2 Diesel 12500 gal, Quarry 3 Diesel 1000 gal, Mine Bio 12000 gal, Mine 2 - 1750 gal, Maintenance Shop 0.4 MMBtu","","","","",""
"LP-12 97-A-1084-S4","blowing","Pneumatic Blower","","","","",""
