"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-003-1","electrical treatment","Corona Treater","","","","","CE"
"EU-003-2","electron beam curing","Electron Beam Cure #1","","","","","CE"
"EU-003-3","electron beam curing","Electron Beam Cure #2","","","","","CE"
"EU-003-5","ultraviolet curing","Ultraviolet Lamp","","","","","CE"
"EU-008-1A","coating application","Primer Coater","","","","","CE"
"EU-008-1B","drying equipment","Primer Coating Dryer","","","","","CE"
"EU-012-1A","coating application","Primer Coater 1","","","","","CE"
"EU-012-1A Primer Coater 1","coating application","Primer Coater 1","40","lb/hr","","","CE"
"EU-012-1C","printing equipment","Press Printer","40","lb/hr","","","CE"
"EU-012-1D","drying equipment","Infrared Oven","3.5","MMBtu/hr","","","CE"
"EU-012-1 Primer Dryer 1","drying equipment","Primer Dryer 1","3.5","MMBtu/hr","","","CE"
"EU-012-2","laminating equipment","Extruder Laminator 1","","","","","CE"
"EU-012-2 Extruder Laminator 1","extrusion equipment","Extruder Laminator 1","","","","","CE"
"EU-012-3","coating application and drying equipment","Primer Coater 2 and Primer Dryer 2","3.5","MMBtu/hr","","","CE"
"EU-012-3 Primer Coater 2 and Dryer 2","coating application and drying equipment","Primer Coater 2 and Dryer 2","","","","","CE"
"EU-012-4","laminating equipment","Extruder Laminator 2","","","","","CE"
"EU-012-4 Extruder Laminator 2","extrusion equipment","Extruder Laminator 2","","","","","CE"
"EU-012-5-1a Infeed Corona Treater (7.5 kW)","electrical treatment","Infeed Corona Treater (7.5 kW)","7.5","kW/hr","","","CE"
"EU-012-5a","electrical treatment","Infeed Corona Treater (7.5 kW)","7.5","kW/hr","","","CE"
"EU-012-5a Extruder #1 Treater (7.5 kW)","electrical treatment","Extruder #1 Treater (7.5 kW)","7.5","kW/hr","","","CE"
"EU-012-5b","electrical treatment","Infeed Corona Treater (7.5 kW)","7.5","kW/hr","","","CE"
"EU-012-5b Extruder #2 Treater (7.5 kW)","electrical treatment","Extruder #2 Treater (7.5 kW)","7.5","kW/hr","","","CE"
"EU-012-5c","electrical treatment","Extruder #1 Treater (7.5 kW)","7.5","kW/hr","","","CE"
"EU-014/016-2","cleaning equipment","Coater Floor Sweep","","","","","CE"
"EU-014/016 Coater Floor Sweep 82-A-003-S6","sweeping equipment","Coater Floor Sweep","","","","","CE"
"EU-014-1","electrical treatment","Print Treater","5","kW/hr","","","CE"
"EU-014-1 Print Treater","electrical treatment","Print Treater","5","kW/hr","","","CE"
"EU-014-3C","drying equipment","Dryer 1, Zone 3","","","","","CE"
"EU-014-3C Dryer 1, Zone 3","drying equipment","Dryer 1, Zone 3","","","","","CE"
"EU-014-5C","drying equipment","Dryer 2, Zone 3","","","","","CE"
"EU-014-5C Dryer 2, Zone 3","drying equipment","Dryer 2, Zone 3","","","","","CE"
"EU-014-6","mixing equipment","Line 14 Mixing Booth","6.564","lb/hr","","","CE"
"EU-014-6 Line 14 Mixing Booth","mixing equipment","Line 14 Mixing Booth","6.564","lb/hr","","","CE"
"EU-015-1a","drying equipment","Ink Dryer (2 MMBtu/hr)","2","MMBtu/hr","","","CE"
"EU-015-1b","coating application","Ink Application","137","lb/hr","","","CE"
"EU-015-1 Ink Application 14-A-664-P1","coating application equipment","Ink Application","137","lb/hr","","","CE"
"EU-015-2 Ink Dryer (2 MMBtu/hr) 14-A-664-P1","drying equipment","Ink Dryer","2","MMBtu/hr","","","CE"
"EU-016-1a","electrical treatment","Corona Treater (5 kW/hr)","5","kW/hr","","","CE"
"EU-016-1b","flame treatment","Flame Treater (0.5 MMBtu/hr)","0.5","MMBtu/hr","","","CE"
"EU-016-1 Corona Treater (5 kW/hr) 14-A-665-S2","electrical treatment","Corona Treater","5","kW/hr","","","CE"
"EU-016-1 Flame Treater (0.5 MMBtu/hr) 14-A-665-S2","flame treatment equipment","Flame Treater","0.5","MMBtu/hr","","","CE"
"EU-016-2","mixing equipment","Mix Booth 15-A-323-S1","1000","lb/hr","","","CE"
"EU-016-2 Coater Floor Sweep 15-A-323-S1","sweeping equipment","Coater Floor Sweep","","","","","CE"
"EU-016-4","mixing equipment","Mix Booth 15-A-323-S1","1000","lb/hr","","","CE"
"EU-016-4 Mix Booth 15-A-323-S1","mixing equipment","Mix Booth","1000","lb/hr","","","CE"
"EU-016-5a","boiler equipment","Auxiliary Heater (10.57 MMBtu/hr)","10.57","MMBtu/hr","","","CE"
"EU-016-5b","boiler equipment","Auxiliary Heater (10.7 MMBtu/hr)","10.7","MMBtu/hr","","","CE"
"EU-017-1","electrical treatment","Print Treater","5","kW/hr","","","CE"
"EU-017-1 Print Treater","electrical treatment","Print Treater","5","kW/hr","","","CE"
"EU-017-2","cleaning equipment","Coating Booth Floor Sweep","","","","","CE"
"EU-017-2 Coating Booth Floor Sweep","sweeping equipment","Coating Booth Floor Sweep","","","","","CE"
"EU-017-2 & EP-017-BP","drying equipment","Silicone Coating Oven, Zone 1 and Zone 2","","","","","CE"
"EU-017-3A","drying equipment","Silicone Coating Oven, Zone 3","","","","","CE"
"EU-017-3a Silicone Coating Dryer, Zone 1","drying equipment","Silicone Coating Dryer, Zone 1","","","","","CE"
"EU-017-3B","drying equipment","Silicone Coating Oven, Zone 4","","","","","CE"
"EU-017-3c Silicone Coating Dryer, Zone 3","drying equipment","Silicone Coating Dryer, Zone 3","","","","","CE"
"EU-017-3d Silicone Coating Dryer, Zone 4","drying equipment","Silicone Coating Dryer, Zone 4","","","","","CE"
"EU-017-4","drying equipment","Silicone Coating Oven, Zone 5","","","","","CE"
"EU-017-4 Mix Booth 09-A-363-P4","mixing equipment","Mix Booth","","","","","CE"
"EU-017-6 Auxiliary Heater 14-A-666-P1","heating equipment","Auxiliary Heater","10.57","MMBtu/hr","","","CE"
"EU-017-BP","drying equipment","Silicone Coating Dryer, Zone 2","","","","","CE"
"EU-018-1","electrical treatment","Print Treater","5","kW/hr","","","CE"
"EU-018-2","cleaning equipment","Coating Booth Floor Sweep","","","","","CE"
"EU-018-2 Coater Floor Sweep 09-A-365-P3","sweeping equipment","Coater Floor Sweep","","","","","CE"
"EU-018-3A","drying equipment","Silicone Coating Oven, Zone 1 and Zone 2","","","","","CE"
"EU-018-3A Silicone Coating Dryer, Zone 1","drying equipment","Silicone Coating Dryer, Zone 1","","","","","CE"
"EU-018-3B","drying equipment","Silicone Coating Oven, Zone 3 and Zone 4","","","","","CE"
"EU-018-3c Silicone Coating Dryer, Zone 3","drying equipment","Silicone Coating Dryer, Zone 3","","","","","CE"
"EU-018-3d Silicone Coating Dryer, Zone 4","drying equipment","Silicone Coating Dryer, Zone 4","","","","","CE"
"EU-018-4","drying equipment","Silicone Coating Oven, Zone 5 and Zone 6","","","","","CE"
"EU-018-4 Mix Booth 09-A-367-P3","mixing equipment","Mix Booth","","","","","CE"
"EU-018-5","boiler equipment","Line 18 Boiler NA","","","","","CE"
"EU-018-6","boiler equipment","Auxiliary Heater (6.3 MMBtu/hr)","6.3","MMBtu/hr","","","CE"
"EU-018-6 Auxiliary Heater 14-A-667","heating equipment","Auxiliary Heater","10.57","MMBtu/hr","","","CE"
"EU-018-7 Line 18 Boiler 14-A-667","boiler equipment","Line 18 Boiler","","","","","CE"
"EU-018-8 Line 18 Flame Tester 01-A-425-S1","testing equipment","Line 18 Flame Tester","","","","","CE"
"EU-018-BP","drying equipment","Silicone Coating Dryer, Zone 2","","","","","CE"
"EU-022-1 Mixing Room 11-A-480-S1","mixing equipment","Mixing Room","","","","","CE"
"EU-022-2","coating application","Rod Coating Head","600","lb/hr","","","CE"
"EU-022-2 Rod Coating Head 11-A-482-S3","coating application equipment","Rod Coating Head","","","","","CE"
"EU-022-3","drying equipment","Arch Type Dryer Oven – natural gas","1.2","MMBtu/hr","","","CE"
"EU-022-3 Arch Type Dryer Oven 11-A-482-S3","drying equipment","Arch Type Dryer Oven","","","","","CE"
"EU-022-3 (bypass)","drying equipment","Arch Type Dryer Oven Bypass – natural gas","1.2","MMBtu/hr","","","CE"
"EU-022-3 Bypass 11-A-482-S3","bypass equipment","Bypass","","","","","CE"
"EU-022-4 Corona Treater (4.5 kW) 11-A-481-S2","electrical treatment","Corona Treater","4.5","kW/hr","","","CE"
