"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1A","generators","Fairbanks-Morse Generator (3165 kW)","3165","kW","","","CE-1A"
"EU-21","generators","Diesel Generator (700 kW / 1,053 bhp)","700","kW","","",""
"EU-2A","generators","Fairbanks-Morse Generator (3165 kW)","3165","kW","","","CE-2A"
"EU-3","generators","Fairbanks-Morse Generator (2070 kW)","2070","kW","","","CE-3"
"EU-4A","generators","Caterpillar Generator (1860 kW)","1860","kW","","","CE-4A"
"EU-5","generators","Nordberg Generator (1990 kW)","1990","kW","","","CE-5"
"EU-6","generators","Fairbanks-Morse Generator (2500 kW)","2500","kW","","","CE-6"
"EU-7","generators","Colt-Pielstick Generator (6500 kW)","6500","kW","","","CE-7"
"EU-8","generators","Caterpillar Generator (1825 kW)","1825","kW","","","CE-8"
"EU-9","generators","Caterpillar Generator (1825 kW)","1825","kW","","","CE-9"
"EU-B1A","storage tanks","Fuel Oil Storage Tank (25,000 gallons)","","","","",""
"EU-B2A","storage tanks","Fuel Oil Storage Tank (25,000 gallons)","","","","",""
"EU-B3A","storage tanks","Fuel Oil Storage Tank (25,000 gallons)","","","","",""
"EU-CT1A","cooling towers","Cooling Tower (52,500 gallons cooling water)","52500","gallons/hour","","","CE-1A"
"EU-CT2A","cooling towers","Cooling Tower (52,500 gallons cooling water)","52500","gallons/hour","","","CE-2A"
"EU-CT3/5","cooling towers","Cooling Tower (52,500 gallons cooling water)","52500","gallons/hour","","","CE-3/5"
"EU-CT5","cooling towers","Cooling Tower (7,200 gallons cooling water)","7200","gallons/hour","","","CE-5"
"EU-CT6","cooling towers","Cooling Tower (7,200 gallons cooling water)","7200","gallons/hour","","","CE-6"
"EU-CT7","cooling towers","Cooling Tower (67,200 gallons cooling water)","67200","gallons/hour","","","CE-7"
"EU-EB","boilers","East Boiler (1.675 MMBtu/hr)","1.675","MMBtu/hr","","",""
"EU-WB","boilers","West Boiler (1.675 MMBtu/hr)","1.675","MMBtu/hr","","",""
