"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"1-10A","finish_oven","Towline Finish Oven (Finish)","1.0","MMBtu/hr","","","CE 1-10A"
"1-10B","finish_oven","Towline Finish Oven (Finish)","1.0","MMBtu/hr","","","CE 1-10B"
"1-1A","spray_booth","Towline Stain Spray Booth (Stain)","9.91","lb/hr","","","CE 1-1A"
"1-1B","spray_booth","Towline Stain Spray Booth (Stain)","9.91","lb/hr","","","CE 1-1B"
"1-2","spray_booth","Towline Sealer Spray Booth (Sealer)","6.36","lb/hr","","","CE 1-2"
"1-20","cure_oven","Cure Oven (1.0 MMBtu/hr)","1.0","MMBtu/hr","","","CE 1-20"
"1-21","air_make_up_unit","Air Make-Up Unit (1.728 MMBtu/hr)","1.728","MMBtu/hr","","","CE 1-21"
"1-24","air_makeup_unit","Air Make-Up Unit (Natural Gas)","0.96","MMBtu/hr","","","CE 1-24"
"1-3","spray_booth","Towline Topcoat Spray Booth (Topcoat)","10.45","lb/hr","","","CE 1-3"
"1-8","spray_booth","Omega Stain Spray Booth (Stain)","8.64","lb/hr","","","CE 1-8"
"3-1","toner_booth","Dynasty Toner Spray Booth (Stain)","0.6","lb/hr","","","CE 3-1"
"3-10","boiler","Natural Gas Boiler (3.6 MMBtu/hr)","3.6","MMBtu/hr","","","CE 3-10"
"3-11A","autospray_system","Dynasty Cefla Autospray System","","","","","CE 3-11A"
"3-11B","spray_booth","Dynasty Cefla Autospray System","","","","","CE 3-11B"
"3-12A","hot_water_oven","Dynasty Cefla Stack Hot Water Oven","","","","","CE 3-12A"
"3-12B","hot_water_oven","Dynasty Cefla Stack Hot Water Oven","","","","","CE 3-12B"
"3-13A","infra_red_oven","Dynasty Cefla Stack InfraRed Oven","","","","","CE 3-13A"
"3-13B","infra_red_oven","Dynasty Cefla Stack InfraRed Oven","","","","","CE 3-13B"
"3-14","toner_booth","Hangline Toner Booth #1","","","","","CE 3-14"
"3-15","toner_booth","Hangline Toner Booth #2","","","","","CE 3-15"
"3-16","stain_booth","Hangline Stain Booth #1","","","","","CE 3-16"
"3-17","stain_booth","Hangline Stain Booth #2","","","","","CE 3-17"
"3-18","stain_dry_oven","Natural Gas Stain Dry Oven (Stain)","0.35","MMBtu/hr","","","CE 3-18"
"3-2","spray_booth","Dynasty Stain Spray Booth (Stain)","5.16","lb/hr","","","CE 3-2"
"3-20","spray_booth","Glaze Line Spray Booth","","","","","CE 3-20"
"3-21","flash_tunnel","Glaze Line Flash Tunnel","","","","","CE 3-21"
"3-3","spray_booth","Dynasty Sealer Spray Booth (Sealer)","3.98","lb/hr","","","CE 3-3"
"3-4","finish_oven","Dynasty Finish Oven (Finish)","0.24","lb/hr","","","CE 3-4"
"3-5","blow_off_booth","Dynasty Blow Off Booth (Topcoat)","1.303","lb/hr","","","CE 3-5"
"3-6","spray_booth","Dynasty Topcoat Spray Booth (Topcoat)","7.78","lb/hr","","","CE 3-6"
"3-7","finish_oven","Finish Oven (Finish)","0.41","lb/hr","","","CE 3-7"
"3-8A","finish_oven","Finish Oven (Stain)","0.41","lb/hr","","","CE 3-8A"
"3-8B","finish_oven","Finish Oven (Stain)","0.41","lb/hr","","","CE 3-8B"
"3-9","boiler","Natural Gas Boiler (3.25 MMBtu/hr)","3.25","MMBtu/hr","","","CE 3-9"
"4-1","spray_booth","Drawer Box Spray Booth (Stain)","0.96","lb/hr","","","CE 4-1"
"7-2","pump_room","Pump Room (Finishes)","","","","","CE 7-2"
"B-1","boiler","Natural Gas Boiler (3 MMBtu/hr)","3.0","MMBtu/hr","","","CE B-1"
"B-2","boiler","Natural Gas Boiler (3 MMBtu/hr)","3.0","MMBtu/hr","","","CE B-2"
"B-3","boiler","Natural Gas Boiler (3 MMBtu/hr)","3.0","MMBtu/hr","","","CE B-3"
"BH 1-45","woodworking","Omega Assembly Woodworking - Opaque (White Finish)","1080","cabinets/day","","","CE BH 1-45"
"BH 1-85","sawmill_operations","Sawmill Operations (White Finish)","2300","cabinets/day","","","CE BH 1-85"
"BH 2-61","machining_operations","Omega Components Final Machining","","","","","CE BH 2-61"
"BH 2-71","woodworking","Omega Comp. Woodworking (White Finish)","2300","cabinets/day","","","CE BH 2-71"
"BH 3-34","sanding_operations","Dynasty Sanding Operations (East)","2300","cabinets/day","","","CE BH 3-34"
"BH 3-50","plywood_operations","Dynasty Plywood Woodworking (East)","2300","cabinets/day","","","CE BH 3-50"
"BH 4-24","dust_collection","Fountainhead Dust Collection System (Opaque)","2300","cabinets/day","","","CE BH 4-24"
"BH 7-50","dust_collection","Dynasty Plywood Dust Collection","50000","acfm","","","CE BH 7-50"
"BH 9-50","dust_collection","Rough Mill Dust Collection (North)","2300","cabinets/day","","","CE BH 9-50"
"BH 9-67","sawmill_operations","Rough Saw Mill (North)","2300","cabinets/day","","","CE BH 9-67"
"CF 3-24","sanding_operations","Dynasty Cefla Sanding Operations","","","","","CE CF 3-24"
