"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-001A","other","Coal Storage Pile – Bulldozer (fugitive)","","","","",""
"EU-001B","other","Coal Pile - Open Storage (fugitive)","","","","",""
"EU-002","other","Paved CCR Haul Road (fugitive)","","","","",""
"EU-003","boiler","Unit 4 Boiler – Fuel Oil #2, Sub-bituminous Coal","6900","MMBtu/hr","","","CE-002, CE-003a, CE-003b, CE-003c, CE-003d, CE-003e"
"EU-004","other","Flyash Truck Loading (fugitive)","230","ton/hr","","",""
"EU-006","conveyor","Transfer Tower #3 - Coal Conveyor (fugitive)","1600","ton/hr","","",""
"EU-007A","conveyor","Transfer Tower #1 - Coal Conveyor #2 to #3 (fugitive)","3000","ton/hr","","",""
"EU-007B","conveyor","Transfer Tower #1 - Coal Conveyor #2 to #6 (fugitive)","1600","ton/hr","","",""
"EU-007C","other","Transfer Tower #1 - Surge Bin (fugitive)","1600","ton/hr","","",""
"EU-008","conveyor","Transfer Tower #2 - Coal Conveying (fugitive)","1600","ton/hr","","",""
"EU-009","other","Coal Silos & Tripper (fugitive)","1600","ton/hr","","",""
"EU-010A","unloader","Coal Unloading - Hopper to Feeder (fugitive)","3000","ton/hr","","",""
"EU-010B","unloader","Coal Unloading - Feeder to Belt #1 (fugitive)","3000","ton/hr","","",""
"EU-010C","unloader","Coal Unloading - Belt #1 to Belt #2 (fugitive)","3000","ton/hr","","",""
"EU-012","generator","Diesel Generator (1300 bhp)","80","gallon/hr","","",""
"EU-016","storage","Ethylene Glycol Storage - Plant Fan Room (fugitive)","220","gallon/yr","","",""
"EU-018","other","Transfer Tower #1 Glycol Storage Tank (fugitive)","","","","",""
"EU-022","other","Waste Ash Silo (fugitive)","550","tons","","",""
"EU-023","storage","Flyash Storage Silo A (fugitive)","23.5","ton/hr","","",""
"EU-041","pump","Diesel Fire Pump (430 bhp)","24","gallon/hr","","",""
"EU-045","unloader","Coal Unloading (Fugitive)","3000","ton/hr","","",""
"EU-046A","conveyor","3 Belt - Elevator Belt (fugitive)","3000","ton/hr","","",""
"EU-046B","conveyor","3 Belt - Boom Belt (fugitive)","1600","ton/hr","","",""
"EU-046C","stackout","Stackout (fugitive)","3000","ton/hr","","",""
"EU-046D","reclaimer","Reclaim Wheel (fugitive)","1600","ton/hr","","",""
"EU-046E","conveyor","Elevator Belt - Boom Belt (fugitive)","3000","ton/hr","","",""
"EU-051","other","Water Lab Fume Hood (fugitive)","5","gallon/yr","","",""
"EU-204","exhauster","Unit 4 Lime Exhauster #1 (fugitive)","","","","",""
"EU-205","exhauster","Unit 4 Lime Exhauster #2 (fugitive)","","","","",""
"EU-206","storage","Unit 4 Lime Silo (fugitive)","","","","",""
"EU-207","storage","Unit 4 Recycle Silo (fugitive)","550","tons","","",""
"EU-211","storage","Unit 4 Carbon Silo (fugitive)","","","","",""
"EU-212","vent","Lime Truck Loadout Silo Vent (fugitive)","","","","",""
