"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-01","generators","Diesel Generator","","","","","CE-1: Catalytic Oxidizer"
"EU-02","generators","Diesel Generator","","","","","CE-2: Catalytic Oxidizer"
"EU-03","generators","Diesel Generator","","","","","CE-3: Catalytic Oxidizer #1 or #2"
"EU-04","generators","Diesel Generator","","","","","CE-4: Catalytic Oxidizer Fuel Oil"
"EU-05","generators","Diesel Generator","","","","","CE-5: Catalytic Oxidizer or 147.6 gal/hr"
"EU-06","generators","Diesel Generator","","","","","CE-6: Catalytic Oxidizer Kerosene"
"EU-07","generators","Diesel Generator","","","","","CE-7: Catalytic Oxidizer"
"EU-08","generators","Diesel Generator","","","","","CE-8: Catalytic Oxidizer"
"EU10","storage","2500 Gallon Fuel Tank for EU2","","","","",""
"EU11","storage","2500 Gallon Fuel Tank for EU3","","","","",""
"EU12","storage","2500 Gallon Fuel Tank for EU4","","","","",""
"EU13","storage","2500 Gallon Fuel Tank for EU5","","","","",""
"EU14","storage","2500 Gallon Fuel Tank for EU6","","","","",""
"EU15","storage","2500 Gallon Fuel Tank for EU7","","","","",""
"EU16","storage","2500 Gallon Fuel Tank for EU8","","","","",""
"EU-1T14","storage","1,400 gallon Fuel Tank for EU-01","","","","",""
"EU-2T14","storage","1,400 gallon Fuel Tank for EU-02","","","","",""
"EU-3T14","storage","1,400 gallon Fuel Tank for EU-03","","","","",""
"EU-4T14","storage","1,400 gallon Fuel Tank for EU-04","","","","",""
"EU-5T14","storage","1,400 gallon Fuel Tank for EU-05","","","","",""
"EU-6T14","storage","1,400 gallon Fuel Tank for EU-06","","","","",""
"EU-7T14","storage","1,400 gallon Fuel Tank for EU-07","","","","",""
"EU-8T14","storage","1,400 gallon Fuel Tank for EU-08","","","","",""
"EU9","storage","2500 Gallon Fuel Tank for EU1","","","","",""
