"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1","boilers","Utility Boiler #2 - Natural Gas and Fuel Oil","","","","","CE-1, CE-1B, CE-1C, CE-1D"
"EU-10","storage equipment","East Coal Silos - Coal Storage","450","ton/hr","","","CE-4, CE-8"
"EU-11","storage equipment","West Coal Silos - Coal Storage","450","ton/hr","","","CE-4, CE-9"
"EU-12A","handling equipment","3 Belt to Elevator Belt Coal","3500","ton/hr","","","CE-4"
"EU-12A, EU-12B, EU-12C, EU-12D, EU-12E","handling equipment","Conveyor System - Coal Handling","3500","ton/hr (each)","","","CE-4"
"EU-12B","handling equipment","Elevator Belt to Boom Belt Coal","3500","ton/hr","","","CE-4"
"EU-12C","handling equipment","Stacker Coal","3500","ton/hr","","","CE-4"
"EU-12D","handling equipment","Boom Belt to 3 Belt Coal","1800","ton/hr","","","CE-4"
"EU-12E","handling equipment","Reclaim Wheel Coal","1800","ton/hr","","","CE-4"
"EU-13","storage equipment","Coal Handling Stockout Pile - Coal Storage","7500","ton/hr (nameplate), 3628.57 tph (actual)","","","CE-4, CE-11"
"EU-16A","handling equipment","Coal Handling, Coal Pile (75 Acres)","","","","","CE-4, CE-11"
"EU-16A, EU-16B","handling equipment","Coal Handling and Bulldozer Operations - Coal Storage","","","7500","ton/hr (pile), 3.0 vehicle/hr (bulldozer)","CE-4, CE-11"
"EU-16B","handling equipment","Coal Handling, Bulldozer (3.0 Vehicle/hr)","","","","","CE-4, CE-11"
"EU-2","boilers","Auxiliary Boiler #1 - Natural Gas and Fuel Oil","97.8","MMBtu/hr","","","CE-2"
"EU-21","storage equipment","Gasoline Underground Storage Tank - Gasoline Handling","720","gal/hr","","",""
"EU-3","boilers","Auxiliary Boiler #2 - Natural Gas and Fuel Oil","97.8","MMBtu/hr","","","CE-2"
"EU-39C","handling equipment","Flyash Silo Unloading Chute - Flyash Handling","","","146011.3","ton/yr","CE-17"
"EU-57A","handling equipment","Ash Pile Dumping - FGD Waste Flyash/FGD Waste (92.9 ton/hr)","92.9","ton/hr","","","CE-11"
"EU-57A, EU-57B, EU-57C, EU-57D","handling equipment","Ash Pile and Grading Operations - Ash Handling","","","146011.3","ton/yr (pile), 4.0 VMT/hr (grading)","CE-11"
"EU-57B","handling equipment","Ash Grading Ash (4.0 VMT/hr)","4","VMT/hr","","","CE-11"
"EU-57C","handling equipment","Ash Pile Wind Erosion Flyash (31.0 Acres)","31","Acres","","","CE-11"
"EU-57D","handling equipment","Ash Pile Dumping - Flyash (146,011.3 ton/yr)","146011.3","ton/yr","","","CE-11"
"EU-58","handling equipment","Ash Haul Road - Ash Handling","","","146011.3","ton/yr (pile)","CE-11"
"EU-7","handling equipment","Rotary Dumper #1 Coal","3500","ton/hr","","","CE-3"
"EU-70","storage equipment","Flyash/FGD Waste Silo - Flyash and FGD Waste Storage","2841","ton","","","CE-070"
"EU-71","handling equipment","Flyash/FGD Waste Vacuum Exhauster #1 Flyash/FGD Waste (51.0 ton/hr)","51","ton/hr","","","CE-071"
"EU-71, EU-72, EU-73","handling equipment","Flyash/FGD Waste Vacuum Exhausters #1, #2, and #3 - Flyash and FGD Waste Handling","51","ton/hr (each)","","","CE-071, CE-072"
"EU-72","handling equipment","Flyash/FGD Waste Vacuum Exhauster #2 Flyash/FGD Waste (51.0 ton/hr)","51","ton/hr","","","CE-072"
"EU-73","handling equipment","Flyash/FGD Waste Vacuum Exhauster #3 Flyash/FGD Waste (51.0 ton/hr)","51","ton/hr","","","CE-073"
"EU-74, EU-75","handling equipment","Lime Unloading Vacuum System Exhausters - Lime Handling","25","ton/hr (each)","","","CE-074"
"EU-79, EU-80, EU-81","handling equipment","Recycle Ash Vacuum System Exhausters - Recycle Ash Handling","69","ton/hr (each)","","","CE-079, CE-080"
"EU-7A","handling equipment","Rotary Dumper #2 Coal","3500","ton/hr","","","CE-3A"
"EU-7, EU-7A","handling equipment","Rotary Dumper #1 and Rotary Dumper #2 - Coal Handling","3500","ton/hr (each)","","","CE-3, CE-3A"
"EU-8","handling equipment","Transfer Tower - Coal Handling","3500","ton/hr","","","CE-4"
"EU-86","storage equipment","Mercury (Hg) Control Sorbent Storage Silo - Mercury Handling and Storage","79","ton","","","CE-86"
"EU-9","handling equipment","Crusher House with Coal Dust Pneumatic Conveying - Coal Handling","1800","ton/hr (nameplate), 900 tph (actual)","","","CE-4, CE-7"
