"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-001","boilers","Unit 1 Turbine (peaking unit)","1725","gallons/hour","","","CE-001"
"EU-002","boilers","Unit 2 Turbine (peaking unit)","1725","gallons/hour","","","CE-002"
"EU-003","boilers","Unit 3 Turbine (peaking unit)","1725","gallons/hour","","","CE-003"
"EU-004","boilers","Unit 4 Turbine (peaking unit)","1725","gallons/hour","","","CE-004"
"EU-005","boilers","Unit 5 Turbine (peaking unit)","1725","gallons/hour","","","CE-005"
"EU-006","boilers","Unit 6 Turbine (peaking unit)","1725","gallons/hour","","","CE-006"
"EU-007","boilers","Unit 7 Turbine (peaking unit)","1725","gallons/hour","","","CE-007"
"EU-008","boilers","Unit 8 Turbine (peaking unit)","1725","gallons/hour","","","CE-008"
"EU-014","boilers","Unit 1 Starting Diesel","20","gallons/hour","","","CE-014"
"EU-015","boilers","Unit 5 Starting Diesel","20","gallons/hour","","","CE-015"
