"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"1,400 gallon Fuel Tank for EU-01","storage","Fuel Storage Tank","1400","gallons","","",""
"1,400 gallon Fuel Tank for EU-02","storage","Fuel Storage Tank","1400","gallons","","",""
"1,400 gallon Fuel Tank for EU-03","storage","Fuel Storage Tank","1400","gallons","","",""
"1,400 gallon Fuel Tank for EU-04","storage","Fuel Storage Tank","1400","gallons","","",""
"1,400 gallon Fuel Tank for EU-05","storage","Fuel Storage Tank","1400","gallons","","",""
"1,400 gallon Fuel Tank for EU-06","storage","Fuel Storage Tank","1400","gallons","","",""
"1,400 gallon Fuel Tank for EU-07","storage","Fuel Storage Tank","1400","gallons","","",""
"1,400 gallon Fuel Tank for EU-08","storage","Fuel Storage Tank","1400","gallons","","",""
"1,400 gallon Fuel Tank for EU-09","storage","Fuel Storage Tank","1400","gallons","","",""
"1,400 gallon Fuel Tank for EU-10","storage","Fuel Storage Tank","1400","gallons","","",""
"1,400 gallon Fuel Tank for EU-11","storage","Fuel Storage Tank","1400","gallons","","",""
"EU-01","boilers","Diesel Generator","","","147.6","gal/hr","CE-01"
"EU-03","boilers","Diesel Generator","","","147.6","gal/hr","CE-03"
"EU-04","boilers","Diesel Generator","","","147.6","gal/hr","CE-04"
"EU-05","boilers","Diesel Generator","","","147.6","gal/hr","CE-05"
"EU-06","boilers","Diesel Generator","2885","bhp","","","CE-06"
"EU-07","boilers","Diesel Generator","","","147.6","gal/hr","CE-07"
"EU-08","boilers","Diesel Generator","","","147.6","gal/hr","CE-08"
"EU-09","boilers","Diesel Generator","","","147.6","gal/hr","CE-09"
"EU-10","boilers","Diesel Generator","","","147.6","gal/hr","CE-10"
"EU-11","boilers","Diesel Generator","","","147.6","gal/hr","CE-02"
