"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-003","boilers","Boiler - Coal","","","","","CE-011"
"EU-006","receiving","Dumper Building","","","3200.0","ton/hr",""
"EU-009","conveying","Transfer House #1 - Coal Conveying","3200.0","ton/hr","","",""
"EU-010","conveying","Transfer House #2 - Coal Conveying","1200.0","ton/hr","","",""
"EU-011","conveying","Transfer House #3 - Coal Conveying","311155.0","ft2","","",""
"EU-013","conveying","Transfer House #4 - Coal Conveying","1600.0","ton/hr","","",""
"EU-014","storage","East Coal Silo #3 - Coal Conveying","80.0","tons","","",""
"EU-015","storage","West Coal Silo #3 - Coal Conveying","80.0","tons","","",""
"EU-117A","drying","Emergency Reclaim Hopper to Belt 8","1200.0","ton/hr","","",""
"EU-141","boilers","Unit #3 Diesel Engine for Fire Pump","1214.0","BHP","","",""
"EU-151","receiving","Rail Unloading Stockout Coal","28224.0","ft2","","",""
"EU-160","storage","Unit #3 Flyash/FGD Waste Silo","28224.0","ft2","","",""
"EU-161","storage","Unit #3 Lime Storage Day Bin","80.0","tons","","",""
"EU-162A","drying","Unit #4 Lime Exhauster #1","30.0","ton/hr","","","CE-162"
"EU-162B","drying","Unit #4 Lime Exhauster #2","30.0","ton/hr","","","CE-162"
"EU-165A","storage","Unit #4 Activated Carbon Silo","80.0","tons","","",""
"EU-165B","storage","Unit #4 Activated Carbon Silo","80.0","tons","","",""
"EU-167","storage","Unit #4 Flyash/FGD Waste Silo","28224.0","ft2","","",""
"EU-168","drying","Unit #4 Flyash/FGD Waste Exhauster#1","65.0","ton/hr","","","CE-168"
"EU-169","drying","Unit #4 Flyash/FGD Waste Exhauster#2","65.0","ton/hr","","","CE-169"
"EU-170","drying","Unit #4 Flyash/FGD Waste Exhauster#3","65.0","ton/hr","","","CE-170"
"EU-171","drying","Unit #4 Flyash/FGD Recycle Exhauster#1","65.0","ton/hr","","","CE-171"
"EU-172","drying","Unit #4 Flyash/FGD Recycle Exhauster#2","65.0","ton/hr","","","CE-172"
"EU-173","drying","Unit #4 Flyash/FGD Recycle Exhauster#3","65.0","ton/hr","","","CE-173"
"EU-180","storage","Unit #4 Water Treatment Area Lime Storage Silo A","80.0","tons","","",""
"EU-181","storage","Unit #4 Water Treatment Area Lime Storage Silo B","80.0","tons","","",""
"EU-182","storage","Unit #4 Water Treatment - Soda Ash Silo","225.0","tons","","",""
"EU-197","storage","Unit #4 Water Treatment Area Lime Storage Silo C","80.0","tons","","",""
"EU-200","storage","Unit #4 Flyash/FGD Waste Silo","28224.0","ft2","","",""
"EU-201","drying","Unit #3 Flyash/FGD Waste Exhauster#1","51.0","ton/hr","","","CE-201"
"EU-202","drying","Unit #3 Flyash/FGD Waste Exhauster#2","51.0","ton/hr","","","CE-202"
"EU-203","drying","Unit #3 Flyash/FGD Waste Exhauster#3","51.0","ton/hr","","","CE-203"
"EU-204","drying","Unit #3 Lime Unloading Exhauster#1","25.0","ton/hr","","","CE-204"
"EU-205","drying","Unit #3 Lime Unloading Exhauster#2","25.0","ton/hr","","","CE-205"
"EU-207","storage","Unit #3 Lime Silo","80.0","tons","","",""
"EU-208","storage","Unit #3 Recycle Ash Silo","60.0","tons","","",""
"EU-209","drying","Unit #3 Flyash/FGD Recycle Exhauster#1","74.5","ton/hr","","","CE-209"
"EU-210","drying","Unit #3 Flyash/FGD Recycle Exhauster#2","74.5","ton/hr","","","CE-210"
"EU-211","drying","Unit #3 Flyash/FGD Recycle Exhauster#3","74.5","ton/hr","","","CE-211"
"EU-212","storage","Mercury (Hg) Control Sorbent Storage Silo","80.0","tons","","",""
