"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-1T14","storage","1,400 gallon Fuel Tank for EU-1","1400","gal","","",""
"EP-2T14","storage","1,400 gallon Fuel Tank for EU-2","1400","gal","","",""
"EP-3T14","storage","1,400 gallon Fuel Tank for EU-3","1400","gal","","",""
"EP-40","generators","Generator (SI, 114 HP)","1.2","MMBtu/hr","","",""
"EP-4T14","storage","1,400 gallon Fuel Tank for EU-4","1400","gal","","",""
"EP-5T14","storage","1,400 gallon Fuel Tank for EU-5","1400","gal","","",""
"EP-6T14","storage","1,400 gallon Fuel Tank for EU-6","1400","gal","","",""
"EP-7T14","storage","1,400 gallon Fuel Tank for EU-7","1400","gal","","",""
"EP-8T14","storage","1,400 gallon Fuel Tank for EU-8","1400","gal","","",""
"EP-9T14","storage","1,400 gallon Fuel Tank for EU-9","1400","gal","","",""
"EU-1","generators","Peaking Generator","","","147.6","gal/hr","CE-1"
"EU-11","other","Space Heater (0.045 MMBtu/hr)","0.045","MMBtu/hr","","",""
"EU-12","other","Space Heater (0.045 MMBtu/hr)","0.045","MMBtu/hr","","",""
"EU-13","other","Space Heater (0.075 MMBtu/hr)","0.075","MMBtu/hr","","",""
"EU-14","other","Space Heater (0.125 MMBtu/hr)","0.125","MMBtu/hr","","",""
"EU-15","other","Space Heater (0.100 MMBtu/hr)","0.1","MMBtu/hr","","",""
"EU-16","other","Space Heater (0.150 MMBtu/hr)","0.15","MMBtu/hr","","",""
"EU-17","other","Space Heater (0.150 MMBtu/hr)","0.15","MMBtu/hr","","",""
"EU-19","other","Space Heater (0.150 MMBtu/hr)","0.15","MMBtu/hr","","",""
"EU-1T14","storage","Fuel Tank for EU-1","1400","gallons","","",""
"EU-1T25","storage","2,500 gallon Fuel Tank for EU-1","2500","gal","","",""
"EU-2","generators","Peaking Generator","","","147.6","gal/hr","CE-2"
"EU-20","other","Space Heater (0.175 MMBtu/hr)","0.175","MMBtu/hr","","",""
"EU-21","other","Space Heater (0.175 MMBtu/hr)","0.175","MMBtu/hr","","",""
"EU-22","other","Space Heater (0.100 MMBtu/hr)","0.1","MMBtu/hr","","",""
"EU-23","other","Space Heater (0.100 MMBtu/hr)","0.1","MMBtu/hr","","",""
"EU-24","other","Space Heater (0.100 MMBtu/hr)","0.1","MMBtu/hr","","",""
"EU-25","other","Space Heater (0.100 MMBtu/hr)","0.1","MMBtu/hr","","",""
"EU-26","other","Space Heater (0.100 MMBtu/hr)","0.1","MMBtu/hr","","",""
"EU-28","other","Space Heater (0.125 MMBtu/hr)","0.125","MMBtu/hr","","",""
"EU-29","other","Space Heater (0.125 MMBtu/hr)","0.125","MMBtu/hr","","",""
"EU-2T14","storage","Fuel Tank for EU-2","1400","gallons","","",""
"EU-2T25","storage","2,500 gallon Fuel Tank for EU-2","2500","gal","","",""
"EU-3","generators","Peaking Generator","","","147.6","gal/hr","CE-3"
"EU-31","other","Space Heater (0.125 MMBtu/hr)","0.125","MMBtu/hr","","",""
"EU-32","other","Space Heater (0.150 MMBtu/hr)","0.15","MMBtu/hr","","",""
"EU-33","other","Space Heater (0.150 MMBtu/hr)","0.15","MMBtu/hr","","",""
"EU-35","other","Space Heater (0.150 MMBtu/hr)","0.15","MMBtu/hr","","",""
"EU-36","other","Space Heater (0.045 MMBtu/hr)","0.045","MMBtu/hr","","",""
"EU-37","other","Water Heater (0.030 MMBtu/hr)","0.03","MMBtu/hr","","",""
"EU-38","other","Water Heater (0.528 MMBtu/hr)","0.528","MMBtu/hr","","",""
"EU-39","other","Water Heater (0.627 MMBtu/hr)","0.627","MMBtu/hr","","",""
"EU-3T14","storage","Fuel Tank for EU-3","1400","gallons","","",""
"EU-3T25","storage","2,500 gallon Fuel Tank for EU-3","2500","gal","","",""
"EU-4","generators","Peaking Generator","","","147.6","gal/hr","CE-4"
"EU-40","generators","Generator (SI, 114 HP)","1.2","MMBtu/hr","","",""
"EU-45","other","Parts Washer","","","","",""
"EU-47","storage","Lubricating Oil Storage","","","","",""
"EU-48","other","Cutting/Welding","","","","",""
"EU-49","other","Waste Oil","","","","",""
"EU-4T14","storage","Fuel Tank for EU-4","1400","gallons","","",""
"EU-4T25","storage","2,500 gallon Fuel Tank for EU-4","2500","gal","","",""
"EU-5","generators","Peaking Generator #1 or #2 (Diesel Oil or Kerosene)","2885","HP","","","CE-5"
"EU-5T14","storage","Fuel Tank for EU-5","1400","gallons","","",""
"EU-5T25","storage","2,500 gallon Fuel Tank for EU-5","2500","gal","","",""
"EU-6","generators","Peaking Generator","","","147.6","gal/hr","CE-6"
"EU-6T14","storage","Fuel Tank for EU-6","1400","gallons","","",""
"EU-6T25","storage","2,500 gallon Fuel Tank for EU-6","2500","gal","","",""
"EU-7","generators","Peaking Generator","","","147.6","gal/hr","CE-7"
"EU-7T14","storage","Fuel Tank for EU-7","1400","gallons","","",""
"EU-7T25","storage","2,500 gallon Fuel Tank for EU-7","2500","gal","","",""
"EU-8","generators","Peaking Generator","","","147.6","gal/hr","CE-8"
"EU-8T14","storage","Fuel Tank for EU-8","1400","gallons","","",""
"EU-8T25","storage","2,500 gallon Fuel Tank for EU-8","2500","gal","","",""
"EU-9","generators","Peaking Generator","","","147.6","gal/hr","CE-9"
"EU-9T14","storage","Fuel Tank for EU-9","1400","gallons","","",""
"EU-9T25","storage","2,500 gallon Fuel Tank for EU-9","2500","gal","","",""
