"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"100","combustion turbine","Combustion Turbine with Duct Burner and associated equipment (Unit 10)","323.68","MMBtu/hr","","","CE101, CE102"
"101 (Bypass)","combustion turbine","Combustion Turbine with Duct Burner and associated equipment (Unit 10 Bypass)","323.68","MMBtu/hr","","","CE101, CE102"
"15","storage","Unleaded Gasoline Storage Tank Vent (1,000 Gallons)","","","","",""
"21 (Vents Internally)","dust suppression system","Rail Hoppers A, B and C with associated equipment","1400","tons/hr","","","CE21"
"22 (Vents Internally)","dust suppression system","Feeder Belt A with associated equipment","700","tons/hr","","","CE24A"
"23 (Transfer Conveyor Load)","conveyor system","Transfer Conveyor with associated equipment","1400","tons/hr","","",""
"24 (Fugitive)","fugitive dust control system","Radial Stacker Discharge with associated equipment","50","tons/hr","","",""
"26 (Radial Stacker Discharge)","stacker discharge system","Radial Stacker with associated equipment","1400","tons/hr","","",""
"27A (Coal Pile Bulldozing)","coal handling system","Coal Pile Bulldozing with associated equipment","3","bulldozers","","",""
"27 (Coal Pile)","coal storage pile","Coal Pile with associated equipment","23","acres","","","CE810A, CE810B"
"342 (Coal Pile Truck Unloading)","coal handling system","Coal Pile Truck Unloading with associated equipment","50","tons/hr","","",""
"370 (Vents Internally)","coal handling system","Coal Pile Truck Unloading with associated equipment","500","tons/hr","","","CE370"
"70 (Grate Stoker Boiler)","boiler","Traveling Grate Stoker Boiler with associated equipment (Unit 7)","289","MMBtu/hr","","","CE71, CE72"
"80 (Cyclone Boiler)","boiler","Cyclone Boiler with associated equipment (Unit 8)","950","MMBtu/hr","","","CE80A, CE81, CE82"
"EU-100","combustion","Combustion Turbine with Duct Burner and associated equipment","323.68","MMBtu/hr","","","CE101, CE102"
"EU-101","combustion","Combustion Turbine with Duct Burner (Bypass) and associated equipment","323.68","MMBtu/hr","","","CE101, CE102"
"EU-15","storage","Unleaded Gasoline Storage Tank Vent","","","","",""
"EU-168","other","Cummins Diesel Engine V168 for Emergency Power 11-A-562-S2","755","bhp","","",""
"EU-21","drying","Rail Hoppers A, B and C with associated equipment (Baghouse)","1400","tons/hr","","","CE21"
"EU-22","drying","Feeder Belt A and B with associated equipment (Baghouse)","700","tons/hr","","","CE24A"
"EU-23A","drying","Transfer Conveyor Load with associated equipment (Baghouse)","1400","tons/hr","","","CE21"
"EU-26","drying","Radial Stacker Discharge with associated equipment (Baghouse)","1400","tons/hr","","","CE21"
"EU-27","storage","Coal Pile with associated equipment (Baghouse)","23","acres","","","CE21"
"EU-27A","drying","Coal Pile Bulldozing with associated equipment (Baghouse)","3","bulldozers","","","CE21"
"EU-300","storage","Barge Coal Unloader with associated equipment (Baghouse)","80","tons/hr","","","CE301"
"EU-301","storage","Barge Unloader Discharge with associated equipment (Baghouse)","80","tons/hr","","","CE301"
"EU-302","storage","Reclaim Feeders with associated equipment (Baghouse)","80","tons/hr","","","CE301"
"EU-310B","storage","Reclaim Conveyor -2 Discharge with associated equipment (Baghouse)","80","tons/hr","","","CE311B"
"EU-311","storage","Reclaim Conv-2 Discharge with associated equipment (Baghouse)","80","tons/hr","","","CE311B"
"EU-312","storage","Silo Feeder SF-1 through SF-4 with associated equipment (Baghouse)","80","tons/hr","","","CE312"
"EU-314","storage","Reclaim Conveyor -3 Discharge with associated equipment (Baghouse)","80","tons/hr","","","CE314"
"EU-320","storage","Coal Crusher & Bypass Feeder with associated equipment (Baghouse)","80","tons/hr","","","CE320"
"EU-322","storage","EPC-1 Conveyor & K-Conveyor Discharge with associated equipment (Baghouse)","80","tons/hr","","","CE322"
"EU-370","storage","RSC Conveyor -1 Discharge with associated equipment (Baghouse)","500","tons/hr","","","CE370"
"EU-70","combustion","Traveling Grate Stoker Boiler with associated equipment (Cyclone)","289","MMBtu/hr","","","CE71, CE72"
"EU-80","combustion","Cyclone Boiler with associated equipment (Electrostatic Precipitator)","950","MMBtu/hr","","","CE80A, CE81, CE82"
"EU-820","storage","Unit 8 Fire Protection System Diesel Engine Exhaust with associated equipment (Baghouse)","182","bhp","","","CE820"
"EU-90","combustion","Dry Bottom Tangential Fired Boiler with associated equipment (Cyclone)","750","MMBtu/hr","","","CE920"
"EU-919","storage","Synthetic Gypsum Storage Pile with associated equipment (Baghouse)","10890","ft2","","","CE919"
"EU-930","storage","Unit 9 Fire Protection System Diesel Engine Exhaust with associated equipment (Baghouse)","182","bhp","","","CE930"
"EU-V168","storage","Portable Emergency Generator with associated equipment (Diesel Engine)","755","bhp","","","CEV168"
"V168 (Portable Emergency Generator)","emergency generator","Cummins Diesel IC Engine with associated equipment","755","bhp","","",""
