"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"B402 500GT","storage tank","500 Gallon Gasoline Tank","","","10000","gallons/month","NA"
"EU B402 500GT","storage tank","Gasoline Storage Tank","","","10000","gallons/month",""
"EU MB Gen","generator","Emergency Generator (Diesel Fuel)","30.4","gal/hr","","","CE-MB"
"EU S-10","boiler","Cleaver Brooks Boiler #1","32.97","MMBtu/hr","","","CE-S-10"
"EU S-10, EU S-11, EU S-1C, EU S-20, EU S-15","boiler","Boilers (Natural Gas and Fuel Oil)","45.72","MMBTU/hr","","","CE-S-10, CE-S-11, CE-S-1C, CE-S-20, CE-S-15"
"EU S-11","boiler","Cleaver Brooks Boiler #2","32.97","MMBtu/hr","","","CE-S-11"
"EU S-13","generator","2000 kW Emergency Generator #4","140.2","gal/hr of fuel oil","","","NA"
"EU S-13, EU S-14","generator","Emergency Generators (Fuel Oil)","140.2","gal/hr","","","CE-S-13, CE-S-14"
"EU S-14","generator","2000 kW Emergency Generator #1","140.2","gal/hr of fuel oil","","","NA"
"EU S-15","boiler","Boiler #5 – Nebraska","45.0","MMBtu/hr","","","NA"
"EU S-16","combustion turbine and HRSG","3.5 MW Combustion Turbine with 21.9 MMBtu/hr Heat Recovery Steam Generator (HRSG)","45.72","MMBtu/hr","","","NA"
"EU S-16, EU S-16A (Bypass Stack)","combustion turbine","Combustion Turbine with Heat Recovery Steam Generator","45.72","MMBTU/hr","","","CE-S-16"
"EU S-17","generator","2000 kW Emergency Generator #5","140.2","gal/hr of fuel oil","","","NA"
"EU S-18","generator","2000 kW Emergency Generator #2","140.2","gal/hr of fuel oil","","","NA"
"EU S-19","generator","2000 kW Emergency Generator #6 (Caterpillar IC Diesel Engine)","138.9","gal/hr of fuel oil","","","NA"
"EU S-1C","boiler","Boiler #3 – Murray","45.0","MMBtu/hr","","","CE S-1C"
"EU S-20","boiler","Boiler #4 – Cleaver Brooks","32.97","MMBtu/hr","","","CE S-20"
"EU S-21","incineration","Incinerator #8","","","500","lb/hr of waste charge rate","CE-S-21"
"EU S-5","incineration","Incinerator #5","","","500","lb/hr of waste charge rate","CE-S-5"
"MB Gen","generator","507 kW Emergency Generator","30.4","gal/hr of diesel fuel","","","NA"
"S-10","boiler","Cleaver Brooks Boiler #1","32.97","MMBtu/hr","","","CE-S-10"
"S-11","boiler","Cleaver Brooks Boiler #2","32.97","MMBtu/hr","","","CE-S-11"
"S-13","generator","2000 kW Emergency Generator #4","140.2","gal/hr of fuel oil","","",""
"S-14","generator","2000 kW Emergency Generator #1","140.2","gal/hr of fuel oil","","",""
"S-15","boiler","Boiler #5 – Nebraska","45.0","MMBtu/hr","","","CE-S-15"
"S-16","combustion turbine and HRSG","3.5 MW Combustion Turbine with 21.9 MMBtu/hr Heat Recovery Steam Generator (HRSG)","45.72","MMBtu/hr","","",""
"S-17","generator","2000 kW Emergency Generator #5","140.2","gal/hr of fuel oil","","",""
"S-18","generator","2000 kW Emergency Generator #2","140.2","gal/hr of fuel oil","","",""
"S-19","generator","2000 kW Emergency Generator #6 (Caterpillar IC Diesel Engine)","138.9","gal/hr of fuel oil","","",""
"S-1C","boiler","Boiler #3 – Murray","45.0","MMBtu/hr","","","CE-S-1C"
"S-20","boiler","Boiler #4 – Cleaver Brooks","32.97","MMBtu/hr","","","CE-S-20"
