"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"01-AUX-A, 02-AUX-A","boilers","Caterpillar G-399 Natural Gas Auxiliary Engine - Unit 1 and 2","735","BHP","","","01-AUX, 02-AUX"
"01-BOL","boilers","Natural Gas Boiler (8.4 MMBtu/hr)","8400","BTU/hr","","","01-BOL"
"01-BOL and 01-HTR","boilers","Natural Gas Boiler (8.4 MMBtu/hr) and Fuel Gas Heater (0.6 MMBtu/hr)","","","","","01-BOL, 01-HTR"
"01-HTR","heaters","Fuel Gas Heater (0.6 MMBtu/hr)","600","BTU/hr","","","01-HTR"
"03-AUX-A","boilers","Caterpillar G-379 Natural Gas Auxiliary Engine - Emergency Unit","359","BHP","","","03-AUX"
"11-ENG-A","engines","Clark TCV-10 Natural Gas Reciprocating Engine - Unit 11","4250","BHP","","","11-ENG"
"12-ENG-A","engines","Clark TCV-10 Natural Gas Reciprocating Engine - Unit 12","4250","BHP","","","12-ENG"
"13-ENG-A","engines","Worthington MLV-14 Natural Gas Reciprocating Engine - Unit 13","6875","BHP","","","13-ENG"
"14-ENG-A","boilers","Worthington MLV-10 Natural Gas Reciprocating Engine - Unit 14","5000","BHP","","","14-ENG"
"15-ENG-A","boilers","Worthington MLV-10 Natural Gas Reciprocating Engine - Unit 15","5000","BHP","","","15-ENG"
"16-ENG-A","boilers","Worthington MLV-10 Natural Gas Reciprocating Engine - Unit 16","5000","BHP","","","16-ENG"
"17-ENG-A","boilers","Worthington MLV-10 Natural Gas Reciprocating Engine - Unit 17","5000","BHP","","","17-ENG"
