"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"01-AUX-A","boilers","Natural Gas Emergency Generator","436","BHP (325 kW)","","","01-AUX"
"01-BOL-A","boilers","Natural Gas Boiler (8.38 MMBtu/hr)","8.38","MMBtu/hr","","","01-BOL"
"109-T5","other","Condensate Drip Storage Tank","90","Barrels","","","109-T5"
"11-ENG-A","boilers","Natural Gas Reciprocating Engine - Clark","","","5000","BHP","11-ENG-A"
"12-ENG-A","boilers","Natural Gas Reciprocating Engine - Worthington","","","7940","BHP","12-ENG-A"
"12-ENG-B","boilers","Natural Gas Reciprocating Engine - Cooper Bessemer","","","","","12-ENG-B"
"13-ENG-A","boilers","Natural Gas Reciprocating Engine - Cooper Bessemer","","","5750","BHP","13-ENG-A"
"14-ENG-A","boilers","Natural Gas Reciprocating Engine - Cooper Bessemer","","","5750","BHP","14-ENG-A"
"15-ENG-A","boilers","Natural Gas Reciprocating Engine - Cooper Bessemer","","","5750","BHP","15-ENG-A"
"16-ENG-A","boilers","Natural Gas Reciprocating Engine - Dresser Rand","6875","BHP","","","16-ENG-A"
"LNHTR-A","boilers","Natural Gas Line Heater (0.385 MMBtu/hr)","0.385","MMBtu/hr","","","LNHTR"
