"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"01-GEN","boilers, dryers","Propane-Fired Emergency Generator","598","gal/hr","","",""
"02-AUX","boilers, dryers","Natural Gas-Fired Emergency Generator","416","hp","","","94-A-617"
"02-BOL","boilers, dryers","Natural Gas Dehydrator Reboiler","1.9","MMBtu/hr","","",""
"02-CND (Condenser)","boilers, dryers","Mt. Simon Dehydration Unit Condenser","","","200","MMCF/day",""
"02-DEHY","boilers, dryers","Mt. Simon Dehydration Unit","200","MMCF/day","","",""
"02-ENG-A","boilers, dryers","Natural Gas Reciprocating Engine Compressor","","","","","04-A-1167-P"
"03-BOL","boilers, dryers","Natural Gas Dehydrator Reboiler","0.9","MMBtu/hr","","",""
"03-CND (Condenser)","boilers, dryers","St. Peter Dehydration Unit Condenser","","","300","MMCF/day",""
"03-DEHY","boilers, dryers","St. Peter Dehydration Unit","300","MMCF/day","","",""
"03-ENG-A","boilers, dryers","Natural Gas Reciprocating Engine Compressor","","","","","04-A-1168-P"
"04-ENG-A","boilers, dryers","Natural Gas Reciprocating Engine Compressor","","","","","04-A-1169-P"
"05-ENG-A","boilers, dryers","Natural Gas Reciprocating Engine Compressor","","","","","04-A-1169-P"
"09-ENG-A","boilers, dryers","Internal Combustion Reciprocating Engine","4735","hp","","","04-A-1167-P"
"10-ENG-A","boilers, dryers","Internal Combustion Reciprocating Engine","4735","hp","","","04-A-1168-P"
"11-ENG-A","boilers, dryers","Internal Combustion Reciprocating Engine","4735","hp","","","04-A-1169-P"
"AUX B-A","boilers, dryers","Spark Ignition Emergency Engine","690","hp","","","04-A-1170-P2"
"BOILER","boilers, dryers","Natural Gas Boiler","6.0","MMBtu/hr","","",""
"LINEHTR","boilers, dryers","Natural Gas Line Heater","0.75","MMBtu/hr","","",""
"TANK-10","storage","Methanol Storage Tank","","","","",""
