"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"4","boilers","Natural Gas Fired Reactivation Heater","11350","Btu/hr","","",""
"EP-010A & EP-010B","boilers","Gas Turbine","7748","HP","","",""
"EP-013","boilers","Emergency Gas Engine","1135","bhp","","","23-A-105"
"EU-005","flare","Process Safety Flare","243","MMBtu/hr","","","22-A-418"
"EU-010","boilers","Gas Turbine","7748","HP","","","23-A-103, 23-A-104"
"EU-1","boilers","Linde Vaporizer #1","","","","","23-A-560-S4"
"EU-2","boilers","Linde Vaporizer #2","","","","","23-A-561-S4"
"EU-3","boilers","Linde Vaporizer #3","","","","","23-A-562-S4"
"EU-4","boilers","Natural Gas Fired Reactivation Heater","11350","Btu/hr","","","CE-376-S1"
"FP","other","Fire Water Pump","140","HP","","",""
