"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"10.00","boilers","Natural Gas Prime Mover – 2 Cycle Lean, Unit #16","","","","",""
"11.00","boilers","Natural Gas Prime Mover – 2 Cycle Lean, Unit #17","","","","",""
"12.00","boilers","Natural Gas Prime Mover – 2 Cycle Lean, Unit #18","10000","HP","","","13-A-166"
"13.00","boilers","Boiler","7.84","MMBtu/hr","","",""
"17.00a","boilers","Fuel Heater","0.422","MMBtu/hr","","",""
"17.00b","boilers","Fuel Heater","0.072","MMBtu/hr","","",""
"18.00","boilers","Natural-Gas Auxiliary Generator","1118","bhp","","",""
"19.00","boilers","Turbine","4797","HP; MMBtu/hr","","","21-A-137"
"20.00","boilers","Turbine","4797","HP; MMBtu/hr","","","21-A-138"
"7.00","boilers","Natural Gas Prime Mover – 2 Cycle Lean, Unit #13","","","","",""
"8.00","boilers","Natural Gas Prime Mover – 2 Cycle Lean, Unit #14","","","","",""
"9.00","boilers","Natural Gas Prime Mover – 2 Cycle Lean, Unit #15","","","","",""
