"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"11V","boilers","Vertical Reciprocating Compressor Engine","","","","",""
"12V","boilers","Vertical Reciprocating Compressor Engine","","","","",""
"13V","boilers","Vertical Reciprocating Compressor Engine","","","","",""
"14T","boilers","Stationary Gas Turbine Compressor Engine","4200","bhp","","",""
"15T","boilers","Stationary Gas Turbine Compressor Engine","4200","bhp","","",""
"19 AUX4","boilers","Diesel Auxiliary Generator","535","HP","","",""
"22A","boilers","Natural Gas Water Heater","12","MMBtu/hr","","",""
"22A, 22B","boilers","Natural Gas Water Heater","","","","",""
"22WH","boilers","Natural Gas Water Heater","12","MMBtu/hr","","",""
"31","boilers","Natural Gas Boiler","5.25","MMBtu/hr","","",""
"32","boilers","Natural Gas Fuel Heater","0.17","MMBtu/hr","","",""
"AUX4","boilers","Auxiliary Electrical Generator-Diesel","535","HP","","",""
