"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"1.00","boilers","Compressor Unit #1","","","","",""
"10.00","boilers","Emergency Generator","300","BHP","","","10.00"
"11.00","boilers","Natural Gas Boiler","5250000","Btu/hr","","","11.00"
"12.00","boilers","Emergency Generator","875","cf/hr","","","12.00"
"2.00","boilers","Compressor Unit #2","","","","",""
"3.00","boilers","Compressor Unit #3","","","","",""
"4.00","boilers","Compressor Unit #4","","","","",""
"5.00","boilers","Compressor Unit #5","27800","BHP","","","5.00"
"6.00","boilers","Compressor Unit #6","2250","BHP","","","6.00"
"7.00","boilers","Compressor Turbine Unit #7","15500","BHP","","","7.00, 8.00"
"7/8","boilers","Line Heater","15000","Btu/hr","","","7/8"
