"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"01a","coating","Prime Roll Coater Line/Oven (Prime Quench)","340","kg/hr","","","CE-18F, CE-02"
"01b","coating","Finish Roll Coater Line/Oven (Finish Quench)","670","kg/hr","","","CE-18F, CE-02"
"02","boiler","Prime/Finish Line Combustion","96000","kW/hr","","","CE-18F, CE-02"
"02-1","coating","Finish Roll Coater Line/Oven (Finish Quench)","670","kg/hr","","","CE-18F, CE-19"
"03","other","Prime Roll Coater Line/Oven (Mixing Room Vent)","340","kg/hr","","",""
"09a","boiler","Annealing Furnace A (Combustion)","71400","kW/hr","","","CE-18F"
"09b","boiler","Annealing Furnace B (Combustion)","71400","kW/hr","","","CE-18F"
"09c","boiler","Annealing Furnace C (Combustion)","71400","kW/hr","","","CE-18F"
"09d","boiler","Annealing Furnace D (Combustion)","71400","kW/hr","","","CE-18F"
"09e","boiler","Annealing Furnace E (Combustion)","71400","kW/hr","","","CE-18F"
"14","other","40"" Cold Rolling Mill","18150","kg/hr","","","CE-14"
"17","boiler","Waste Heat Boiler (7.14 MMBtu/hr)","71400","kW/hr","","","CE-17"
"18F","other","Roll Grinder (Internally Vented)","330","kg/hr","","","CE-18F"
"19","other","Cooling Tower (Internally Vented)","57000","L/hr","","","CE-19"
"GEN2","other","Generac Generator 2 (spark-ignition, 75 Bhp)","75000","W/hr","","","CE-GEN2"
