"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"BBPO","machinery","AKS Ball Bearing Production (Dry Filters, Additive to Kill Bacteria, Quench Oil, Cutting Oil)","","","28000","gallons/yr","Dry Filters"
"BBPO L1 – Rough Lapping Machines","milling","Rough Lapping Machines (Cutting Oil, Mist 20 Filter)","","","","","Mist Eliminator: Cutting Oil A"
"BBPO L2 – Final Lapping Machines","milling","Final Lapping Machines (Cutting Oil, Mist 20 Filter)","","","","","Mist Eliminator: Cutting Oil A"
"BIQ1-NG","boilers","Batch Integral Quench Furnace (2.0 MMBtu/hr)","2","MMBtu/hr","","","CE 11-A-352-S1"
"DTR-1","storage","Degreaser System Solvent Tank CL-DT","","","","","CE 92-A-069-S3"
"DTR-2","storage","Degreaser System Preventative Tank CL-CT","","","","","CE 92-A-069-S3"
"DTR-3","storage","Degreaser System Kerosene/BF Mix Tank CL-BT","","","","","CE 92-A-069-S3"
"DTR-4","storage","Degreaser System Tank CL-NLT","","","","","CE 92-A-069-S3"
"DTR-5","storage","Degreaser System Waste Tank CL-Waste","","","","","CE 92-A-069-S3"
"G1-G2","milling","Grind Machines (First and Second Grind Process Machines)","","","28000","gallons/yr","CE-Twister Cell or CE-A2000, CE-Twister Cell, CE-A2000, or CE-A4000"
"ISBFJ","cooling","Finish Jet Wash Machines (Mist Eliminator: Wash Fluid)","","","3060","gallons/yr","CE-ME500XF"
"ISBJW","cooling","First Jet Wash Machines (Mist Eliminator: Wash Fluid)","","","1071","gallons/yr","CE-ME500XF"
"MBF1-NG","boilers","Mesh Belt Furnace 1 (1.5 MMBtu/hr)","1.5","MMBtu/hr","","","CE 06-A-311-S3, CE 06-A-312-S3"
"MBF2-NG","boilers","Mesh Belt Furnace 2 (1.5 MMBtu/hr)","1.5","MMBtu/hr","","","CE 06-A-313-S3, CE 06-A-314-S3"
"MBF3-NG","boilers","Heat Treat Furnace (4.4 MMBtu/hr)","4.4","MMBtu/hr","","","CE 92-A-076-S5"
"NSK Backup Generator (B)","boilers","Backup Generator (Natural Gas, 0.34 MMBtu/hr)","0.34","MMBtu/hr","","","CE AAS20-1 thru 7, CE MA-1"
"NSK Backup Generator (S2)","boilers","Backup Generator (Natural Gas, 0.85 MMBtu/hr)","0.85","MMBtu/hr","","","CE AAS40-1 thru 6"
"RP","cooling","Rust Preventative Application in Heat Treat and Assembly (Preservative Oil)","","","17490","gallons/yr","Dry Filters"
"SEF-1","cooling","Superfinish Machines (Central Exhaust System)","","","2865","gallons/yr","CE-M&W Unit"
