"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"B4","boiler","Miura Boiler #4","11.54","MMBtu/hr","","","CE-18-A-416"
"BAC-1","drying","Alkar Natural Gas Smokehouse 1","2.085","MMBtu/hr","","","CE-08-A-096-S3"
"BAC-2","drying","Alkar Natural Gas Smokehouse 2","2.085","MMBtu/hr","","","CE-08-A-097-S3"
"BAC-3","drying","Marlen Natural Gas Smokehouse 1","2.085","MMBtu/hr","","","CE-08-A-098-S4"
"BAC-3A","drying","Marlen Natural Gas Smokehouse 2","2.085","MMBtu/hr","","","CE-08-A-099-S3"
"BAC-4","drying","Marlen Natural Gas Smokehouse 2","2.085","MMBtu/hr","","","CE-08-A-100-S3"
"CHILL-1","other","Purchased CO for Chillers, Freezers, and Blenders","","","45000000","lbs/yr",""
"EU B4","boiler","Miura Boiler #4","11.54","MMBtu/hr","","","CE-18-A-416"
"EU BAC1","drying","Alkar Natural Gas Smokehouse 1","1.65","MMBtu/hr","26","lbs/hr","CE-08-A-096-S3"
"EU BAC 1 - EU BAC 4","boiler","Bacon Smokehouses (various)","","","26","lbs/hr of woodchips/sawdust","CE-08-A-096-S3, CE-08-A-097-S3, CE-08-A-098-S4, CE-08-A-099-S3"
"EU BAC2","drying","Alkar Natural Gas Smokehouse 2","1.65","MMBtu/hr","26","lbs/hr","CE-08-A-097-S3"
"EU BAC3","drying","Bacon Smokehouse 3","1.65","MMBtu/hr","21","lbs/hr","CE-08-A-098-S4"
"EU BAC3A","drying","Bacon Smokehouse 3","1.65","MMBtu/hr","21","lbs/hr","CE-08-A-099-S3"
"EU BAC4","drying","Alkar Natural Gas Smokehouse 4","1.65","MMBtu/hr","26","lbs/hr","CE-08-A-099-S3"
"EU Chill 1 - EU Chill 6","boiler","Purchased CO2 for Chillers, Freezers, and Blenders (various)","","","45000000","lbs/yr of CO2","CE-12-A-204-S1"
"EU FOF1","microwave cooking line","Fair Oaks Farms Cooking Line #1","4500","lbs/hr","","","CE-08-A-109-S4"
"EU FOF 1 - EU FOF 6","boiler","Fair Oaks Farms Cooking Lines (various)","","","4500","lbs/hr of raw meat","CE-08-A-109-S4, CE-08-A-107-S4, CE-12-A-006-S3"
"EU FOF2","microwave cooking line","Fair Oaks Farms Cooking Line #2","4500","lbs/hr","","","CE-12-A-007-S3"
