"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-102A","wood_dust_system","Wood Dust System #102 (3.60 1000 ft3/hr)","","","","","CE-102B"
"EU-110","paint_booth","Horizontal Line Paint Booth #4 (7.9 gal/hour)","7.9","gal/hour","","","CE-911-S9"
"EU-124","electric_oven","Pre-Finished Product Line Electric Oven #124","83","kW-hour","","","CE-993-S7"
"EU-126","electric_oven","Pre-Finished Product Line Electric Oven #126","83","kW-hour","","","CE-995-S8"
"EU-131","electric_oven","Pre-Finished Product Line Electric Oven #131","175","kW-hour","","","CE-198-S6"
"EU-133","electric_oven","Pre-Finished Product Line Electric Oven #133","72","kW-hour","","","CE-200-S7"
"EU-135","electric_oven","Pre-Finished Product Line Electric Oven #135","120","kW-hour","","","CE-202-S6"
"EU-139A","electric_oven","Pre-Finished Product Line Electric Oven #139A","120","kW-hour","","","CE-360-S5"
"EU-139B","electric_oven","Pre-Finished Product Line Electric Oven #139B","56","kW-hour","","","CE-360-S5"
"EU-14","boilers","Boiler #3","","","","","CE-1011-S4"
"EU-16","boilers","Boiler #4","","","","","CE-994-S6"
"EU-169","wood_treatment","Wood Dip-Dry: Door 3 (7 gallons/hour)","7","gal/hour","","","CE-710-P2"
"EU-169A","wood_treatment","Wood Dip-Dry: Door 3 (7 gallons/hour)","","","","","CE-710-P2"
"EU-173","electric_oven","Pre-Finished Product Line Electric Oven #173","175","kW-hour","","","CE-584-S4"
"EU-174","electric_oven","Pre-Finished Product Line Electric Oven #174","56","kW-hour","","","CE-585-S3"
"EU-179","electric_oven","Pre-Finished Product Line Electric Oven #179","56","kW-hour","","","CE-590-S4"
"EU-180","electric_oven","Pre-Finished Product Line Electric Oven #180","120","kW-hour","","","CE-591-S4"
"EU-183","electric_oven","Pre-Finished Product Line Electric Oven #183","120","kW-hour","","","CE-594-S3"
"EU-199","electric_oven","Pre-Finished Product Line Electric Oven #199","56","kW-hour","","","CE-610-S3"
"EU-19A","wood_dust_system","Wood Dust System #19 (3.14 1000 ft3/hr)","","","","","CE-35"
"EU-19 EU-27 EU-28 EU-30 EU-54 EU-55 EU-69 EU-71 EU-72 EU-86 EU-88 EU-102","wood_dust_system","Wood Dust System (various units)","","","","","CE-35, CE-27, CE-28, CE-30B, CE-54, CE-55, CE-69, CE-71, CE-72, CE-86, CE-88"
"EU-2","boilers","Boiler #2","","","","","CE-1010-S4"
"EU-211","sanding_station","Sanding Station #211 (indoor venting)","","","","","CE-622"
"EU-211A","sanding_station","Sanding Station #211 (7.5 gal/hour)","7.5","gal/hour","","","CE-622"
"EU-212","sanding_station","Sanding Station #212 (indoor venting)","","","","","CE-635"
"EU-212A","sanding_station","Sanding Station #212 (7.5 gal/hour)","7.5","gal/hour","","","CE-635"
"EU-213","sanding_station","Sanding Station #213 (indoor venting)","","","","","CE-636"
"EU-213A","sanding_station","Sanding Station #213 (7.5 gal/hour)","7.5","gal/hour","","","CE-636"
"EU-214","sanding_station","Sanding Station #214 (indoor venting)","","","","","CE-637"
"EU-214A","sanding_station","Sanding Station #214 (7.5 gal/hour)","7.5","gal/hour","","","CE-637"
"EU-215","sanding_station","Sanding Station #215 (indoor venting)","","","","","CE-638"
"EU-215A","sanding_station","Sanding Station #215 (7.5 gal/hour)","7.5","gal/hour","","","CE-638"
"EU-216","sanding_station","Sanding Station #216 (indoor venting)","","","","","CE-639"
"EU-216A","sanding_station","Sanding Station #216 (7.5 gal/hour)","7.5","gal/hour","","","CE-639"
"EU-217","sanding_station","Sanding Station #217 (indoor venting)","","","","","CE-640"
"EU-217A","sanding_station","Sanding Station #217 (7.5 gal/hour)","7.5","gal/hour","","","CE-640"
"EU-218","sanding_station","Sanding Station #218 (indoor venting)","","","","","CE-641"
"EU-218A","sanding_station","Sanding Station #218 (7.5 gal/hour)","7.5","gal/hour","","","CE-641"
"EU-219","sanding_station","Sanding Station #219 (indoor venting)","","","","","CE-642"
"EU-219A","sanding_station","Sanding Station #219 (7.5 gal/hour)","7.5","gal/hour","","","CE-642"
"EU-220","sanding_station","Sanding Station #220 (indoor venting)","","","","","CE-643"
"EU-220A","sanding_station","Sanding Station #220 (7.5 gal/hour)","7.5","gal/hour","","","CE-643"
"EU-223","sanding_station","Pre-Finish Sanding Station (indoor venting)","","","","","CE-517"
"EU-223A","sanding_station","Pre-Finish Sanding Station (Indoor Venting) #223 (7.5 gal/hour)","7.5","gal/hour","","","CE-643"
"EU-236","electric_oven","Pre-Finished Product Line Electric Oven #236","175","kW-hour","","","CE-115-S2"
"EU-237","electric_oven","Pre-Finished Product Line Electric Oven #237","175","kW-hour","","","CE-116-S2"
"EU-239","electric_oven","Pre-Finished Product Line Electric Oven #239","103.2","kW-hour","","","CE-437-S1"
"EU-240","wood_treatment","Inline Wood Treat System (14.5 gallons/hour)","14.5","gal/hour","","","CE-709-P1"
"EU-240A","wood_treatment","Inline Wood Treat System (14.5 gallons/hour natural gas)","","","","","CE-709-P1"
"EU-243","electric_oven","Pre-Finished Product Line Electric Oven #243","120","kW-hour","","","CE-695"
"EU-245A","wood_treatment","Wood Dip-Dry: Door 3 (by-pass) (7 gallons/hour)","","","","","CE-710-P2"
"EU-246","electric_oven","Pre-Finished Product Line Electric Oven #246","175","kW-hour","","","CE-239"
"EU-247","coating_booths","Pre-Finished Product Line Coating Booth #247","","","","","CE-109"
"EU-248","electric_oven","Pre-Finished Product Line Electric Oven #248","175","kW-hour","","","CE-110"
"EU-249","coating_booths","Pre-Finished Product Line Coating Booth #249","","","","","CE-88"
"EU-250","electric_oven","Pre-Finished Product Line Electric Oven #250","175","kW-hour","","","CE-89"
"EU-251","electric_oven","Pre-Finished Product Line Electric Oven #251","175","kW-hour","","","CE-181"
"EU-252","electric_oven","Pre-Finished Product Line Electric Oven #252","175","kW-hour","","","CE-49"
"EU-27A","wood_dust_system","Wood Dust System #27 (2.40 1000 ft3/hr)","","","","","CE-27"
"EU-28A","wood_dust_system","Wood Dust System #28 (3.00 1000 ft3/hr)","","","","","CE-28"
"EU-30A","wood_dust_system","Wood Dust System #30 (2.40 1000 ft3/hr)","","","","","CE-30B"
"EU-35","paint_booth","Horizontal Line Paint Booth #1","7.9","gal/hour","","","CE-606-S15"
"EU-37","paint_booth","Horizontal Line Paint Booth #2 (by-pass)","5","gal/hour","","","CE-644-S16"
"EU-38","paint_booth","Horizontal Line Paint Booth #3 (by-pass)","5","gal/hour","","","CE-608-S16"
"EU-40","dry_off_oven","Vertical Line Pretreatment Dry-off Oven","3.68","MMBtu/hr","","","CE-588-S8"
"EU-41","bake_oven","Vertical Line Primer Bake Oven","6.3","MMBtu/hr","","","CE-589-S8"
"EU-42","bake_oven","Vertical Line Top Coat Bake Oven","6.3","MMBtu/hr","","","CE-590-S8"
"EU-47","dry_off_oven","Horizontal Line Pretreatment Dry-off Oven","4.73","MMBtu/hour","","","CE-592-S8"
"EU-48","bake_oven","Horizontal Line Top Coat Bake Oven (by-pass)","4.73","MMBtu/hour","","","CE-593-S9"
"EU-49","boilers","Boiler #6","","","","","CE-186-S5"
"EU-54A","wood_dust_system","Wood Dust System #54 (3.14 1000 ft3/hr)","","","","","CE-54B"
"EU-55A","wood_dust_system","Wood Dust System #55 (4.29 1000 ft3/hr)","","","","","CE-55B"
"EU-58","wood_treatment","Wood Dip-Dry: Door 1 (8 gallons/hour)","8","gal/hour","","","CE-588-S8"
"EU-58A","wood_treatment","Wood Dip-Dry: Door 1 (8 gallons/hour)","","","","","CE-588-S8"
"EU-68A","paint_booth","Horizontal Line Manual Touch-Up Paint Booth #232 (7.5 gal/hour)","7.5","gal/hour","","","CE-645-S15"
"EU-68B","paint_booth","Horizontal Line Manual Touch-Up Paint Booth #233 (7.5 gal/hour)","7.5","gal/hour","","","CE-910-S10"
"EU-69A","wood_dust_system","Wood Dust System #69 (4.30 1000 ft3/hr)","","","","","CE-69B"
"EU-71A","wood_dust_system","Wood Dust System #71 (3.14 1000 ft3/hr)","","","","","CE-71B"
"EU-72A","wood_dust_system","Wood Dust System #72 (1.20 1000 ft3/hr)","","","","","CE-72B"
"EU-86A","wood_dust_system","Wood Dust System #86 (3.60 1000 ft3/hr)","","","","","CE-86B"
"EU-88A","wood_dust_system","Wood Dust System #88 (3.60 1000 ft3/hr)","","","","","CE-88B"
"EU-89","wood_treatment","Wood Dip-Dry: Door 2 (5 gallons/hour)","5","gal/hour","","","CE-710-P2"
"EU-89A","wood_treatment","Wood Dip-Dry: Door 2 (5 gallons/hour)","","","","","CE-710-P2"
"EU-DRY","wood_dryer","Treated-Wood Drying Process (ambient temperature)","4.3","MMBtu/hr","","","CE-711-P1"
