"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"CT1","cooling","Cooling Tower","","","","","CE CT1 Mist Eliminator"
"CT2","cooling","Cooling Tower","","","","","CE CT2 Mist Eliminator"
"GEN #10","boilers","Diesel Engine","144","gal/hr","","","CE 19 Combustion Air Chiller, CE 19.1 Oxidation Catalyst"
"GEN #11","boilers","Diesel Engine","144","gal/hr","","","CE 20 Combustion Air Chiller, CE 20.1 Oxidation Catalyst"
"GEN #12","boilers","Diesel Engine","144","gal/hr","","","CE 21 Combustion Air Chiller, CE 21.1 Oxidation Catalyst"
"GEN #13","boilers","Diesel Engine","144","gal/hr","","","CE 22 Combustion Air Chiller, CE 22.1 Oxidation Catalyst"
"GEN #14","boilers","Diesel Engine","144","gal/hr","","","CE 23 Combustion Air Chiller, CE 23.1 Oxidation Catalyst"
"GEN #15","boilers","Diesel Engine","144","gal/hr","","","CE 24 Combustion Air Chiller, CE 24.1 Oxidation Catalyst"
"GEN #16","boilers","Diesel Engine","144","gal/hr","","","CE 25 Combustion Air Chiller, CE 25.1 Oxidation Catalyst"
"GEN #3","boilers","Diesel Engine","144","gal/hr","","","CE 12 Combustion Air Chiller, CE 12.1 Oxidation Catalyst"
"GEN #4","boilers","Diesel Engine","144","gal/hr","","","CE 13 Combustion Air Chiller, CE 13.1 Oxidation Catalyst"
"GEN #5","boilers","Diesel Engine","144","gal/hr","","","CE 14 Combustion Air Chiller, CE 14.1 Oxidation Catalyst"
"GEN #6","boilers","Diesel Engine","144","gal/hr","","","CE 15 Combustion Air Chiller, CE 15.1 Oxidation Catalyst"
"GEN #7","boilers","Diesel Engine","144","gal/hr","","","CE 16 Combustion Air Chiller, CE 16.1 Oxidation Catalyst"
"GEN #8","boilers","Diesel Engine","144","gal/hr","","","CE 17 Combustion Air Chiller, CE 17.1 Oxidation Catalyst"
"GEN #9","boilers","Diesel Engine","144","gal/hr","","","CE 18 Combustion Air Chiller, CE 18.1 Oxidation Catalyst"
