"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"105","other","Electric Induction Furnace (6.87 TPH, 13.75 TPH, 3.21 TPH, 3.21 TPH, 6.62 TPH, 3.33 TPH, 3.33 TPH, 5.03 TPH)","","","","","105"
"106","other","Algoma Finishing Mill (7.92 TPH)","7.92","TPH","","","106"
"107","other","Sulfuric Acid Pickling of Copper & Brass Alloys (10.65 TPH)","10.65","TPH","","","107"
"108","other","Two Stand Tandem Mill (29.32 TPH)","29.32","TPH","","","108"
"113","other","Blaw Knox Rolling Mill (11.10 TPH)","11.1","TPH","","","113"
"114","other","Sendzimer Finishing Mill (11.10 TPH)","11.1","TPH","","","114"
"120","other","Surface Milling Machine (Pneumatic Transfer of Milling Line Chips)","","","","",""
"120A","other","Cyclone associated with the surface milling machine for copper & brass alloys","","","","","120B, 120C"
"120B","other","Cyclone associated with the surface milling machine for copper & brass alloys","","","","","120A, 120C"
"120C","scrubber","Venturi scrubber associated with the surface milling machine for copper & brass alloys","","","","","120A, 120B"
"121","other","Cyclone associated with the chip transfer system for copper & brass alloys","26.71","TPH","","","120A"
"124","other","Descaler with dry brush for copper & brass alloys","26.5","TPH","53000","lb/hr (30-day rolling average)","124"
"125","scrubber","Acid pickle descaling line for copper & brass alloys","25.31","TPH","","","125"
"126","other","Sendzimer high cold rolling mill for copper & brass alloys","3","TPH","","","126"
"127","other","Filters for copper & brass alloy coils and fuel","17.2","TPH","","","127B"
"128","other","Filters for copper & brass alloy coils and fuel","17.2","TPH","","","128B"
"129","other","Reheating furnace for copper & brass alloy slabs and natural gas filters","0.0627451","MMcf/hr","","","129"
"131","other","Emergency Generator (South)","","","","",""
"132","other","Emergency Fire Pump","","","","",""
"133A","other","Acid Flux Application for Copper & Brass Alloy Strip","10.91","TPH","","","133"
"133B","packed bed water scrubber","Tinning Process for Tin, Copper & Brass Alloy Strip","10.91","TPH","","","133"
"134","packed bed water scrubber","Packed Bed Scrubber for Tinning Process","","","","","133"
"135","other","Non-emergency Generator","134","GPH","","",""
"136","other","Non-emergency Generator","134","GPH","","",""
"137","generators","Non-emergency Generator","","","","","137"
"138","generators","Non-emergency Generator","","","","","138"
"139","generators","Non-emergency Generator","","","","","139"
"140","scrubbers","Sulfuric Acid Packed Bed Scrubber and Pickling Line #1","","","","","140"
"141","scrubbers","Sulfuric Acid Packed Bed Scrubber and Pickling Line #2","","","","","141"
"144","other","Ebner annealing furnaces for copper & brass alloy slabs and natural gas filters","0.0627451","MMcf/hr","","","144B"
"145","other","Four Stand Tandem Mill with Copper & Brass Mist Collector – Alloys Cartridge Filter","18.47","TPH","","","CE-145"
"146","other","Degreasing Pickle Line with Sulfuric Acid Packed Bed Scrubber","8.7","GPH","","","CE-146"
"148","other","Ebner Annealing Furnaces (Natural Gas Burners)","","","","",""
"149","other","Bonding Mill – Dry with Copper & Brass Alloys Baghouse","23","TPH","","","CE-149"
"150","other","Two Stage Mist Collector for Bonding Mill – Vanishing Copper Alloy Lubricant","","","23","TPH","150"
"151","other","Cast Shop Vacuum System","","","","",""
"157","other","Parts Washer","","","","",""
"158","other","Milling Machine Brush Box","","","","",""
"159","other","Tin Dip-Acid Flux Drying","","","","",""
"160","dryers","Pre-Annealing Dryer and Final Dryer for Ammunition Cupping","","","","","160 Packed Bed Scrubber"
"160A","other","Ammunition Cupping Acid Pickling","","","","",""
"160B","other","Ammunition Cupping Pre-Annealing Dryer","","","","",""
"160C","other","Ammunition Cupping Final Dryer","","","","",""
"161","other","Gasoline Dispensing Tank, 250 gallons","","","","",""
"162","other","Emergency Generator (North)","","","","",""
"601","other","Electric Induction Furnace","","","","",""
"601-615","other","Cast Shop (Charge Fed) Internally Vented","","","","",""
"602","other","Electric Induction Furnace","","","","",""
"604","other","Electric Induction Furnace","","","","",""
"606","other","Electric Induction Furnace","","","","",""
"EU-131","boilers","Emergency Generator, South","","","","",""
